Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-18 00:00:00+05:30,677.0,685.0,672.9000244140625,676.0,14221885,0.0,0.0,2025-08-18,667.5399963378907,18.144726765323135,685.6847231032139,649.3952695725675,703.8294498685369,631.2505428072444,195.62653236322998,9.851617608865734,60567407,15795026.631858917,11722900.267035523,803.8680645130648,44.182114826843566,677.9666748046875,683.0333251953125,670.933349609375,690.066650390625,665.86669921875,695.13330078125,658.8333740234375,-0.023146665986857946,-26.905819777573008,-5.813502872909339,-7.621319082193585,1.8078162092842458,53.44167339960903,25.920479601719943,662.439990234375,667.5399963378907,680.5149987792969,676.5106103515625,TATAMOTORS.NS,2025-08-18 11:39:31.310649
2,2025-08-14 00:00:00+05:30,666.0,666.5499877929688,657.7000122070312,664.5999755859375,6250494,0.0,0.0,2025-08-14,667.7524963378906,18.273449944349625,686.0259462822403,649.479046393541,704.2993962265899,631.2055964491914,120.68562922998971,-68.16029751315673,46345522,6824819.465293217,10704868.675829675,804.1656388756197,36.41563716887709,662.9499918619791,668.199971516927,659.3499959309895,671.7999674479166,654.1000162760416,677.0499471028645,650.500020345052,-0.0025026577252327065,-48.91009873722129,-7.656239938337535,-8.073273134514647,0.4170331961771119,48.15411964523699,27.689187576725097,653.9799926757812,667.7524963378906,681.2149987792968,676.7201873779297,TATAMOTORS.NS,2025-08-18 11:39:31.310649
3,2025-08-13 00:00:00+05:30,657.2000122070312,667.0,656.6500244140625,663.75,7557556,0.0,0.0,2025-08-13,668.6074981689453,18.516613782891653,687.124111951837,650.0908843860536,705.6407257347287,631.574270603162,112.5559269385837,-73.34865546178047,40095028,8241426.921359439,11674880.978463788,804.3085327487901,31.97975877606042,662.4666748046875,668.2833251953125,657.933349609375,672.816650390625,652.11669921875,678.63330078125,647.5833740234375,-0.025206407738872342,-51.3603097522549,-8.776768474685014,-8.177531433558924,-0.5992370411260897,47.743226004731,27.401047513950903,650.3599975585937,668.6074981689453,682.1259997558594,676.9158636474609,TATAMOTORS.NS,2025-08-18 11:39:31.310649
4,2025-08-12 00:00:00+05:30,651.0999755859375,660.9500122070312,650.7999877929688,654.0999755859375,11212223,0.0,0.0,2025-08-12,669.3699981689454,18.6197623007015,687.9897604696469,650.7502358682439,706.6095227703483,632.1304735675424,14.794902050345634,-115.78123440586862,32537472,12049037.715229899,12533244.492739875,804.4827524389525,35.58096907026156,655.2833251953125,659.7666625976562,649.6166381835938,665.433349609375,645.13330078125,669.9166870117188,639.4666137695312,-0.04920160939204392,-65.99497267255494,-9.994693497989488,-8.0277221732774,-1.9669713247120875,42.979223301006556,27.090742830963308,648.1799926757812,669.3699981689454,683.0340002441407,677.042705078125,TATAMOTORS.NS,2025-08-18 11:39:31.310649
5,2025-08-11 00:00:00+05:30,636.2000122070312,655.0,627.0999755859375,653.75,17275390,0.0,0.0,2025-08-11,670.8850006103515,18.544454222577105,689.4294548329286,652.3405463877745,707.9739090555057,633.7960921651974,-70.4890268853816,-183.07420073000665,21325249,18554790.98246919,12654296.187117366,804.7597958463003,37.10726610207166,645.2833251953125,663.4666748046875,635.566650390625,673.183349609375,617.38330078125,691.36669921875,607.6666259765625,-0.0054935081592739805,-66.43574783417506,-10.452190653744424,-7.5359793420993775,-2.9162113116450463,42.80361135323872,25.897547536174585,648.2799926757813,670.8850006103515,683.9090002441407,677.0558538818359,TATAMOTORS.NS,2025-08-18 11:39:31.310649
6,2025-08-08 00:00:00+05:30,647.9500122070312,652.9500122070312,630.0,633.7000122070312,10144452,0.0,0.0,2025-08-08,671.9225006103516,18.110727724520107,690.0332283348716,653.8117728858315,708.1439560593918,635.7010451613113,-107.4064741116971,-241.56249398772584,4049859,10561578.006981624,11179172.48827941,805.1896542912675,28.406548879145802,638.8833414713541,647.7666829427083,624.816670735677,661.8333536783854,615.9333292643229,670.7166951497395,601.8666585286458,-0.10471786838392155,-95.16338273590686,-10.845091831001128,-6.806926514188115,-4.0381653168130125,31.597511680658698,23.68983799189057,648.2499877929688,671.9225006103516,684.9446789550781,677.0174755859375,TATAMOTORS.NS,2025-08-18 11:39:31.310649
7,2025-08-07 00:00:00+05:30,650.0,651.7000122070312,635.5,646.5,13609913,0.0,0.0,2025-08-07,674.3274993896484,15.81620831907436,690.1437077087228,658.5112910705741,705.9599160277971,642.6950827514997,-96.36819284114056,-229.47245177825394,14194311,14455741.791337505,11333571.108603854,805.4767888875713,33.4803256653466,644.5666707356771,653.6333414713542,637.433329264323,660.7666829427084,628.3666585286459,669.8333536783855,621.2333170572917,-0.09386581438100997,-84.50704225352112,-9.209184815741992,-5.797385184984861,-3.4117996307571303,35.749614990189926,21.45052794530094,651.27998046875,674.3274993896484,686.5380102539062,677.3065057373046,TATAMOTORS.NS,2025-08-18 11:39:31.310649
8,2025-08-06 00:00:00+05:30,655.0,658.0,650.4000244140625,652.8499755859375,6410830,0.0,0.0,2025-08-06,676.7824981689453,15.062159989381263,691.8446581583265,661.720338179564,706.9068181477078,646.6581781901828,-75.05248121111464,-184.44551779521296,27804224,6876131.233878903,10553028.43792044,805.8347079054433,35.216555721920344,653.75,657.0999755859375,649.5,661.3499755859375,646.1500244140625,664.699951171875,641.9000244140625,-0.08958714029955266,-88.67772630423553,-8.235799861941246,-4.944435277295579,-3.2913645846456667,38.05309430907339,19.310976982547096,655.1699829101562,676.7824981689453,687.9734985351563,677.266762084961,TATAMOTORS.NS,2025-08-18 11:39:31.310649
9,2025-08-05 00:00:00+05:30,655.9500122070312,658.9000244140625,650.5499877929688,654.5999755859375,6714804,0.0,0.0,2025-08-05,678.7799987792969,14.353614564523442,693.1336133438203,664.4263842147734,707.4872279083438,650.0727696502499,-89.41412985213516,-180.83239716209266,34215054,7221473.622190503,11472252.738930823,805.9971201879594,39.771271201062525,654.6833292643229,658.816670735677,650.4666341145833,663.0333658854166,646.3332926432291,667.1667073567708,642.1165974934895,-0.07096472346389034,-85.78516432076447,-7.4901636930094355,-4.121594131134162,-3.3685695618752733,38.691068801866074,17.91320686292225,658.289990234375,678.7799987792969,689.153095703125,677.1645104980469,TATAMOTORS.NS,2025-08-18 11:39:31.310649
10,2025-08-04 00:00:00+05:30,650.0499877929688,656.7999877929688,646.0,653.5999755859375,8033881,0.0,0.0,2025-08-04,680.7100006103516,13.501001706575755,694.2110023169273,667.2089989037759,707.7120040235031,653.7079971972,-129.51306552070153,-202.84363607052765,27500250,8626883.35353312,12534947.518115902,806.16565543063,35.267631438843864,652.1333211263021,658.2666422526042,647.4666544596355,662.9333089192709,641.3333333333334,669.066630045573,636.6666666666667,-0.06108888372905748,-87.43805688274793,-6.594384602589116,-3.279451740665343,-3.314932861923773,38.14077441289593,16.418376491973554,665.839990234375,680.7100006103516,690.2679479980469,677.0462463378906,TATAMOTORS.NS,2025-08-18 11:39:31.310649
11,2025-08-01 00:00:00+05:30,667.9500122070312,667.9500122070312,647.0,648.8499755859375,12546169,0.0,0.0,2025-08-01,682.4725006103515,11.992193744522435,694.4646943548739,670.4803068658291,706.4568880993963,658.4881131213067,-167.7201875049382,-197.198872158854,19466369,13374326.769283222,13511963.559261598,806.3691256075883,40.43697033822786,654.5999959309896,662.1999918619792,641.249979654948,675.5500081380209,633.6499837239584,683.1500040690105,620.2999674479167,-0.07154576208966468,-96.89079733455883,-5.249116151935823,-2.4507185251844,-2.798397626751423,35.59084678003916,14.501032858444322,671.7,682.4725006103515,691.65166015625,676.8522198486328,TATAMOTORS.NS,2025-08-18 11:39:31.310649
12,2025-07-31 00:00:00+05:30,659.8499755859375,673.4000244140625,652.3499755859375,665.9500122070312,18723710,0.0,0.0,2025-07-31,684.4825012207032,9.074048028552257,693.5565492492555,675.4084531921509,702.6305972778077,666.3344051635986,-175.7602690205782,-150.18705740714324,32012538,20485663.808577944,13546372.75675619,806.6978776556203,41.73281379609139,663.9000040690104,675.4500325520833,654.3999837239583,684.9500528971354,642.8499552408854,696.5000813802083,633.3499348958333,-0.02062392408917342,-74.88452356530816,-2.9794297847821554,-1.7511191184965442,-1.2283106662856111,41.27898595420198,12.495030624766942,679.410009765625,684.4825012207032,692.9172058105469,676.7170947265626,TATAMOTORS.NS,2025-08-18 11:39:31.310649
13,2025-07-30 00:00:00+05:30,690.0,690.0,665.25,668.4500122070312,18923129,0.0,0.0,2025-07-30,685.7050018310547,8.033162783181913,693.7381646142366,677.6718390478728,701.7713273974185,669.6386762646908,-128.3694523044416,-91.06136761689964,50736248,20781571.681140013,11811549.993800752,807.1376343953327,45.00508757292849,674.5666707356771,683.8833414713542,659.1333414713542,699.3166707356771,649.8166707356771,708.6333414713542,634.3833414713542,-0.0864738810122785,-92.24239464962122,-1.7124950912647137,-1.4440414519251414,-0.2684536393395722,42.19446108774368,10.651290697831143,686.3200073242188,685.7050018310547,693.8248876953126,676.196810913086,TATAMOTORS.NS,2025-08-18 11:39:31.310649
14,2025-07-29 00:00:00+05:30,681.9000244140625,694.0,680.5999755859375,692.3499755859375,6239871,0.0,0.0,2025-07-29,686.7100006103516,6.944369961158832,693.6543705715104,679.7656306491928,700.5987405326692,672.8212606880339,40.174650001593065,-10.2295901850735,69659377,7097702.576208388,9569044.571965937,807.576956420985,56.046441868270016,688.9833170572916,697.3666585286458,683.9666341145833,702.3833414713541,675.5832926432291,710.7666829427083,670.5666097005208,0.015003476100248506,-40.14191323138298,-0.31069998984821723,-1.376928042090248,1.0662280522420309,52.53785542568573,9.562711496617307,690.65,686.7100006103516,694.8679748535156,675.6708605957032,TATAMOTORS.NS,2025-08-18 11:39:31.310649
15,2025-07-28 00:00:00+05:30,690.7000122070312,700.5,681.4000244140625,682.9000244140625,7788718,0.0,0.0,2025-07-28,686.2825012207031,6.841302397168456,693.1238036178715,679.4411988235347,699.9651060150401,672.5998964263662,40.66876693602639,-15.863066053001983,63419506,8738554.76269529,10186880.070905322,807.6974422575246,50.911583073136846,688.2666829427084,695.1333414713542,676.0333658854167,707.3666585286459,669.1667073567709,714.2333170572917,656.9333902994792,-0.03682040667947145,-66.95028535017731,-0.8650541702020291,-1.6434850551507556,0.7784308849487265,47.8436266948709,9.861770391014613,686.860009765625,686.2825012207031,695.2764099121093,674.9009533691407,TATAMOTORS.NS,2025-08-18 11:39:31.310649
16,2025-07-25 00:00:00+05:30,701.0,702.4500122070312,684.7000122070312,687.4000244140625,7271718,0.0,0.0,2025-07-25,686.5375,6.803532814730281,693.3410328147303,679.7339671852698,700.1445656294605,672.9304343705395,97.34724705612268,-0.10514312196585018,71208224,8212267.279985762,10548961.39795783,807.860538887637,57.72021387068509,691.5166829427084,698.3333536783855,680.5833536783855,709.2666829427084,673.7666829427084,716.0833536783855,662.8333536783855,-0.0006599356704383968,-54.184327903368796,-0.6310116164522697,-1.838092776387937,1.2070811599356674,50.03168052342797,10.27427218531788,687.7700073242188,686.5375,696.0840368652343,674.5021673583984,TATAMOTORS.NS,2025-08-18 11:39:31.310649
17,2025-07-24 00:00:00+05:30,692.7000122070312,706.5,692.2999877929688,700.5,15197664,0.0,0.0,2025-07-24,686.5125,6.801114815919444,693.3136148159194,679.7113851840807,700.1147296318389,672.9102703681612,249.43018181394353,39.6236455928981,78479942,17490470.094085686,11133134.927450847,808.0076973952745,58.69222853737214,699.7666625976562,707.2333374023438,693.0333251953125,713.9666748046875,685.566650390625,721.433349609375,678.8333129882812,0.028308935270386526,-17.02127659574468,-0.7649872617810161,-2.139863066371854,1.3748758045908378,57.08938319142346,11.042408411984068,686.3400024414062,686.5125,696.825458984375,674.1877685546875,TATAMOTORS.NS,2025-08-18 11:39:31.310649
18,2025-07-23 00:00:00+05:30,676.7000122070312,693.0999755859375,676.25,690.0999755859375,14460727,0.0,0.0,2025-07-23,685.625,5.9894697816780464,691.614469781678,679.635530218322,697.6039395633561,673.6460604366439,76.51606666327685,-30.014569391773165,63282278,16395272.650846155,9543801.135792136,808.2828858940925,49.50561159756847,686.4833170572916,696.7166341145833,679.8666585286458,703.3332926432291,669.6333414713541,713.5666097005208,663.0166829427083,0.0669866652971261,-30.571054749497556,-2.2150750811309763,-2.4835820175195633,0.268506936388587,52.10916926687772,10.943231721916456,682.5800048828125,685.625,697.2533239746094,673.8083032226563,TATAMOTORS.NS,2025-08-18 11:39:31.310649
19,2025-07-22 00:00:00+05:30,688.0,688.8499755859375,672.3499755859375,673.4000244140625,7749518,0.0,0.0,2025-07-22,684.8450012207031,6.379133226215075,691.2241344469182,678.465867994488,697.6032676731332,672.086734768273,-79.96398432054457,-71.10965098837612,48821551,8573621.823159048,7830933.25702863,808.571433676621,47.042150217964476,678.1999918619791,684.0500081380208,667.5500081380208,694.6999918619791,661.6999918619791,700.5500081380208,651.0500081380208,-0.03915180742787512,-92.08094850570785,-3.013820338138771,-2.5507087516167095,-0.46311158652206164,42.087111097774766,11.083280963106468,680.360009765625,684.8450012207031,697.3111596679687,673.5819165039062,TATAMOTORS.NS,2025-08-18 11:39:31.310649
20,2025-07-21 00:00:00+05:30,680.5,688.5,671.25,687.4500122070312,6731863,0.0,0.0,2025-07-21,684.8575012207032,6.35572829167723,691.2132295123804,678.501772929026,697.5689578040576,672.1460446373487,-30.499162384334426,-53.87374803025065,56571069,7603138.418665425,7645261.1154960245,808.7485265475964,55.142299198310674,682.4000040690104,693.5500081380208,676.3000081380208,699.6500040690104,665.1500040690104,710.8000081380208,659.0500081380208,-0.07033016382211381,-40.33150040690067,-2.3461002057424594,-2.434930854986194,0.08883064924373452,50.31248132401503,10.582133057998538,682.560009765625,684.8575012207032,697.8765026855468,673.6871136474609,TATAMOTORS.NS,2025-08-18 11:39:31.310649
21,2025-07-18 00:00:00+05:30,683.2000122070312,686.0,678.0,680.25,5558670,0.0,0.0,2025-07-18,684.0475006103516,7.006881267036902,691.0543818773884,677.0406193433147,698.0612631444253,670.0337380762778,-50.38817392368494,-60.22419203039029,49839206,6212350.443281652,7655791.789703674,808.8867325306135,48.16250416029164,681.4166666666666,684.8333333333333,676.8333333333333,689.4166666666666,673.4166666666666,692.8333333333333,668.8333333333333,-0.10363937311460866,-68.75002889919499,-2.839380043031383,-2.4571385172971274,-0.38224152573425574,45.21779647429505,9.988389149106375,679.9700073242187,684.0475006103516,698.4206127929688,673.5645611572265,TATAMOTORS.NS,2025-08-18 11:39:31.310649
22,2025-07-17 00:00:00+05:30,679.0,686.9000244140625,678.1500244140625,681.7000122070312,6598144,0.0,0.0,2025-07-17,683.8450012207031,7.178818477830476,691.0238196985337,676.6661827428726,698.2026381763641,669.4873642650422,-50.61789774286157,-59.01990282273699,55397876,7389781.463329413,8016652.126309179,809.0078706344854,54.52170200720458,682.2500203450521,686.3500162760417,677.6000162760417,691.0000203450521,673.5000203450521,695.1000162760417,668.8500162760417,-0.05700911638883804,-63.25756349731122,-2.718814692458295,-2.3615781358635632,-0.35723655659473197,46.10176829579285,10.102002965519105,680.2800048828125,683.8450012207031,698.8648205566407,673.5278900146484,TATAMOTORS.NS,2025-08-18 11:39:31.310649
23,2025-07-16 00:00:00+05:30,684.4000244140625,684.4000244140625,676.3499755859375,679.0,6244205,0.0,0.0,2025-07-16,683.375,7.620752809352084,690.9957528093521,675.7542471906479,698.6165056187042,668.1334943812958,-94.6822648585031,-71.53185256757811,48799732,6965678.583542768,8173369.7920541195,809.1503354467062,54.81805281652076,679.9166666666666,683.4833577473958,675.4333089192708,687.9667154947916,671.8666178385416,691.5334065755208,667.3832600911458,-0.037022146097170465,-73.48487300537757,-2.666064579273666,-2.2722689967148804,-0.39379558255878555,44.21617334031614,10.241802890698866,683.0599975585938,683.375,698.7714001464843,673.5183599853516,TATAMOTORS.NS,2025-08-18 11:39:31.310649
24,2025-07-15 00:00:00+05:30,676.0,685.9500122070312,674.2999877929688,684.4000244140625,7041706,0.0,0.0,2025-07-15,682.9375,8.119950963177386,691.0574509631774,674.8175490368226,699.1774019263547,666.6975980736453,-100.23342978600654,-67.69166759889978,55043937,7917797.842610167,8475292.594181957,809.2883145208816,62.49092809081834,681.5500081380209,688.800028483073,677.1500040690105,693.2000325520834,669.8999837239584,700.4500528971355,665.499979654948,-0.066966153259792,-53.030253989244876,-2.292223238529914,-2.173820101075184,-0.11840313745473008,47.288555623160555,10.060086662678978,685.8199951171875,682.9375,698.6814147949219,673.4768377685547,TATAMOTORS.NS,2025-08-18 11:39:31.310649
25,2025-07-14 00:00:00+05:30,681.0,681.0,672.0,674.5,7748550,0.0,0.0,2025-07-14,682.4549987792968,8.312889482042392,690.7678882613392,674.1421092972545,699.0807777433816,665.829219815212,-229.57439018401274,-94.69791716013269,48002231,8586553.848097667,8614666.282074904,809.4378037570756,53.98634460551027,675.8333333333334,679.6666666666667,670.6666666666667,684.8333333333334,666.8333333333334,688.6666666666667,661.6666666666667,-0.14819806749912545,-90.53031178763484,-2.3106829682275247,-2.144219316711501,-0.1664636515160236,40.21674898137936,9.864392263272949,687.5799926757812,682.4549987792968,697.8469018554688,673.4130419921875,TATAMOTORS.NS,2025-08-18 11:39:31.310649
26,2025-07-11 00:00:00+05:30,692.9500122070312,698.4000244140625,677.0499877929688,681.7999877929688,8280654,0.0,0.0,2025-07-11,683.0625,8.14317143412999,691.20567143413,674.91932856587,699.34884286826,666.77615713174,-104.33955240279872,-58.103899596932,55750781,9275517.123773761,8621694.390569212,809.6157696564937,63.718147563949735,685.75,694.4500122070312,673.0999755859375,707.1000366210938,664.3999633789062,715.800048828125,651.7499389648438,-0.16488381731696208,-62.87886844624056,-1.3243042636793234,-2.102603403832495,0.7782991401531718,44.284766372700126,9.02063887650212,690.4499877929687,683.0625,697.4751135253906,673.4532043457032,TATAMOTORS.NS,2025-08-18 11:39:31.310649
27,2025-07-10 00:00:00+05:30,692.0,696.75,685.0,695.5999755859375,7733963,0.0,0.0,2025-07-10,684.575,10.394434152295164,694.9694341522952,674.1805658477049,705.3638683045904,663.7861316954097,87.71898908477976,-33.991554068163914,64031435,8838491.571883893,8458238.707268074,809.7961729163677,62.74704316727401,692.4499918619791,699.8999837239583,688.1499837239583,704.1999918619791,680.6999918619791,711.6499837239583,676.3999837239583,-0.10856350810492572,-4.376126478147066,-0.7603135948352246,-2.297178188870788,1.5368645940355634,53.84564933705145,8.564934824806427,691.8999877929688,684.575,696.7104479980469,673.3549291992188,TATAMOTORS.NS,2025-08-18 11:39:31.310649
28,2025-07-09 00:00:00+05:30,688.9500122070312,695.5,688.5,692.7999877929688,5478813,0.0,0.0,2025-07-09,685.5625,12.266528862220627,697.8290288622206,673.2959711377794,710.0955577244413,661.0294422755587,101.94502639500887,-36.674779565463396,56297472,6236068.153803884,8363175.491114119,809.9469106147714,63.810816725432524,692.2666625976562,696.0333251953125,689.0333251953125,699.2666625976562,685.2666625976562,703.0333251953125,682.0333251953125,-0.1755311565764221,-13.45225117569201,-1.3858044363828412,-2.681394337379679,1.2955899009968377,51.888674564038666,8.872344884324837,690.8599975585937,685.5625,695.5736096191406,673.2995983886718,TATAMOTORS.NS,2025-08-18 11:39:31.310649
29,2025-07-08 00:00:00+05:30,693.0,696.9500122070312,687.5,693.2000122070312,7615926,0.0,0.0,2025-07-08,687.7425018310547,16.695274111580126,704.4377759426349,671.0472277194746,721.133050054215,654.3519536078944,109.11570628298117,-35.43001063438995,61776285,8673567.872365437,8894952.325441677,810.0565563655547,61.173477121041145,692.5500081380209,697.6000162760417,688.1500040690105,702.0000203450521,683.0999959309896,707.050028483073,678.6999918619792,-0.18106840038479569,-12.155577142608424,-1.8898688457780963,-3.0052918126288883,1.115422966850792,52.182177232472725,9.520947145523731,690.0099975585938,687.7425018310547,694.9161303710938,673.3788513183594,TATAMOTORS.NS,2025-08-18 11:39:31.310649
30,2025-07-07 00:00:00+05:30,689.0499877929688,691.9500122070312,683.3499755859375,688.8499755859375,5428220,0.0,0.0,2025-07-07,689.6950012207031,19.427055566885656,709.1220567875888,670.2679456538175,728.5491123544745,650.8408900869318,43.917704000871474,-55.620310322233806,54160359,6143255.698725482,8950298.438710738,810.2087917498859,53.02138752715919,688.0499877929688,692.75,684.1499633789062,696.6500244140625,679.449951171875,701.3500366210938,675.5499267578125,-0.11793611168260373,-26.25616533484223,-2.545986003952862,-3.2841475543415863,0.7381615503887242,49.28538609903053,10.219441888353309,688.1299926757813,689.6950012207031,694.3012170410157,673.4828570556641,TATAMOTORS.NS,2025-08-18 11:39:31.310649
31,2025-07-04 00:00:00+05:30,691.0,692.8499755859375,686.3499755859375,689.0499877929688,4942900,0.0,0.0,2025-07-04,691.1425018310547,20.41422403173938,711.5567258627941,670.7282777993153,731.9709498945334,650.314053767576,67.8329391233776,-53.212566189080825,59588579,5595630.873334901,9652059.123707052,810.3215821325247,48.69523839070796,689.4166463216146,692.4833170572917,685.9833170572917,695.9166463216146,682.9166463216146,698.9833170572917,679.4833170572917,-0.13338149980579161,-25.607828318300434,-2.9190265467512972,-3.468687941938767,0.5496613951874698,49.41318475473606,10.510055340187185,687.9599975585937,691.1425018310547,693.5175036621093,673.7037316894531,TATAMOTORS.NS,2025-08-18 11:39:31.310649
32,2025-07-03 00:00:00+05:30,693.8499755859375,696.9500122070312,688.5,690.4000244140625,9668110,0.0,0.0,2025-07-03,692.2400024414062,20.880514437449897,713.120516878856,671.3594880039564,734.001031316306,650.4789735665064,108.44471785694336,-42.70074000200281,64531479,10966268.753702953,10666166.18630009,810.4243013989163,40.9620159824731,691.9500122070312,695.4000244140625,686.9500122070312,700.4000244140625,683.5,703.8500366210938,678.5,-0.10983288079067204,-49.269234983957574,-3.3721019810758435,-3.6061032907356343,0.23400130965979082,50.229553806054966,11.111289878418681,687.5300048828125,692.2400024414062,692.9895556640626,673.8581604003906,TATAMOTORS.NS,2025-08-18 11:39:31.310649
33,2025-07-02 00:00:00+05:30,683.7999877929688,692.4500122070312,680.6500244140625,688.5499877929688,8034013,0.0,0.0,2025-07-02,693.2275024414063,21.25261844325671,714.4801208846629,671.9748839981496,735.7327393279197,650.7222655548928,83.0604316047235,-60.22731544561049,54863369,9088338.811168965,10591140.544449372,810.6234795908989,34.88968247246379,687.2166748046875,693.7833251953125,681.9833374023438,699.0166625976562,675.4166870117188,705.5833129882812,670.183349609375,-0.08055349674785696,-54.04299820455571,-4.034041530416175,-3.664603618150582,-0.3694379122655933,49.16075476032166,11.963757674878144,686.0,693.2275024414063,692.2670483398438,673.77005859375,TATAMOTORS.NS,2025-08-18 11:39:31.310649
34,2025-07-01 00:00:00+05:30,691.0999755859375,693.8499755859375,680.4000244140625,683.7999877929688,6866073,0.0,0.0,2025-07-01,694.2575042724609,21.51160214547919,715.7691064179401,672.7459021269817,737.2807085634192,651.2342999815025,90.36470687254256,-59.84335483512555,46829356,7713544.853376291,10966840.977769472,810.7920511510589,29.200041366821893,686.0166625976562,691.63330078125,678.183349609375,699.4666137695312,672.5667114257812,705.083251953125,664.7333984375,-0.07860344063115386,-75.27932520384113,-4.638202323624228,-3.5722441400841833,-1.0659581835400442,46.41737648778918,12.449240829092973,683.1900024414062,694.2575042724609,691.0054943847656,673.8898284912109,TATAMOTORS.NS,2025-08-18 11:39:31.310649
