Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-17 00:00:00+05:30,694.5999755859375,704.0999755859375,690.0,696.4000244140625,12263,0.0,0.0,2025-09-17,699.5899932861328,12.866873771234056,712.4568670573668,686.7231195148987,725.3237408286009,673.8562457436647,-174.28824709972605,-0.028195354498150898,-181457,5817.304948242855,7471.177317310161,1021.3668703486735,66.15000948141642,696.8333333333334,703.6666666666667,689.5666910807292,710.9333089192709,682.7333577473959,717.7666422526042,675.4667154947917,-0.08323309746457033,-50.15869140625,1.2937427543487274,0.7684740428415657,0.5252687115071617,47.066985066835564,15.301550610819886,704.039990234375,699.5899932861328,705.7834204101563,723.2538427734376,TCIEXP.NS,2025-09-17 11:35:35.810027
2,2025-09-15 00:00:00+05:30,705.2999877929688,715.2999877929688,693.0999755859375,696.5,20606,0.0,0.0,2025-09-15,699.5324920654297,12.884437542129719,712.4169296075594,686.6480545233,725.3013671496891,673.7636169811702,-92.94169147883639,15.063084290135455,-169194,9776.44903924119,7884.645409576988,1021.5429702284988,67.60869088631598,701.6333211263021,710.1666666666667,687.9666544596355,723.8333333333334,679.4333089192709,732.366678873698,665.7666422526042,-0.03913007040253904,-50.0,2.0192604277673354,0.6371568649647752,1.3821035628025602,47.116176309813696,15.728953475567181,707.1199829101563,699.5324920654297,706.7365661621094,723.1913598632813,TCIEXP.NS,2025-09-17 11:35:35.810027
3,2025-09-12 00:00:00+05:30,709.2999877929688,725.0,704.0,706.5999755859375,15428,0.0,0.0,2025-09-12,698.4074920654297,14.089125197354704,712.4966172627844,684.3183668680749,726.585742460139,670.2292416707203,28.57065070601959,48.746449348011836,-148588,7425.908144034133,7411.694502160937,1021.8392168379013,71.12160822268966,711.8666585286459,719.7333170572917,698.7333170572917,732.8666585286459,690.8666585286459,740.7333170572917,677.7333170572917,-0.0549011564629061,-33.96829272073413,2.907701968184142,0.2916309742641351,2.616070993920007,52.236300808203616,16.4245024880472,710.4399780273437,698.4074920654297,707.8143737792968,723.0770135498046,TCIEXP.NS,2025-09-17 11:35:35.810027
4,2025-09-11 00:00:00+05:30,715.0999755859375,720.0,703.2000122070312,705.5999755859375,13650,0.0,0.0,2025-09-11,697.0599945068359,14.545710781709664,711.6057052885456,682.5142837251262,726.1514160702552,667.9685729434166,23.388374880203727,34.48667990367087,-164016,6560.811090608436,7408.141091692638,1022.054477799191,65.92150350672273,709.5999959309896,715.999979654948,699.1999918619792,726.3999837239584,692.8000081380209,732.7999674479167,682.4000040690105,-0.001255557643409194,-35.555594308035715,3.006425708917959,-0.3623867742158666,3.3688124831338255,51.75428287980861,17.309307044992767,713.1699829101562,697.0599945068359,708.7769494628906,722.9584075927735,TCIEXP.NS,2025-09-17 11:35:35.810027
5,2025-09-10 00:00:00+05:30,711.7999877929688,724.3499755859375,710.0499877929688,715.0999755859375,9559,0.0,0.0,2025-09-10,695.1574951171875,15.803889397410842,710.9613845145984,679.3536057197766,726.7652739120092,663.5497163223658,65.5595656661097,53.59053419618633,-150366,4656.349273706864,7619.973591963688,1022.2457807910017,67.48351359697133,716.4999796549479,722.949971516927,708.6499837239583,730.7999674479166,702.1999918619791,737.2499593098958,694.3499959309895,0.007104540365106886,-20.476229228670636,3.1857549571467416,-1.204589894999323,4.390344852146065,56.811868355193695,18.61016258941009,714.7299926757812,695.1574951171875,709.8831945800781,722.8328479003907,TCIEXP.NS,2025-09-17 11:35:35.810027
6,2025-09-09 00:00:00+05:30,713.0999755859375,721.25,705.75,711.7999877929688,13188,0.0,0.0,2025-09-09,693.2924957275391,15.52504184318811,708.8175375707272,677.767453884351,724.3425794139152,662.2424120411629,62.04958114703059,38.40776575247384,-159925,6394.4506390992265,8360.879671527893,1022.3758632612354,61.371119835403725,712.9333292643229,720.1166585286458,704.6166585286458,728.4333292643229,697.4333292643229,735.6166585286458,689.1166585286458,0.04031525331255219,-25.714305090525794,2.4314756619676245,-2.302176108035839,4.733651770003464,55.40621938030289,19.48515249339423,715.1299926757813,693.2924957275391,710.755556640625,722.3644512939453,TCIEXP.NS,2025-09-17 11:35:35.810027
7,2025-09-08 00:00:00+05:30,720.25,726.4500122070312,711.5999755859375,713.0999755859375,9577,0.0,0.0,2025-09-08,691.1799957275391,15.747076346676295,706.9270720742154,675.4329193808628,722.6741484208917,659.6858430341865,96.74600424099424,47.24791267810594,-146737,4652.069920698104,8852.486929635059,1022.5574408385588,68.3481769364784,717.0499877929688,722.5,707.6499633789062,731.9000244140625,702.199951171875,737.3500366210938,692.7999267578125,0.05086461391849131,-23.65083240327381,1.7539278521145434,-3.4855890505367046,5.239516902651248,56.07382094093499,20.664912566948487,711.8,691.1799957275391,711.9741674804687,721.9629638671875,TCIEXP.NS,2025-09-17 11:35:35.810027
8,2025-09-05 00:00:00+05:30,710.0,722.5,704.0,720.25,10325,0.0,0.0,2025-09-05,688.942495727539,15.647488504660242,704.5899842321993,673.2950072228788,720.2374727368596,657.6475187182185,124.61769363471144,38.20497607093955,-137160,5065.7021618123445,9902.591181869298,1022.6888817124336,70.33430869259793,715.5833333333334,727.1666666666667,708.6666666666667,734.0833333333334,697.0833333333334,745.6666666666667,690.1666666666667,0.08496620343728305,-12.301587301587302,0.731857572735862,-4.795468276199516,5.527325848935378,59.75070437079257,21.43932207872854,705.4700073242187,688.942495727539,712.904482421875,721.3230798339844,TCIEXP.NS,2025-09-17 11:35:35.810027
9,2025-09-04 00:00:00+05:30,720.3499755859375,728.0,707.2999877929688,713.4000244140625,30559,0.0,0.0,2025-09-04,686.1699951171875,14.691565260878273,700.8615603780657,671.4784298563092,715.553125638944,656.7868645954309,181.47141047279052,36.32984633041669,-147485,14850.414745485808,11111.813436883538,1022.8274381115805,79.70388192263619,716.2333374023438,725.1666870117188,704.4666748046875,736.933349609375,695.5333251953125,745.86669921875,683.7666625976562,0.03435167727428016,-20.041153711458193,-1.291959925319361,-6.17729973843336,4.885339813113999,57.25736832541459,22.551097046950876,697.9900024414062,686.1699951171875,713.4175305175781,720.4197100830078,TCIEXP.NS,2025-09-17 11:35:35.810027
10,2025-09-03 00:00:00+05:30,695.1500244140625,720.5999755859375,686.5,717.0999755859375,34535,0.0,0.0,2025-09-03,684.0349945068359,13.587302567365862,697.6222970742018,670.44769193947,711.2095996415676,656.8603893721042,174.36931263183098,10.161341189249471,-116926,16869.62748544477,10177.16310973297,1023.2475704426278,78.40568134510741,708.066650390625,729.63330078125,695.5333251953125,742.1666259765625,673.9666748046875,763.7332763671875,661.433349609375,0.040053413455501986,-5.347597572393624,-3.1888656427701108,-7.398634691711861,4.20976904894175,59.09343407356503,23.482161240563755,692.4799926757812,684.0349945068359,714.0815405273438,719.5120349121094,TCIEXP.NS,2025-09-17 11:35:35.810027
11,2025-09-02 00:00:00+05:30,681.4500122070312,698.2999877929688,678.6500244140625,695.1500244140625,35632,0.0,0.0,2025-09-02,682.3674957275391,11.142281337353568,693.5097770648927,671.2252143901856,704.6520584022462,660.082933052832,7.487954681815293,-39.80103005049037,-151461,16872.718720758858,8504.04701580502,1023.7180550260391,73.13894619847886,690.7000122070312,702.75,683.1000366210938,710.3499755859375,671.050048828125,722.3999633789062,663.4500732421875,-0.08336195268796985,-25.719557781107543,-5.933552765482432,-8.451076953947299,2.5175241884648667,50.317130572530786,24.982392439842826,684.4699951171875,682.3674957275391,714.6665649414062,718.6566217041016,TCIEXP.NS,2025-09-17 11:35:35.810027
12,2025-09-01 00:00:00+05:30,679.0499877929688,692.5499877929688,679.0499877929688,681.4500122070312,13245,0.0,0.0,2025-09-01,683.1399932861328,12.52492896163599,695.6649222477688,670.6150643244969,708.1898512094048,658.0901353628609,-60.7526861255403,-58.78859626367212,-187093,6148.260934559911,6411.879089566559,1024.2398618518428,70.87457510357375,684.3499959309896,689.6500040690105,676.1500040690105,697.8499959309896,670.8499959309896,703.1500040690105,662.6500040690105,-0.18196718520825345,-51.160631909670194,-7.195944075884086,-9.080458001063516,1.88451392517943,43.26220522678441,25.339247825211505,682.9099853515625,683.1399932861328,715.6875964355469,717.9229693603515,TCIEXP.NS,2025-09-17 11:35:35.810027
13,2025-08-29 00:00:00+05:30,689.25,692.7000122070312,680.4000244140625,682.8499755859375,7173,0.0,0.0,2025-08-29,684.2199920654297,13.280034405344496,697.5000264707742,670.9399576600852,710.7800608761187,657.6599232547406,-41.06985660432479,-58.77542742804968,-173848,3336.510175022313,6477.7836283182205,1024.4423411474102,75.50676866677706,685.3166707356771,690.2333170572917,677.933329264323,697.6166585286459,673.0166829427084,702.5333048502605,665.6333414713542,-0.134579440201759,-48.560884437784914,-7.3539144138743495,-9.551586482358372,2.1976720684840227,43.85309819051466,25.125871500727712,685.8699829101563,684.2199920654297,717.0394750976562,717.4579650878907,TCIEXP.NS,2025-09-17 11:35:35.810027
14,2025-08-28 00:00:00+05:30,677.0499877929688,690.0,665.0,685.8499755859375,20346,0.0,0.0,2025-08-28,684.7199920654297,13.413321408105649,698.1333134735353,671.306670657324,711.546634881641,657.8933492492183,-67.9473799491052,-73.85106235750446,-166675,9505.489626658506,7263.1019916421965,1024.5516483149622,71.87422528009182,680.2833251953125,695.566650390625,670.566650390625,705.2833251953125,655.2833251953125,720.566650390625,645.566650390625,-0.0889174971848194,-42.98985127136798,-7.582616551892329,-10.101004499479378,2.5183879475870494,45.0782089477592,24.975030793256558,687.7999877929688,684.7199920654297,718.4810400390625,717.1564855957031,TCIEXP.NS,2025-09-17 11:35:35.810027
15,2025-08-26 00:00:00+05:30,682.0,685.0999755859375,675.0,677.0499877929688,7089,0.0,0.0,2025-08-26,685.4799926757812,13.902416510687313,699.3824091864685,671.5775761650939,713.2848256971558,657.6751596544066,-65.19575926641895,-79.9916099567946,-187021,3269.4299409358073,6702.505082888119,1024.8593503739246,62.41872412696108,679.0499877929688,683.0999755859375,673.0,689.1499633789062,668.9500122070312,693.199951171875,662.9000244140625,-0.12031951597644397,-59.33152589093233,-8.05599100811412,-10.730601486376141,2.6746104782620215,40.554769046483926,24.546327897028593,690.039990234375,685.4799926757812,720.3443139648438,716.6734118652344,TCIEXP.NS,2025-09-17 11:35:35.810027
16,2025-08-25 00:00:00+05:30,699.75,699.75,685.0,687.3499755859375,8831,0.0,0.0,2025-08-25,686.3649932861329,13.900908799818364,700.2659020859512,672.4640844863145,714.1668108857696,658.5631756864962,23.950977361496303,-56.11259537792209,-179932,4134.796413573954,7560.773868376197,1024.9694783748312,60.67999115279971,690.6999918619791,696.3999837239583,681.6499837239583,705.4499918619791,675.9499918619791,711.1499837239583,666.8999837239583,-0.12266899000862827,-40.20433468815951,-7.67332782460403,-11.399254105941646,3.7259262813376157,44.541922596052956,24.63678949925143,694.7199951171875,686.3649932861329,721.8270788574218,716.2583911132813,TCIEXP.NS,2025-09-17 11:35:35.810027
17,2025-08-22 00:00:00+05:30,694.0,698.5,688.3499755859375,696.25,10098,0.0,0.0,2025-08-22,687.0899932861328,14.326589248576116,701.4165825347089,672.7634040375566,715.743171783285,658.4368147889805,56.32090274718145,-50.67168719896069,-171101,4789.243286271405,8417.268232076758,1025.1027016968083,57.82842865823675,694.3666585286459,700.3833414713542,690.2333170572917,704.5166829427084,684.2166341145834,710.5333658854167,680.0832926432292,-0.12319089682389764,-30.397994780226878,-8.08153318555992,-12.33073567627605,4.249202490716129,48.35647668385399,25.35995150868189,696.3,687.0899932861328,723.1427404785156,715.496025390625,TCIEXP.NS,2025-09-17 11:35:35.810027
18,2025-08-21 00:00:00+05:30,700.0,700.4500122070312,691.0,692.5,8716,0.0,0.0,2025-08-21,688.3874938964843,16.24631064094827,704.6338045374326,672.141183255536,720.8801151783808,655.8948726145878,72.58442992140107,-52.90896499102887,-181199,4111.528678494813,9324.274468528096,1025.2511501342422,63.54191654063804,694.6500040690104,698.3000081380208,688.8499959309895,704.1000162760416,685.1999918619791,707.750020345052,679.3999837239583,-0.14029846032316867,-50.365480948920265,-9.358229829599736,-13.39303629895508,4.034806469355344,46.56608355215762,26.361406118016443,691.85,688.3874938964843,724.4489489746094,714.7114801025391,TCIEXP.NS,2025-09-17 11:35:35.810027
19,2025-08-20 00:00:00+05:30,707.4500122070312,708.4500122070312,690.0,697.0499877929688,15681,0.0,0.0,2025-08-20,690.0249938964844,18.213952292537904,708.2389461890223,671.8110416039465,726.4528984815602,653.5970893114086,120.02025567998756,-47.09391512174392,-172483,7445.673761297035,10627.460916036416,1025.3808516004117,66.72918057830394,698.5,707.0,688.5499877929688,716.9500122070312,680.0499877929688,725.4500122070312,670.0999755859375,-0.1321287407796422,-44.31898554298173,-10.481678868868926,-14.401737916293914,3.9200590474249886,48.45886841176539,27.613392424647724,689.2800048828125,690.0249938964844,726.0465783691407,714.235708618164,TCIEXP.NS,2025-09-17 11:35:35.810027
20,2025-08-19 00:00:00+05:30,700.0,708.25,697.6500244140625,700.4500122070312,20488,0.0,0.0,2025-08-19,691.6149932861329,20.14510493884098,711.7600982249738,671.4698883472919,731.9052031638148,651.3247834084509,205.93049302167785,-41.61680858740516,-156802,9775.591322749173,11422.90770472126,1025.611259956232,65.9003947176795,702.1166788736979,706.5833333333333,695.9833577473958,712.7166544596354,691.5167032877604,717.1833089192708,685.3833821614583,-0.12545069735224001,-37.95944605777993,-12.2093256204397,-15.381752678150159,3.1724270577104594,49.86528067707872,28.961685370250645,683.3800048828125,691.6149932861329,727.9002783203125,713.8750073242187,TCIEXP.NS,2025-09-17 11:35:35.810027
21,2025-08-18 00:00:00+05:30,677.4000244140625,702.7000122070312,674.0499877929688,695.25,25680,0.0,0.0,2025-08-18,692.9549926757812,21.602343907696117,714.5573365834773,671.3526487680851,736.1596804911735,649.750304860389,140.31788006241803,-70.2637578186065,-177290,12161.925577165022,11834.73680021428,1025.9096672857045,61.51565363853087,690.6666666666666,707.2833455403645,678.633321126302,719.3166910807291,662.0166422526041,735.933369954427,649.9832967122395,-0.12745499401816007,-44.550080529249676,-14.571098098904827,-16.174859442577773,1.6037613436729465,47.71003143670869,30.88696720754631,678.85,692.9549926757812,729.9113757324219,713.7047045898438,TCIEXP.NS,2025-09-17 11:35:35.810027
22,2025-08-14 00:00:00+05:30,683.0499877929688,709.0,655.1500244140625,674.0,74993,0.0,0.0,2025-08-14,695.2474914550781,24.14225961992451,719.3897510750027,671.1052318351536,743.5320106949272,646.9629722152291,3.7043714109492645,-100.68297136561253,-202970,34430.78690181925,11752.939605976593,1026.290458775398,54.384717655739024,679.3833414713541,703.6166585286458,649.7666829427083,733.2333170572916,625.5333658854166,757.4666341145833,595.9167073567708,-0.18296861144808652,-71.48289855789983,-16.861985932021184,-16.57579977849601,-0.2861861535251755,37.51732729254375,32.57400099132393,673.7099975585937,695.2474914550781,732.2359118652344,713.4392956542969,TCIEXP.NS,2025-09-17 11:35:35.810027
23,2025-08-13 00:00:00+05:30,663.1500244140625,682.7999877929688,662.5499877929688,679.6500244140625,13119,0.0,0.0,2025-08-13,698.977490234375,26.348773209722363,725.3262634440973,672.6287170246526,751.6750366538197,646.2799438149302,-29.168951566286907,-118.35461317539688,-127977,6073.68680608549,6083.477782015929,1027.479222676744,34.09267646724217,675.0,687.4500122070312,667.2000122070312,695.25,654.75,707.7000122070312,646.9500122070312,-0.1523086283332654,-64.32190658607037,-17.446728901207848,-16.504253240114714,-0.942475661093134,39.41415593182518,34.3908066046229,672.5799926757812,698.977490234375,734.9994091796875,713.3589605712891,TCIEXP.NS,2025-09-17 11:35:35.810027
24,2025-08-12 00:00:00+05:30,686.0999755859375,686.5,665.2000122070312,667.5499877929688,8455,0.0,0.0,2025-08-12,702.3749877929688,28.051301214781162,730.4262890077499,674.3236865781877,758.4775902225311,646.2723853634064,-44.52249554174625,-132.3905823998844,-141096,3844.7112528559896,6085.925525998538,1027.684668449065,28.575892286091488,673.0833333333334,680.9666544596355,659.6666666666667,694.3833211263021,651.7833455403646,702.2666422526042,638.366678873698,-0.18925601825194793,-79.6578164428196,-18.48747451766951,-16.26863432484143,-2.2188401928280825,32.64181485131465,34.29509002048687,669.6099853515625,702.3749877929688,737.8334155273437,713.1932025146484,TCIEXP.NS,2025-09-17 11:35:35.810027
25,2025-08-11 00:00:00+05:30,667.0,680.25,666.0,677.7999877929688,15162,0.0,0.0,2025-08-11,706.3374877929688,28.46734636479027,734.804834157759,677.8701414281785,763.2721805225493,649.4027950633882,-45.81700620752843,-139.3539280010963,-132641,7000.424459218474,6646.229094284175,1027.8218116718958,26.0473103558152,674.6833292643229,683.3666585286458,669.1166585286458,688.9333292643229,660.4333292643229,697.6166585286458,654.8666585286458,-0.1427451142839116,-67.53087926793981,-18.348160760642713,-15.713924276634408,-2.634236484008305,35.78859276692846,34.30855836737692,670.239990234375,706.3374877929688,740.5463940429687,712.8208221435547,TCIEXP.NS,2025-09-17 11:35:35.810027
26,2025-08-08 00:00:00+05:30,669.0,675.0,662.5499877929688,669.5499877929688,6459,0.0,0.0,2025-08-08,709.1267578125,28.256219619587153,737.3829774320872,680.8705381929129,765.6391970516744,652.6143185733257,-83.32719951121769,-167.30723003583543,-147803,2945.877039974919,6557.680253050599,1028.0610022602382,19.323230477821625,669.0333251953125,675.5166625976562,663.066650390625,681.4833374023438,656.5833129882812,687.9666748046875,650.6166381835938,-0.2047519867644703,-78.38324815213323,-18.90126419656076,-15.05536515563233,-3.8458990409284297,30.802905224650274,33.76229849754269,671.4299926757812,709.1267578125,742.2335717773437,712.4925494384765,TCIEXP.NS,2025-09-17 11:35:35.810027
27,2025-08-07 00:00:00+05:30,664.7999877929688,671.9500122070312,656.4500122070312,668.3499755859375,9704,0.0,0.0,2025-08-07,712.6576477050781,27.451148966114943,740.1087966711931,685.2064987389632,767.559945637308,657.7553497728483,-122.2486774270593,-195.17416035162282,-154262,4417.952568533011,7460.631056319518,1028.165398944393,15.689421158122599,665.5833333333334,674.7166544596355,659.2166544596355,681.0833333333334,650.0833333333334,690.2166544596355,643.7166544596355,-0.2345017126280633,-81.19421855224024,-18.51052141078071,-14.093890395400223,-4.416631015380489,30.06953734409919,32.69243099401182,679.639990234375,712.6576477050781,744.0279040527344,712.2153607177735,TCIEXP.NS,2025-09-17 11:35:35.810027
28,2025-08-06 00:00:00+05:30,670.0,679.0,659.0,664.7999877929688,25502,0.0,0.0,2025-08-06,716.7920806884765,26.641682504122794,743.4337631925993,690.1503981843538,770.0754456967221,663.5087156802309,-148.7605601135421,-212.81175889020483,-163966,11548.659285949445,8221.300678266145,1028.322884063136,15.973747599490252,667.5999959309896,676.1999918619792,656.1999918619792,687.5999959309896,647.5999959309896,696.1999918619792,636.1999918619792,-0.22564450973750996,-86.81210608560296,-17.61160677206999,-12.9897326415551,-4.62187413051489,27.972556574761185,31.2623319680567,686.5799926757812,716.7920806884765,746.0836010742188,712.0658624267578,TCIEXP.NS,2025-09-17 11:35:35.810027
29,2025-08-05 00:00:00+05:30,685.0499877929688,690.9500122070312,668.0,670.7000122070312,14340,0.0,0.0,2025-08-05,720.909536743164,24.45738316734022,745.3669199105043,696.4521535758238,769.8243030778444,671.9947704084836,-127.92962223831813,-209.63802347422674,-138464,6551.545931849549,7389.4610263453205,1028.7414990713812,22.597048945764797,676.5500081380209,685.1000162760417,662.1500040690105,699.5000203450521,653.5999959309896,708.050028483073,639.1999918619792,-0.18941483386063362,-81.35016033954396,-15.844261099382038,-11.834264108926376,-4.009996990455662,29.3298602173616,29.79478680100147,692.189990234375,720.909536743164,748.2212683105469,712.0042236328125,TCIEXP.NS,2025-09-17 11:35:35.810027
30,2025-08-04 00:00:00+05:30,714.2000122070312,714.2000122070312,681.0,683.75,21288,0.0,0.0,2025-08-04,724.4751770019532,21.80678857000078,746.281965571954,702.6683884319524,768.0887541419547,680.8615998619516,-68.2022711471609,-175.76804466786143,-124124,9915.13257326773,7598.939799969263,1028.973490850395,30.026869827506573,692.9833374023438,704.9666748046875,671.7666625976562,726.183349609375,659.7833251953125,738.1666870117188,638.566650390625,-0.1307142166099787,-68.67411736178755,-13.922521527410709,-10.831764861312461,-3.0907566660982475,32.576408554840356,28.473191571173132,698.2599853515625,724.4751770019532,750.1112829589844,712.1882690429687,TCIEXP.NS,2025-09-17 11:35:35.810027
