Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-21 00:00:00+05:30,474.3500061035156,474.3500061035156,474.3500061035156,474.3500061035156,2763,0.0,0.0,2025-10-21,459.9399978637695,15.754980824169596,475.6949786879391,444.1850170395999,491.4499595121087,428.43003621543033,123.62427054879443,77.56110679186914,38771280,31315.935314671395,96670.87117210228,99.80712964330165,40.33584343907624,474.3500061035156,474.3500061035156,474.3500061035156,474.3500061035156,474.3500061035156,474.3500061035156,474.3500061035156,,-26.72175243184303,15.578306116276565,19.825722466767,-4.247416350490436,65.21748779178137,33.61185396920358,456.13999633789064,459.9399978637695,386.8132403564453,338.6713671875,TERASOFT.NS,2025-10-22 11:42:55.332927
2,2025-10-20 00:00:00+05:30,465.04998779296875,465.04998779296875,465.04998779296875,465.04998779296875,9443,0.0,0.0,2025-10-20,459.7199981689453,15.572839120180374,475.2928372891257,444.14715904876493,490.86567640930605,428.5743199285846,65.74684581539097,69.28788269648943,38768517,104928.92388320132,113009.60513646,99.79004959842979,44.07933468106114,465.04998779296875,465.04998779296875,465.04998779296875,465.04998779296875,465.04998779296875,465.04998779296875,465.04998779296875,,-39.531693931416164,15.037793283968426,20.88757655438961,-5.8497832704211845,62.5802303844596,34.28561821022758,447.2199951171875,459.7199981689453,383.20046081542966,336.54173553466796,TERASOFT.NS,2025-10-22 11:42:55.332927
3,2025-10-17 00:00:00+05:30,455.95001220703125,455.95001220703125,455.95001220703125,455.95001220703125,5580,0.0,0.0,2025-10-17,458.84749908447264,15.74636695311879,474.59386603759145,443.10113213135384,490.3402329907102,427.3547651782351,8.535607101352634,61.78420790914646,38759074,60790.682955974175,115029.77544977465,99.73311368356163,47.43635677274529,455.95001220703125,455.95001220703125,455.95001220703125,455.95001220703125,455.95001220703125,455.95001220703125,455.95001220703125,,-52.06609451116603,15.033838608279723,22.350022371994903,-7.3161837637151805,59.81159267129848,35.48222236622747,441.9099975585938,458.84749908447264,379.8934008789063,334.5480035400391,TERASOFT.NS,2025-10-22 11:42:55.332927
4,2025-10-16 00:00:00+05:30,447.04998779296875,447.04998779296875,447.04998779296875,447.04998779296875,8199,0.0,0.0,2025-10-16,457.36499786376953,17.347838081445666,474.7128359452152,440.01715978232386,492.0606740266609,422.6693217008782,-37.259148274710476,54.899531936523125,38753494,87579.52102143731,128589.54857322476,99.70029939488961,40.10037650875408,447.04998779296875,447.04998779296875,447.04998779296875,447.04998779296875,447.04998779296875,447.04998779296875,447.04998779296875,,-64.32508027677676,15.697199708349785,24.179068312923697,-8.481868604573911,56.916661081638566,37.270709845108925,440.1999938964844,457.36499786376953,376.89005493164063,332.69954376220704,TERASOFT.NS,2025-10-22 11:42:55.332927
5,2025-10-15 00:00:00+05:30,438.29998779296875,438.29998779296875,421.1499938964844,438.29998779296875,12828,0.0,0.0,2025-10-15,456.7390335083008,17.954872236228645,474.69390574452945,438.78416127207214,492.6487779807581,420.8292890358435,-95.6666350642298,42.47595569851632,38745295,134343.2967970243,138842.0554611716,99.65327741998331,49.29369508669502,432.5833231608073,444.01665242513025,426.86665852864587,449.7333170572917,415.43332926432294,461.1666463216146,409.7166646321615,,-76.37742086132704,17.18518413166754,26.299535464067176,-9.114351332399636,53.88401027367958,39.725386697237376,442.0899963378906,456.7390335083008,373.944990234375,330.88700897216796,TERASOFT.NS,2025-10-22 11:42:55.332927
6,2025-10-14 00:00:00+05:30,429.75,431.0,429.75,429.75,19849,0.0,0.0,2025-10-14,455.5179916381836,19.989896938155823,475.50788857633944,435.5280947000278,495.49778551449526,415.53819776187197,-134.8641927985726,42.62425745322822,38732467,203816.86113931835,139966.7451272084,99.58153585067109,45.58909657832545,430.1666666666667,430.58333333333337,429.33333333333337,431.4166666666667,428.9166666666667,431.83333333333337,428.08333333333337,,-100.0,19.69161594437486,28.578123297167085,-8.886507352792226,50.73770334321883,42.633062312353566,447.5899963378906,455.5179916381836,371.2258056640625,329.2162466430664,TERASOFT.NS,2025-10-22 11:42:55.332927
7,2025-10-13 00:00:00+05:30,438.5,438.5,438.45001220703125,438.5,11144,0.0,0.0,2025-10-13,453.7392608642578,23.650939676280093,477.3902005405379,430.0883211879777,501.041140216818,406.4373815116976,-137.03466272794216,53.55819071440814,38752316,116760.5932744851,124004.21612418094,99.47327245001806,52.31943801430013,438.48333740234375,438.51666259765625,438.4666748046875,438.5333251953125,438.433349609375,438.566650390625,438.41668701171875,,-99.90960614104311,23.444294624430825,30.79975013536514,-7.355455510934316,54.25532544163847,45.49056571844984,456.6999938964844,453.7392608642578,368.8003338623047,327.686354675293,TERASOFT.NS,2025-10-22 11:42:55.332927
8,2025-10-10 00:00:00+05:30,447.3999938964844,447.3999938964844,447.3999938964844,447.3999938964844,4150,0.0,0.0,2025-10-10,450.5852279663086,29.317489073762246,479.90271704007085,421.26773889254633,509.2202061138331,391.9502498187841,-115.80407282595066,65.3979685470772,38763460,44363.894358003425,125815.1218366049,99.41084689038983,69.26465637731039,447.3999938964844,447.3999938964844,447.3999938964844,447.3999938964844,447.3999938964844,447.3999938964844,447.3999938964844,,-72.76294697224482,27.031901500798938,32.63861401309872,-5.606712512299779,58.05695598011751,47.94787757542131,465.9999938964844,450.5852279663086,366.1998620605469,326.12552978515623,TERASOFT.NS,2025-10-22 11:42:55.332927
9,2025-10-09 00:00:00+05:30,456.5,456.5,456.5,456.5,4219,0.0,0.0,2025-10-09,446.8340530395508,34.14814630030086,480.98219933985166,412.6859067392499,515.1303456401525,378.5377604389491,-73.77434679912955,78.01650802286821,38767610,46018.864580873196,146177.92870625525,99.38698356406168,76.85442515674619,456.5,456.5,456.5,456.5,456.5,456.5,456.5,,-46.15860516159187,30.339036640574022,34.04029214117366,-3.701255500599636,62.19453664508678,49.90650974240226,474.1699951171875,446.8340530395508,363.5470953369141,324.5333697509766,TERASOFT.NS,2025-10-22 11:42:55.332927
10,2025-10-08 00:00:00+05:30,465.79998779296875,470.0,465.79998779296875,465.79998779296875,15849,0.0,0.0,2025-10-08,442.59295959472655,37.941136277443235,480.5340958721698,404.6518233172833,518.475232149613,366.7106870398401,-7.202417523968738,92.93241885772883,38771829,176395.26784231956,171217.69473760074,99.36208566697887,68.02941681427154,467.1999918619792,468.5999959309896,464.39998372395837,471.40000406901044,462.99997965494794,472.80000813802087,460.1999715169271,,-34.54097686623289,33.21727668599175,34.96560601632357,-1.7483293303318206,66.70596156517935,51.259149129666,478.60999755859376,442.59295959472655,360.59161193847655,322.87155975341796,TERASOFT.NS,2025-10-22 11:42:55.332927
11,2025-10-07 00:00:00+05:30,475.29998779296875,493.75,475.29998779296875,475.29998779296875,6426,0.0,0.0,2025-10-07,437.0937271118164,42.13888371168998,479.2326108235064,394.95484340012644,521.3714945351963,352.81595968843646,72.94112322403076,112.95347188942806,38787678,72978.36281794008,169923.30146142104,99.26608738170894,77.20287988721424,481.4499918619792,487.5999959309896,469.14998372395837,499.90000406901044,462.99997965494794,506.05000813802087,450.6999715169271,,-22.800757298576887,35.483096178378275,35.40268834890652,0.08040782947175273,71.634762720462,51.87612786355682,479.32000122070315,437.0937271118164,357.5758337402344,320.9785739135742,TERASOFT.NS,2025-10-22 11:42:55.332927
12,2025-10-06 00:00:00+05:30,485.0,487.3999938964844,478.5,485.0,16541,0.0,0.0,2025-10-06,431.28660278320314,44.53142472955377,475.8180275127569,386.7551780536494,520.3494522423107,342.2237533240956,104.09080083586818,123.02380799052693,38794104,191685.42502304856,194159.53612229126,99.22614121817804,80.21300429243335,483.6333312988281,488.76666259765625,479.8666687011719,492.5333251953125,474.73333740234375,497.6666564941406,470.9666748046875,,-3.487994895997984,36.910803010625045,35.38258639153858,1.5282166190864643,77.03119497436263,51.60515975459103,476.2900024414063,431.28660278320314,354.4987536621094,318.9500830078125,TERASOFT.NS,2025-10-22 11:42:55.332927
13,2025-10-03 00:00:00+05:30,488.25,488.25,488.25,488.25,4121,0.0,0.0,2025-10-03,424.1414794921875,46.86285318343491,471.00433267562244,377.27862630875256,517.8671858590574,330.4157731253177,169.0333867461478,136.91957250788096,38810645,48076.2359985069,194778.0638971019,99.12062464377152,84.97954018627358,488.25,488.25,488.25,488.25,488.25,488.25,488.25,,-0.0,37.22414157075406,35.000532236766965,2.223609333987092,78.87993738076753,51.504185261289685,469.52000122070314,424.1414794921875,351.3583666992188,316.69489624023436,TERASOFT.NS,2025-10-22 11:42:55.332927
14,2025-10-01 00:00:00+05:30,478.70001220703125,478.70001220703125,478.70001220703125,478.70001220703125,9747,0.0,0.0,2025-10-01,416.02076263427733,49.18366411578033,465.2044267500577,366.837098518497,514.388090865838,317.6534344027167,161.26921362004376,137.0655870528244,38806524,111485.91344268904,231453.52087175063,99.0941059362369,85.29710208526728,478.70001220703125,478.70001220703125,478.70001220703125,478.70001220703125,478.70001220703125,478.70001220703125,478.70001220703125,,-0.0,36.741231976210884,34.44462990327019,2.2966020729406935,77.39996282520352,50.3822219327713,463.94000244140625,416.02076263427733,348.49816955566405,314.28369918823245,TERASOFT.NS,2025-10-22 11:42:55.332927
