Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-20 00:00:00+05:30,123.0999984741211,123.0999984741211,115.6500015258789,118.44999694824219,5549,0.0,0.0,2024-09-20,128.19999923706055,3.1088162377520128,131.30881547481258,125.09118299930854,134.41763171256457,121.98236676155653,-225.13093720988363,-340.46801692711125,883650,13372.91989135988,14211.200452571155,98.12442030291552,39.81121559094858,119.06666564941406,122.48332977294922,115.03333282470703,126.51666259765625,111.61666870117188,129.9333267211914,107.58333587646484,,-82.82210914905079,-1.4187789767835142,-0.5064634808655069,-0.9123154959180073,34.258765622819055,25.06971660352597,124.33000030517579,128.19999923706055,129.32599975585939,119.81169975280761,TIMESGTY.BO,2024-09-20 11:03:11.825814
2,2024-09-19 00:00:00+05:30,128.0,128.0500030517578,121.0,123.0999984741211,5569,0.0,0.0,2024-09-19,128.77749938964843,2.1168168654091875,130.89431625505762,126.66068252423923,133.0111331204668,124.54386565883006,-156.49457728870755,-203.5838876102741,889199,13947.993290324113,14420.770592873972,98.07029160011642,43.643315048305624,124.0500005086263,127.1000010172526,120.04999796549478,131.1000035603841,116.99999745686848,134.1500040690104,112.99999491373697,,-74.68354104389445,-0.7908486837057183,-0.27838460688600497,-0.5124640768197133,40.301745845737166,22.638801737982796,126.41999969482421,128.77749938964843,129.55699981689452,119.5512998199463,TIMESGTY.BO,2024-09-20 11:03:11.825814
3,2024-09-18 00:00:00+05:30,126.0,130.25,126.0,129.3000030517578,7617,0.0,0.0,2024-09-18,128.90249938964843,1.816407017544265,130.7189064071927,127.08609237210416,132.53531342473696,125.2696853545599,29.535929418867443,-40.21837857593624,894768,20038.211448003112,14538.964918511436,98.00321588906928,48.55526778850894,128.51666768391928,131.03333536783856,126.78333536783856,132.76666768391928,124.26666768391928,135.28333536783856,122.53333536783856,,-27.55904518462227,-0.43287976657592253,-0.15026858768107668,-0.2826111788948459,51.56250013853581,20.680248667427474,127.42999877929688,128.90249938964843,129.6949998474121,119.26319984436036,TIMESGTY.BO,2024-09-20 11:03:11.825814
4,2024-09-17 00:00:00+05:30,126.0,130.0,120.5999984741211,125.25,9332,0.0,0.0,2024-09-17,128.87499923706054,1.8142343078076952,130.68923354486824,127.06076492925284,132.50346785267593,125.24653062144515,-154.39626888009624,-176.36792025641483,887151,23780.935172190642,13164.153286138517,97.88807998261521,42.0880160422883,125.28333282470703,129.96666717529297,120.56666564941406,134.68333435058594,115.88333129882812,139.36666870117188,111.16666412353516,,-59.4488214992656,-0.578618804312228,-0.07961579295736519,-0.4990030113548628,41.678000835108506,19.398500159712516,126.94999847412109,128.87499923706054,129.73399978637696,118.9322998046875,TIMESGTY.BO,2024-09-20 11:03:11.825814
5,2024-09-16 00:00:00+05:30,128.89999389648438,129.25,124.05000305175781,125.55000305175781,5364,0.0,0.0,2024-09-16,129.11999893188477,1.619323628336539,130.7393225602213,127.50067530354822,132.35864618855786,125.88135167521169,-146.9823089513472,-145.02161432162018,896483,13701.936835445187,10509.957814625484,97.764197407148,45.85281317312481,126.28333536783855,128.51666768391928,123.31667073567709,131.48333231608075,121.08333841959636,133.71666463216147,118.1166737874349,,-63.66665462918364,-0.35757804746342003,0.04513495988135052,-0.40271300734477056,42.27133654113681,17.915502501203463,127.50999908447265,129.11999893188477,129.82799972534178,118.66149978637695,TIMESGTY.BO,2024-09-20 11:03:11.825814
6,2024-09-13 00:00:00+05:30,128.89999389648438,129.5,127.3499984741211,128.89999389648438,961,0.0,0.0,2024-09-13,129.33249893188477,1.3886074294890247,130.72110636137378,127.94389150239574,132.10971379086283,126.55528407290672,-37.76208578490645,-52.28172086208687,901847,2520.302956029381,9711.96305942056,97.69169834645577,52.18867607614547,128.5833307902018,129.81666310628253,127.66666158040363,130.73333231608072,126.43332926432291,131.96666463216144,125.51666005452472,,-41.33339369029048,-0.09870680254280728,0.14581321171754316,-0.24452001426035044,49.59187453178208,16.989284357812704,128.3999984741211,129.33249893188477,129.89699966430663,118.40769973754882,TIMESGTY.BO,2024-09-20 11:03:11.825814
7,2024-09-12 00:00:00+05:30,130.0,130.0500030517578,126.9000015258789,128.14999389648438,5275,0.0,0.0,2024-09-12,129.38999938964844,1.3935567288688464,130.78355611851728,127.99644266077959,132.17711284738613,126.60288593191075,-59.001804603326825,-66.62173120152497,900886,13753.635743999408,11509.878085268352,97.6771029089584,51.13434323355081,128.36666615804037,129.83333079020184,126.68332926432294,131.51666768391928,125.21666463216147,132.98333231608075,123.53332773844403,,-46.33339114716026,-0.09570094636686122,0.20694321528263077,-0.302644161649492,47.70929519440725,16.77081127800584,128.63000030517577,129.38999938964844,129.95999984741212,118.14079978942871,TIMESGTY.BO,2024-09-20 11:03:11.825814
8,2024-09-11 00:00:00+05:30,131.0,131.0,126.44999694824219,126.9000015258789,10087,0.0,0.0,2024-09-11,129.28749961853026,1.5555397627164362,130.8430393812467,127.73195985581383,132.39857914396313,126.17642009309739,-87.44440976850512,-80.65491456617987,895611,26043.545791500317,10948.938670585587,97.5986740094649,44.07349851024339,128.11666615804037,129.78333536783856,125.23333231608075,132.6666692097982,123.56666310628256,134.33333841959637,120.68332926432294,,-54.6666693793389,-0.01653888889362065,0.28260425569500375,-0.2991431445886244,44.50156726709135,16.535532576675372,129.0000015258789,129.28749961853026,130.07699996948242,117.89429985046387,TIMESGTY.BO,2024-09-20 11:03:11.825814
9,2024-09-10 00:00:00+05:30,130.0,130.0,128.0,128.0500030517578,10180,0.0,0.0,2024-09-10,129.31499938964845,1.5154557988504018,130.83045518849886,127.79954359079805,132.34591098734924,126.28408779194764,-78.08851528445433,-61.82121206136053,905698,26521.851283779415,7175.286890356904,97.45375278451036,52.4042312112224,128.68333435058594,129.36666870117188,127.36666870117188,130.68333435058594,126.68333435058594,131.36666870117188,125.36666870117188,,-46.999996439617696,0.2081684316263761,0.35739004184215983,-0.14922161021578373,46.962665282495045,16.282155513704097,129.62000122070313,129.31499938964845,130.20899993896484,117.61429985046387,TIMESGTY.BO,2024-09-20 11:03:11.825814
10,2024-09-09 00:00:00+05:30,120.0999984741211,130.35000610351562,120.0999984741211,130.0,426,0.0,0.0,2024-09-09,129.43749923706054,1.5068161929336301,130.94431542999416,127.93068304412691,132.4511316229278,126.42386685119328,-260.01651888909356,-144.57142129918464,915878,1126.7547971659917,2338.6457920012763,97.30026568916145,43.9112541548844,126.81666819254558,133.53333791097006,123.28333028157553,137.06667582194012,116.56666056315105,143.7833455403646,113.033322652181,,-34.00002339679799,0.37945010184000694,0.39469544439610577,-0.015245342556098829,51.44211320941381,16.363876007238957,130.01000061035157,129.43749923706054,130.325,117.30199981689454,TIMESGTY.BO,2024-09-20 11:03:11.825814
11,2024-09-06 00:00:00+05:30,127.0999984741211,130.39999389648438,126.94999694824219,130.0500030517578,226,0.0,0.0,2024-09-06,129.42999954223632,1.5042402461492685,130.93423978838558,127.92575929608705,132.43848003453485,126.42151904993779,-167.84884328714605,-53.771747341737516,916304,597.9918571156468,2641.618540710097,97.2933997352008,36.73964618647422,129.13333129882812,131.31666564941406,127.86666870117188,132.5833282470703,125.68333435058594,134.76666259765625,124.41667175292969,,-39.920943848903114,0.40094814528902134,0.3985067800351304,0.002441365253890937,51.55920560269162,16.451882692584192,130.35,129.42999954223632,130.3379998779297,116.92509979248047,TIMESGTY.BO,2024-09-20 11:03:11.825814
12,2024-09-05 00:00:00+05:30,130.0,131.10000610351562,130.0,130.0,251,0.0,0.0,2024-09-05,129.48499908447266,1.5475874752671408,131.0325865597398,127.93741160920553,132.58017403500693,126.38982413393838,0.26804016312732387,0.5027265392671111,916078,663.8860424616524,3152.5252116087095,97.28975049253181,40.12940649585043,130.36666870117188,130.73333740234375,129.63333129882812,131.4666748046875,129.26666259765625,131.83334350585938,128.5333251953125,,-40.31622460438753,0.41747264058795963,0.39789643872165764,0.01957620186630199,51.45660371371272,17.058395237192986,130.42999877929688,129.48499908447266,130.5109997558594,116.55459976196289,TIMESGTY.BO,2024-09-20 11:03:11.825814
13,2024-09-04 00:00:00+05:30,131.0500030517578,131.0500030517578,130.0,130.0,1042,0.0,0.0,2024-09-04,129.62249908447265,1.7094534816698492,131.3319525661425,127.9130456028028,133.04140604781236,126.20359212113296,28.992008723676353,-0.19307462800728944,916329,2756.0528137252663,3774.6850038954735,97.28570280704261,43.746291140740574,130.3500010172526,130.7000020345052,129.64999898274738,131.4000040690104,129.29999796549478,131.750005086263,128.59999593098956,,-40.31622460438753,0.4372282019303384,0.3930023882550821,0.0442258136752563,51.45660371371272,16.615651837970837,130.42999877929688,129.62249908447265,130.44099975585937,116.1445997619629,TIMESGTY.BO,2024-09-20 11:03:11.825814
14,2024-09-03 00:00:00+05:30,131.9499969482422,131.9499969482422,130.0,130.0,85,0.0,0.0,2024-09-03,129.15749893188476,2.6224378724822097,131.77993680436697,126.53506105940255,134.40237467684918,123.91262318692034,61.78792682822705,14.594632251319917,917371,224.8219665706791,4029.343051438025,97.26888855111919,44.820902178141814,130.6499989827474,131.2999979654948,129.35000101725262,132.5999959309896,128.70000203450522,133.249994913737,127.40000406901044,,-40.31622460438753,0.4558966372561031,0.38194593483626804,0.07395070241983503,51.45660371371272,16.15073613108602,130.05999755859375,129.15749893188476,130.14099975585938,115.76409973144531,TIMESGTY.BO,2024-09-20 11:03:11.825814
15,2024-09-02 00:00:00+05:30,130.10000610351562,131.6999969482422,130.0,131.6999969482422,165,0.0,0.0,2024-09-02,129.15749893188476,2.6224378724822097,131.77993680436697,126.53506105940255,134.40237467684918,123.91262318692034,102.73959598366645,37.36348786545703,917456,442.1261204848218,4980.4733226548615,97.26751618424314,40.2382735229327,131.13333129882812,132.26666259765625,130.56666564941406,132.8333282470703,129.43333435058594,133.96665954589844,128.86666870117188,,-26.877523277175403,0.4728903667677571,0.36345825923130926,0.10943210753644783,54.6050922159122,15.650057677517754,130.05999755859375,129.15749893188476,129.86099975585938,115.43159973144532,TIMESGTY.BO,2024-09-20 11:03:11.825814
16,2024-08-30 00:00:00+05:30,132.64999389648438,132.8000030517578,130.0,130.4499969482422,273,0.0,0.0,2024-08-30,129.04749908447266,2.55546307468423,131.6029621591569,126.49203600978844,134.15842523384111,123.93657293510421,105.00338644635342,36.94224406615497,917291,724.5747316634128,6115.0601231973715,97.26471347429315,39.6983546889821,131.08333333333334,132.16666666666669,129.36666361490887,133.88333638509116,128.28333028157553,134.9666697184245,126.56666056315106,,-36.758939050530074,0.32005854272827605,0.3361002323471973,-0.016041689618921273,52.62594565644619,15.162650163491595,129.71999816894532,129.04749908447266,129.54699981689453,115.13259979248046,TIMESGTY.BO,2024-09-20 11:03:11.825814
17,2024-08-29 00:00:00+05:30,129.1999969482422,130.5,129.1999969482422,130.0,1906,0.0,0.0,2024-08-29,128.93249893188477,2.540736047498428,131.4732349793832,126.39176288438634,134.01397102688162,123.85102683688791,39.93741110324761,-16.819096489512834,917018,5041.301979808405,7462.681471080861,97.26024362820485,34.27299576718484,129.8999989827474,130.60000101725262,129.2999979654948,131.20000203450522,128.5999959309896,131.90000406901044,127.999994913737,,-40.31622460438753,0.24264418403029708,0.3401106547519276,-0.0974664707216305,51.925288893946124,14.637749763771115,129.62999877929687,128.93249893188477,129.21799987792969,114.80759979248047,TIMESGTY.BO,2024-09-20 11:03:11.825814
18,2024-08-28 00:00:00+05:30,135.10000610351562,135.10000610351562,126.4000015258789,128.14999389648438,5324,0.0,0.0,2024-08-28,129.05499877929688,2.6515592543815396,131.70655803367842,126.40343952491534,134.35811728805996,123.7518802705338,50.23081184565407,-20.27309267877258,915112,13881.394635270683,8068.026343898975,97.22942655942538,54.51086383306903,129.88333384195963,133.36666615804035,124.66666158040363,138.58333841959634,121.18332926432291,142.06667073567706,115.96665700276691,,-75.3246950554931,0.18417180023584478,0.36447727243233524,-0.18030547219649046,49.048582306271854,14.517572079043099,128.7499984741211,129.05499877929688,128.8199998474121,114.46809982299804,TIMESGTY.BO,2024-09-20 11:03:11.825814
19,2024-08-26 00:00:00+05:30,130.0,130.0,130.0,130.0,224,0.0,0.0,2024-08-26,129.14749908447266,2.6505950717219227,131.79809415619457,126.49690401275073,134.4486892279165,123.84630894102881,67.05994413065312,-17.573883174444237,920436,592.4720060215543,6614.684271056047,97.14791450129557,75.58888573590616,130.0,130.0,130.0,130.0,130.0,130.0,130.0,,-67.31601274075523,0.2887165190537928,0.4095536404814578,-0.120837121427665,51.93426229952076,14.388149957028313,128.86999969482423,129.14749908447266,128.4569999694824,114.1665998840332,TIMESGTY.BO,2024-09-20 11:03:11.825814
