Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-04 00:00:00+05:30,349.20001220703125,358.5,346.1499938964844,357.04998779296875,1132825,0.0,0.0,2024-01-04,355.3675003051758,8.844820102924652,364.2123204081004,346.52268020225114,373.05714051102507,337.6778600993265,149.23849003221628,-55.13278552828767,4830478,2127955.623319099,1758726.5854719407,256.1684758003892,22.686622726498342,353.8999938964844,361.6499938964844,349.29998779296875,366.25,341.54998779296875,374.0,336.9499816894531,-0.2100861138620119,-50.000036158283606,-2.387824152781775,-2.1244445028397556,-0.26337964994201934,51.79509688690528,13.539127025161338,349.99000244140626,355.3675003051758,358.4609991455078,337.6829992675781,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
2,2024-01-03 00:00:00+05:30,346.95001220703125,353.70001220703125,344.0,349.20001220703125,418056,0.0,0.0,2024-01-03,355.25500030517577,8.836599106806432,364.0915994119822,346.41840119836934,372.92819851878863,337.5818020915629,29.35879871751035,-89.37301835648546,3697653,768032.2040267223,1666419.326010151,254.89351816936315,19.381183331931638,348.9666748046875,353.933349609375,344.23333740234375,358.66668701171875,339.26666259765625,363.63336181640625,334.5333251953125,-0.26298433789328485,-68.60188211097845,-3.0766510436702674,-2.058599590354251,-1.0180514533160165,46.183340668853994,13.772379970477411,347.2500061035156,355.25500030517577,358.4989996337891,337.32549926757815,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
3,2024-01-02 00:00:00+05:30,351.6499938964844,354.04998779296875,343.1499938964844,347.8500061035156,716103,0.0,0.0,2024-01-02,355.425,8.746224169173333,364.17122416917334,346.6787758308267,372.9174483383467,337.93255166165335,-27.334156129200665,-94.50934594403778,3279597,1310503.6292314962,1891016.1065060082,254.45161442576583,17.321260449201006,348.34999593098956,353.54999796549475,342.6500040690104,359.24998982747394,337.4500020345052,364.44999186197913,331.750010172526,-0.2753939263366257,-71.80095009506013,-3.138838618334148,-1.804086727025247,-1.3347518913089012,45.1639200546244,14.632110101159343,346.82000122070315,355.425,358.68699951171874,337.0054992675781,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
4,2024-01-01 00:00:00+05:30,343.5,359.0,335.95001220703125,353.95001220703125,1357028,0.0,0.0,2024-01-01,356.04749908447263,8.620865686099652,364.6683647705723,347.426633398373,373.28923045667193,338.80576771227334,-23.660195825720532,-90.34953961055004,3995700,2526977.9937721123,2036144.2258246362,253.69588479936374,18.877526783790785,349.6333414713542,363.3166707356771,340.26668294270837,372.68332926432294,326.58335367838544,386.36665852864587,317.2166951497396,-0.2812641754155983,-57.345953056423554,-3.0379442511813295,-1.4703987541980217,-1.5675454969833078,49.063390330577555,15.557973318816808,347.60999755859376,356.04749908447263,358.6729992675781,336.51799926757815,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
5,2023-12-29 00:00:00+05:30,343.0,344.95001220703125,340.04998779296875,341.8999938964844,280009,0.0,0.0,2023-12-29,356.2324981689453,8.61318213576697,364.8456803047123,347.61931603317834,373.45886244047927,339.00613389741136,-94.31596989666225,-145.73174213947095,2638672,503665.0355588288,1913435.7838377669,252.13470310679685,12.731625917290017,342.2999979654948,344.55000813802087,339.64998372395837,347.2000223795573,337.3999735514323,349.45003255208337,334.74995930989587,-0.3505393720970796,-88.63082007236174,-3.463497605685234,-1.0785123799521945,-2.3849852257330393,39.47826273091044,16.555056783986387,347.0899963378906,356.2324981689453,358.4439990234375,335.85749908447264,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
6,2023-12-28 00:00:00+05:30,349.0,350.79998779296875,339.3500061035156,343.3500061035156,379749,0.0,0.0,2023-12-28,357.20749816894534,7.986241646033762,365.1937398149791,349.2212565229116,373.17998146101286,341.2350148768778,-88.72633712955044,-135.62825288597244,2918681,685968.8865632295,2265878.4709075014,251.84534175583917,13.458216998607057,344.5,349.6499938964844,338.20001220703125,355.9499816894531,333.0500183105469,361.0999755859375,326.7500305175781,-0.35174393382943114,-85.08555742342064,-2.7691133910086023,-0.4822660735189346,-2.2868473174896677,40.326175491837944,16.070386227826972,349.1199951171875,357.20749816894534,357.9659991455078,335.33699920654294,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
7,2023-12-27 00:00:00+05:30,351.1499938964844,358.0,345.1000061035156,347.04998779296875,1568982,0.0,0.0,2023-12-27,358.23999786376953,7.414807160544695,365.6548050243142,350.82519070322485,373.0696121848589,343.41038354268017,-62.04255725497304,-94.61261438850978,3298430,2864710.330724597,2660855.8669935693,251.44354839405267,14.296159988351036,350.0499979654948,354.999989827474,342.0999959309896,362.9499918619792,337.15000406901044,367.89998372395837,329.20000203450525,-0.34275045137943794,-76.03914607475987,-1.9809391457740162,0.08944575585348236,-2.0703849016274987,42.48846173302489,15.548433321193755,348.9899963378906,358.23999786376953,357.4739990234375,334.8014990234375,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
8,2023-12-26 00:00:00+05:30,350.5,355.29998779296875,345.95001220703125,351.79998779296875,468420,0.0,0.0,2023-12-26,358.72249908447264,6.947574439335193,365.67007352380784,351.77492464513745,372.61764796314304,344.82735020580225,-69.15125207077253,-85.48322592718672,4867412,866965.8070730072,2609892.2510608123,249.67702566808563,15.645646418143798,351.01666259765625,356.08331298828125,346.73333740234375,360.36663818359375,341.66668701171875,365.43328857421875,337.38336181640625,-0.309923059631482,-64.42545241010558,-1.3062151777944564,0.607041981260357,-1.9132571590548135,45.38975185787087,15.589076255015712,352.65,358.72249908447264,357.09199951171877,334.2214990234375,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
9,2023-12-22 00:00:00+05:30,351.8500061035156,354.8999938964844,344.54998779296875,351.3500061035156,577384,0.0,0.0,2023-12-22,359.5824996948242,7.108263770183406,366.6907634650076,352.4742359246408,373.79902723519103,345.3659721544574,-96.91582890415332,-85.2674559437003,4398992,1067272.7717503523,3045623.8620577636,249.11055777905187,12.52123440253628,350.26666259765625,355.98333740234375,345.6333312988281,360.6166687011719,339.9166564941406,366.3333435058594,335.2833251953125,-0.3252142509714311,-65.52565230400288,-0.8903759282176793,1.0853562710240603,-1.9757321992417396,45.059728121546485,15.222838983677404,355.5400024414063,359.5824996948242,356.22899963378904,333.62199920654297,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
10,2023-12-21 00:00:00+05:30,342.3999938964844,354.8999938964844,337.25,352.04998779296875,1465607,0.0,0.0,2023-12-21,360.5625,7.262953005075954,367.82545300507593,353.29954699492407,375.0884060101519,346.0365939898481,-141.72134620433846,-97.85950627917487,4976376,2714517.111946987,3540211.634634616,248.4067091296543,9.78133251414819,348.06666056315106,358.8833211263021,341.23332722981775,365.71665445963544,330.4166666666667,376.5333150227865,323.58333333333337,-0.35338132642572784,-63.81420537512377,-0.3001687539919544,1.5792893208344951,-1.8794580748264496,45.45652486642372,14.769035392872352,358.55,360.5625,355.27099975585935,333.0684991455078,TIPSINDLTD.NS,2024-01-04 10:56:20.369274
