Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-16 00:00:00+05:30,14.300000190734863,14.300000190734863,13.920000076293945,14.300000190734863,49594,0.0,0.0,2025-09-16,14.908499908447265,1.4502350118253786,16.358734920272642,13.458264896621886,17.808969932098023,12.008029884796507,16.833943777989255,-80.02026584269379,5655778,87017.69848514389,83855.08554843704,12.538554307433959,34.47686935381711,14.173333485921225,14.426666895548504,14.046666781107586,14.553333600362143,13.793333371480307,14.806667009989422,13.666666666666668,,-61.12053991248863,-0.9932068339138311,-0.9327474955487309,-0.0604593383651002,43.60742134994694,33.24370590552601,13.247999954223634,14.908499908447265,18.238199920654296,14.383699970245361,TNTELE.NS,2025-09-16 11:42:30.022352
2,2025-09-15 00:00:00+05:30,13.619999885559082,13.619999885559082,13.350000381469727,13.619999885559082,53604,0.0,0.0,2025-09-15,14.962499904632569,1.4464870466608455,16.408986951293414,13.516012857971724,17.85547399795426,12.069525811310879,-40.94249242031495,-101.11010420278154,5606184,89581.16663043098,83064.43231426031,12.534570397413413,34.02901579211007,13.53000005086263,13.709999720255535,13.44000021616618,13.799999554951986,13.260000546773275,13.97999922434489,13.170000712076824,,-72.66553780112795,-1.0825105562958566,-0.9176326609574558,-0.1648778953384008,38.84265661210093,33.73511621056761,13.119999885559082,14.962499904632569,18.354799900054932,14.348099966049194,TNTELE.NS,2025-09-16 11:42:30.022352
3,2025-09-12 00:00:00+05:30,12.369999885559082,12.979999542236328,12.010000228881836,12.979999542236328,39303,0.0,0.0,2025-09-12,15.06649990081787,1.4194040738241742,16.485903974642046,13.647095826993697,17.905308048466217,12.227691753169522,-104.24746766719227,-127.59338817732775,5552580,62595.453483041114,81435.24873521764,12.531910451106544,44.292701767445436,12.65666643778483,13.303332646687824,12.333333333333332,13.626665751139322,11.686667124430338,14.273331960042317,11.36333401997884,,-83.5314191193424,-1.1134749805586264,-0.8764131871228555,-0.23706179343577083,33.96659022822283,33.332758319001165,13.271999931335449,15.06649990081787,18.465999908447266,14.313399963378906,TNTELE.NS,2025-09-16 11:42:30.022352
4,2025-09-11 00:00:00+05:30,12.319999694824219,12.899999618530273,12.319999694824219,12.369999885559082,87869,0.0,0.0,2025-09-11,15.21899995803833,1.3453462719954548,16.564346230033784,13.873653686042875,17.909692502029237,12.52830741404742,-131.93132003582687,-133.79664195364236,5513277,133366.81850547178,86145.19754826176,12.531103875338705,51.43935621887703,12.529999732971191,12.739999771118164,12.15999984741211,13.109999656677246,11.949999809265137,13.319999694824219,11.579999923706055,,-99.10393922189061,-1.0732176568926768,-0.8171477387639128,-0.256069918128764,28.953210098201396,31.926397891942397,13.704000091552734,15.21899995803833,18.55519992828369,14.275899963378906,TNTELE.NS,2025-09-16 11:42:30.022352
5,2025-09-10 00:00:00+05:30,13.010000228881836,13.390000343322754,12.970000267028809,12.970000267028809,37675,0.0,0.0,2025-09-10,15.418499994277955,1.1871738006549652,16.60567379493292,14.231326193622989,17.792847595587887,13.044152392968025,-128.1181570495509,-121.74194720740893,5601146,59956.41508366475,74339.79230895924,12.53175482639632,56.18757062229065,13.110000292460123,13.250000317891438,12.830000241597492,13.530000368754068,12.690000216166178,13.670000394185383,12.410000165303547,,-100.0,-0.9453394860583231,-0.7531302592317218,-0.19220922682660124,31.110511338634737,30.57074205211474,14.144000053405762,15.418499994277955,18.624999923706056,14.239799966812134,TNTELE.NS,2025-09-16 11:42:30.022352
6,2025-09-09 00:00:00+05:30,13.65999984741211,14.199999809265137,13.65999984741211,13.65999984741211,21230,0.0,0.0,2025-09-09,15.605000019073486,1.0694243199777047,16.674424339051193,14.535575699095782,17.743848659028895,13.466151379118077,-122.79150299201534,-106.2925005198052,5638821,35583.044212811445,77935.63661528286,12.530994272371988,58.57023551472662,13.839999834696451,14.019999821980793,13.479999860127766,14.379999796549479,13.299999872843424,14.55999978383382,12.939999898274738,,-100.0,-0.8263842975430524,-0.7050779525250714,-0.12130634501798099,33.79982649388748,29.46260464285134,14.618000030517578,15.605000019073486,18.629999923706055,14.200399961471557,TNTELE.NS,2025-09-16 11:42:30.022352
7,2025-09-08 00:00:00+05:30,14.380000114440918,15.100000381469727,14.380000114440918,14.380000114440918,27191,0.0,0.0,2025-09-08,15.774499988555908,1.0120352455419865,16.786535234097894,14.762464743013922,17.79857047963988,13.750429497471934,-96.22548960140689,-90.57147683676658,5660051,47976.270112056154,88523.7847159007,12.529889099029761,59.96786050909212,14.620000203450521,14.860000292460125,14.140000025431316,15.34000047047933,13.899999936421713,15.580000559488933,13.419999758402508,,-86.69950657917917,-0.729519139140141,-0.6747513662705762,-0.0547677728695648,36.889682102527644,28.68454670387007,15.115999984741212,15.774499988555908,18.577199935913086,14.150599966049194,TNTELE.NS,2025-09-16 11:42:30.022352
8,2025-09-05 00:00:00+05:30,13.899999618530273,15.289999961853027,13.84000015258789,15.140000343322754,61298,0.0,0.0,2025-09-05,15.925499963760377,1.0182981345070552,16.943798098267433,14.90720182925332,17.96209623277449,13.888903694746267,-85.00546805827277,-90.36354504324827,5687242,113871.38459920051,98660.66336686183,12.527566618266745,62.24452662575213,14.756666819254557,15.673333485921223,14.223333676656086,16.20666662851969,13.30666700998942,17.12333329518636,12.77333386739095,,-67.98028665668518,-0.6653581802234907,-0.6610594230531849,-0.004298757170305811,40.52041234528427,28.334979194328703,15.639999961853027,15.925499963760377,18.524599933624266,14.094999961853027,TNTELE.NS,2025-09-16 11:42:30.022352
9,2025-09-04 00:00:00+05:30,14.789999961853027,16.100000381469727,14.569999694824219,14.569999694824219,129139,0.0,0.0,2025-09-04,16.05649995803833,1.078665167380426,17.135165125418755,14.977834790657905,18.21383029279918,13.899169623277478,-57.38516555030024,-86.74550723416071,5625944,230865.67836296587,94857.98305877714,12.520152636600725,64.00760716728485,15.079999923706055,15.59000015258789,14.059999465942383,16.610000610351562,13.549999237060547,17.1200008392334,12.529998779296875,,-89.27614832117504,-0.6479800329363918,-0.6599847337606084,0.012004700824216563,36.14346849448475,27.958521876361075,16.19199981689453,16.05649995803833,18.46039993286133,14.033099956512451,TNTELE.NS,2025-09-16 11:42:30.022352
10,2025-09-03 00:00:00+05:30,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,8070,0.0,0.0,2025-09-03,16.23449993133545,1.1136211305178365,17.348121061853284,15.120878800817612,18.461742192371123,14.007257670299776,-35.543395137805184,-84.96687836068884,5755083,15189.424174931259,60856.05923272996,12.507823201685765,79.5830550336708,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,15.34000015258789,,-68.63270187983804,-0.5597764315131109,-0.6629859089666624,0.10320947745355158,39.81904113489965,28.072594514803185,16.687999725341797,16.23449993133545,18.40039993286133,13.976799955368042,TNTELE.NS,2025-09-16 11:42:30.022352
