Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-06 00:00:00+05:30,581.0,607.8499755859375,580.0,604.25,6818,0.0,0.0,2024-11-06,631.0099945068359,54.32166890686272,685.3316634136986,576.6883255999733,739.6533323205614,522.3666566931105,46.29785584334008,-104.92363438911686,1164032,6023.065058479539,4449.63932776033,491.81112147118245,16.79186400383827,597.3666585286459,614.7333170572917,586.8833414713542,625.2166341145834,569.5166829427084,642.5832926432292,559.0333658854167,-0.34206176176679104,-63.99089598137498,-31.265178690310677,-29.932338272557214,-1.332840417753463,42.10891846114526,36.9471443456621,582.939990234375,631.0099945068359,699.6879968261719,632.1879992675781,UFLEX.BO,2024-11-06 11:01:56.016901
2,2024-11-04 00:00:00+05:30,593.0,593.0,560.0,568.8499755859375,6803,0.0,0.0,2024-11-04,633.9299957275391,54.37709298459752,688.3070887121366,579.5529027429416,742.6841816967342,525.175809758344,-56.19671226796481,-141.66538844925057,1157214,5657.728631449033,4056.2828950805274,491.70459933635385,10.883080795801064,573.9499918619791,587.8999837239583,554.8999837239583,606.9499918619791,540.9499918619791,620.8999837239583,521.8999837239583,-0.410369816660696,-84.14462185311952,-34.24521366207921,-29.59912816811885,-4.64608549396036,30.39893557280375,37.29141677987984,574.2999877929688,633.9299957275391,702.7459973144531,630.7309991455078,UFLEX.BO,2024-11-06 11:01:56.016901
3,2024-11-01 00:00:00+05:30,583.0,603.5,583.0,587.3499755859375,750,0.0,0.0,2024-11-01,639.7399963378906,53.25372189263715,692.9937182305277,586.4862744452535,746.2474401231649,533.2325525526163,-18.58559356214639,-130.80548152916634,1164017,644.0240960372131,3655.9214609884007,491.6316052861401,11.339975363562132,591.2833251953125,599.566650390625,579.066650390625,611.7833251953125,570.7833251953125,620.066650390625,558.566650390625,-0.4621446687293224,-73.61231474885766,-34.05532855239687,-28.437606794628756,-5.617721757768116,33.70762947925219,36.85213976959984,571.2099975585937,639.7399963378906,706.3599975585937,629.2629992675782,UFLEX.BO,2024-11-06 11:01:56.016901
4,2024-10-31 00:00:00+05:30,578.2999877929688,585.7999877929688,578.0,582.9000244140625,908,0.0,0.0,2024-10-31,644.9599975585937,52.96402799348984,697.9240255520835,591.9959695651039,750.8880535455734,539.0319415716141,-51.9372697776044,-153.4652178557978,1163267,773.7912604794876,4408.895802226198,491.62161957604377,15.17667912750305,582.2333374023438,586.4666748046875,578.6666870117188,590.0333251953125,574.433349609375,594.2666625976562,570.86669921875,-0.4727493579018938,-76.14573379432562,-35.118197941479366,-27.033176355186725,-8.08502158629264,32.05584291566099,36.94502698314798,573.0599975585938,644.9599975585937,709.7799975585938,627.608999633789,UFLEX.BO,2024-11-06 11:01:56.016901
5,2024-10-29 00:00:00+05:30,585.0,585.0,555.2999877929688,571.3499755859375,2260,0.0,0.0,2024-10-29,651.1774963378906,52.592792822555054,703.7702891604456,598.5847035153356,756.3630819830007,545.9919106927805,-84.17703125803611,-182.54205193144406,1162359,1887.7937789827788,5317.671937662875,491.6100895273806,16.668347930218033,570.5499877929688,585.7999877929688,556.0999755859375,600.25,540.8499755859375,615.5,526.3999633789062,-0.43397154077790184,-82.72133710930035,-35.50864616600688,-25.011920958613565,-10.496725207393318,27.714981017268514,35.98479169932431,576.6199951171875,651.1774963378906,713.4419970703125,625.9594995117187,UFLEX.BO,2024-11-06 11:01:56.016901
6,2024-10-28 00:00:00+05:30,550.0,568.0499877929688,548.7000122070312,561.0499877929688,5023,0.0,0.0,2024-10-28,657.4349975585938,49.97504910026513,707.4100466588588,607.4599484583287,757.385095759124,557.4848993580634,-116.61571404397151,-213.5501170150043,1160099,4120.1083167896,6175.1414773329,491.5850112405975,17.84461072268458,559.2666625976562,569.8333129882812,550.4833374023438,578.6166381835938,539.9166870117188,589.1832885742188,531.1333618164062,-0.4509515012717689,-88.58526330420278,-34.33302361182109,-22.38773965676523,-11.94528395505586,23.677141650210203,34.90146255242769,582.4400024414062,657.4349975585938,715.4769970703124,624.3029998779297,UFLEX.BO,2024-11-06 11:01:56.016901
7,2024-10-25 00:00:00+05:30,609.9000244140625,609.9000244140625,541.0,553.4000244140625,12330,0.0,0.0,2024-10-25,663.3249969482422,44.67855628297907,708.0035532312213,618.6464406652631,752.6821095142003,573.9678843822841,-131.6826335756282,-218.18109558920762,1155076,9975.763597990353,6688.899767468723,491.53642127808234,28.237011633825915,568.1000162760416,595.2000325520833,526.3000081380208,637.0000406901041,499.19999186197913,664.1000569661458,457.39998372395826,-0.5187256030521623,-92.94049377139184,-31.293280428566277,-19.401418668001263,-11.891861760565014,20.61900561345749,32.67258176888445,597.75,663.3249969482422,715.5059973144531,622.9489999389648,UFLEX.BO,2024-11-06 11:01:56.016901
8,2024-10-24 00:00:00+05:30,610.5,610.5,591.5499877929688,596.5999755859375,3949,0.0,0.0,2024-10-24,670.6949951171875,37.10712254729715,707.8021176644847,633.5878725698904,744.9092402117818,596.4807500225933,-106.07209043364163,-187.81076510247973,1167406,3444.4054146036124,5867.183809838316,491.4300162569463,27.749109326807684,599.5499877929688,607.5499877929688,588.5999755859375,618.5,580.5999755859375,626.5,569.6499633789062,-0.5207153382821617,-91.53642888323603,-26.173941922862127,-16.42845322786001,-9.745488695002116,26.103531142971917,30.27224861737634,615.5299926757813,670.6949951171875,715.3259973144532,621.6129995727539,UFLEX.BO,2024-11-06 11:01:56.016901
9,2024-10-23 00:00:00+05:30,626.0999755859375,626.0999755859375,585.5,600.7000122070312,5025,0.0,0.0,2024-10-23,677.1124969482422,34.634695637477755,711.74719258572,642.4778013107644,746.3818882231977,607.8431056732867,-126.59265866590594,-195.76276435703764,1171355,4413.037370380609,6472.878408646991,491.37204910259703,23.903478191348825,604.0999959309896,622.6999918619792,582.1000162760417,644.6999715169271,563.5000203450521,663.2999674479167,541.5000406901042,-0.5072525002673928,-88.56282211079647,-23.477603088958062,-13.99208105410948,-9.485522034848582,26.730127406559646,28.548567850566183,625.95,677.1124969482422,715.4089978027343,619.7584997558594,UFLEX.BO,2024-11-06 11:01:56.016901
10,2024-10-22 00:00:00+05:30,660.7999877929688,660.7999877929688,594.1500244140625,600.4500122070312,14087,0.0,0.0,2024-10-22,683.3649963378906,31.234718033949857,714.5997143718405,652.1302783039407,745.8344324057903,620.8955602699909,-140.76120502602978,-185.49693435240866,1166330,12366.285558421729,6987.838668213586,491.2953173413784,23.921271113823636,618.4666748046875,642.7833251953125,576.1333618164062,685.1166381835938,551.8167114257812,709.4332885742188,509.4833984375,-0.5445056899499696,-94.92958728936117,-20.073542535673823,-11.620700545397332,-8.452841990276491,26.630408821325588,26.69229625553986,645.9299926757812,683.3649963378906,715.2669970703125,617.8909997558594,UFLEX.BO,2024-11-06 11:01:56.016901
