Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-30 00:00:00+05:30,34.0,35.939998626708984,33.75,35.380001068115234,17075805,0.0,0.0,2025-01-30,34.11250038146973,0.9533703297554408,35.06587071122517,33.159130051714286,36.01924104098061,32.20575972195885,84.77826870998346,46.28598399149161,608093792,22629098.37323734,14210536.199573755,44.37338949939989,51.022983897602764,35.02333323160807,36.29666646321614,34.10666783650716,37.213331858317055,32.833334604899086,38.486665089925125,31.916669209798172,0.025691416925029575,-11.067146594835759,-0.21727285009103525,-0.26767953224167823,0.05040668215064298,56.930392494336125,12.476471399344652,33.35,34.11250038146973,34.39280021667481,36.84500011444092,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
2,2025-01-29 00:00:00+05:30,32.349998474121094,34.45000076293945,31.739999771118164,33.970001220703125,11650290,0.0,0.0,2025-01-29,34.06350040435791,0.9089457076529177,34.97244611201083,33.15455469670499,35.88139181966375,32.24560898905207,-31.770388413594095,-99.13786882164047,591017987,14823833.231888887,12105895.65615786,44.39680445576078,39.38382918433133,33.386667251586914,35.033334732055664,32.323333740234375,36.0966682434082,30.676666259765625,37.74333572387695,29.613332748413086,-0.019748088448745406,-33.11685067898709,-0.3785895880964034,-0.28028120277933893,-0.09830838531706448,49.219643237820065,13.413589598094102,33.18600006103516,34.06350040435791,34.35700019836426,36.92070011138916,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
3,2025-01-28 00:00:00+05:30,32.45000076293945,32.95000076293945,30.8799991607666,31.979999542236328,9752658,0.0,0.0,2025-01-28,34.08000030517578,0.9101534964741471,34.990153801649925,33.169846808701635,35.900307298124076,32.25969331222748,-156.68580247720033,-237.51145685727928,579367697,11682335.386265716,11426411.262225103,44.4153589392177,41.352225941103036,31.93666648864746,32.99333381652832,30.92333221435547,34.00666809082031,29.86666488647461,35.06333541870117,28.853330612182617,-0.05456939303065437,-80.66783342311392,-0.4405240693870027,-0.2557041064500728,-0.18481996293692993,33.65294075683221,13.182802817400338,33.273999786376955,34.08000030517578,34.35580017089844,37.02060009002685,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
4,2025-01-27 00:00:00+05:30,32.95000076293945,32.95000076293945,32.20000076293945,32.369998931884766,7196712,0.0,0.0,2025-01-27,34.17150039672852,0.7689589421496938,34.94045933887821,33.402541454578824,35.70941828102791,32.63358251242913,-160.34842161185085,-209.0597284616709,589120355,8725795.498335421,11362430.231214948,44.43391089580838,53.9099554618105,32.506666819254555,32.81333287556966,32.06333287556966,33.256666819254555,31.756666819254555,33.56333287556966,31.313332875569657,-0.05632377496093857,-93.95972295235299,-0.317159352563273,-0.20949911571584034,-0.10766023684743264,35.6412340970909,11.270971965376456,33.76800003051758,34.17150039672852,34.39620018005371,37.14100009918213,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
5,2025-01-24 00:00:00+05:30,33.13999938964844,33.95000076293945,32.099998474121094,33.04999923706055,21973229,0.0,0.0,2025-01-24,34.230000495910645,0.6617201696044018,34.891720665515045,33.568280326306244,35.553440835119446,32.90656015670184,-132.17387471852973,-170.19998934285582,596317067,27201544.111334566,12021588.914434828,44.44720652939598,54.28024759081967,33.03333282470703,33.96666717529297,32.11666488647461,34.88333511352539,31.183330535888672,35.81666946411133,30.26666259765625,-0.051516880580574395,-78.74719231530726,-0.1928187178442755,-0.18258405650398218,-0.010234661340293327,39.41119323717294,10.06495614912973,34.23800048828125,34.230000495910645,34.43140022277832,37.26350009918213,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
6,2025-01-23 00:00:00+05:30,34.630001068115234,35.099998474121094,34.41999816894531,34.560001373291016,5507313,0.0,0.0,2025-01-23,34.29300060272217,0.6006231402158737,34.89362374293804,33.69237746250629,35.49424688315391,33.09175432229042,69.25372954691751,-6.929463645840323,618290296,7129215.3381863,8226600.115209891,44.48568722683853,59.578310641104785,34.69333267211914,34.96666717529297,34.28666687011719,35.37333297729492,34.01333236694336,35.64666748046875,33.606666564941406,-0.05508702613326844,-50.24995803833008,-0.09767325772372004,-0.18002539116890884,0.0823521334451888,50.40476628572425,8.766169885479409,34.52200088500977,34.29300060272217,34.47840026855469,37.37410011291504,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
7,2025-01-22 00:00:00+05:30,34.459999084472656,34.75,33.68000030517578,34.40999984741211,7405453,0.0,0.0,2025-01-22,34.272500610351564,0.5980217081714886,34.87052231852305,33.67447890218008,35.46854402669454,33.07645719400859,-10.66280788427604,-44.90720419694633,612782983,9544749.231918748,8500946.309465788,44.49409379156729,59.59932854219591,34.28000005086263,34.879999796549484,33.810000101725265,35.34999974568685,33.210000356038414,35.9499994913737,32.740000406901046,-0.024672740237124867,-53.999996185302734,-0.1230906705659578,-0.20061342453020603,0.07752275396424824,49.094951878268084,9.42279136367509,34.49600067138672,34.272500610351564,34.50320022583008,37.46760009765625,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
8,2025-01-21 00:00:00+05:30,34.72999954223633,35.25,34.36000061035156,34.45000076293945,5547998,0.0,0.0,2025-01-21,34.2410005569458,0.6069239201238384,34.84792447706964,33.63407663682196,35.45484839719347,33.027152716698126,32.397602285866995,-2.2115526518383635,620188436,7159022.935241772,8239995.578852548,44.50559124530505,64.95124427286001,34.686667124430336,35.01333363850911,34.12333424886067,35.576666514078774,33.7966677347819,35.90333302815755,33.233334859212235,-0.0484342194922519,-52.99997329711914,-0.13899477354156176,-0.2199941130212681,0.08099933947970633,49.41812867109722,9.743323954916507,34.3760009765625,34.2410005569458,34.561000213623046,37.55680011749268,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
9,2025-01-20 00:00:00+05:30,34.470001220703125,34.93000030517578,34.34000015258789,34.720001220703125,3983568,0.0,0.0,2025-01-20,34.19750061035156,0.6221427139542808,34.819643324305844,33.57535789639728,35.44178603826012,32.953215182443,36.249536450050805,-0.21643484375989772,625736434,5180601.522648397,8510238.739755241,44.51418787374403,64.44630016429296,34.663333892822266,34.98666763305664,34.39666748046875,35.253334045410156,34.073333740234375,35.57666778564453,33.80666732788086,-0.06310520295346521,-46.249961853027344,-0.16119034746314043,-0.24024394789119463,0.0790536004280542,51.54483524399423,10.094521625604653,34.2260009765625,34.19750061035156,34.636600189208984,37.649500122070314,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
10,2025-01-17 00:00:00+05:30,34.40999984741211,34.59000015258789,34.099998474121094,34.470001220703125,4102793,0.0,0.0,2025-01-17,34.17000045776367,0.6098659862547886,34.77986644401846,33.56013447150888,35.38973243027325,32.95026848525409,7.882573204811461,-19.01493015090183,621752866,5297233.619864865,9342648.044031952,44.52020364845216,64.69194067184301,34.38666661580404,34.673334757486984,34.18333307902019,34.876668294270836,33.89666493733724,35.16333643595378,33.69333140055339,-0.11201067417915668,-52.499961853027344,-0.21375608419608483,-0.2600073479982082,0.046251263802123355,49.68306084907271,10.841477583941117,33.84400100708008,34.17000045776367,34.70880020141602,37.7414001083374,UJJIVANSFB.NS,2025-01-30 10:58:31.007885
