Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-21 00:00:00+05:30,56.68000030517578,56.68000030517578,56.68000030517578,56.68000030517578,25634,0.0,0.0,2025-08-21,48.617500114440915,4.100990937498847,52.718491051939765,44.516509176942066,56.81948198943861,40.41551823944322,107.79759919146288,154.69078814813747,11107957,30206.552472233194,46257.10488713629,86.17210912220948,74.43297727197645,56.68000030517578,56.68000030517578,56.68000030517578,56.68000030517578,56.68000030517578,56.68000030517578,56.68000030517578,,-0.0,0.5815515572576757,-0.98468669011468,1.5662382473723557,69.05724770130489,31.394392337563822,54.2120002746582,48.617500114440915,52.111000061035156,62.907700080871585,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
2,2025-08-20 00:00:00+05:30,55.56999969482422,55.56999969482422,55.56999969482422,55.56999969482422,31268,0.0,0.0,2025-08-20,48.28650016784668,3.6593793547884355,51.94587952263512,44.62712081305825,55.60525887742355,40.96774145826981,121.37991020983256,124.41232650408034,11082323,36123.96685194515,50269.742990862054,86.1821788336825,67.459476323893,55.56999969482422,55.56999969482422,55.56999969482422,55.56999969482422,55.56999969482422,55.56999969482422,55.56999969482422,,-0.0,0.07559994848833185,-1.376246251957769,1.4518462004461008,66.9188975896335,30.962812910173504,52.57000045776367,48.28650016784668,52.169600067138674,63.16280010223389,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
3,2025-08-19 00:00:00+05:30,54.4900016784668,54.4900016784668,52.36000061035156,54.4900016784668,66288,0.0,0.0,2025-08-19,48.02050018310547,3.27527366776647,51.29577385087194,44.745226515339,54.57104751863841,41.46995284757253,132.47220316216016,77.29337008731058,11051055,75094.24835440614,53806.18702559128,86.1949335287925,63.913896738737755,53.78000132242838,55.200002034505204,53.07000096638997,55.91000239054362,51.65000025431315,57.33000310262044,50.939999898274735,0.30786302798639315,-0.0,-0.4639986412421635,-1.739207802069294,1.2752091608271305,64.71589465173821,30.837966840505725,50.69000015258789,48.02050018310547,52.25540008544922,63.46320011138916,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
4,2025-08-18 00:00:00+05:30,52.900001525878906,53.43000030517578,52.900001525878906,53.43000030517578,32080,0.0,0.0,2025-08-18,47.86250019073486,3.0124304402018454,50.87493063093671,44.85006975053302,53.88736107113856,41.83763931033117,175.00126173150116,59.34383874305642,10984767,35634.81214479099,48484.17169338756,86.2229634099347,55.51328792400404,53.253334045410156,53.606666564941406,53.07666778564453,53.78333282470703,52.72333526611328,54.13666534423828,52.546669006347656,0.22368772578294466,-0.0,-1.0414546273733976,-2.0580100922760765,1.016555464902679,62.436058229266834,31.05442057898112,48.587999725341795,47.86250019073486,52.368600082397464,63.791000061035156,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
5,2025-08-14 00:00:00+05:30,47.0,50.88999938964844,47.0,50.88999938964844,98233,0.0,0.0,2025-08-14,47.77700023651123,2.8668436505061514,50.64384388701738,44.91015658600507,53.51068753752353,42.043312935498925,121.63074674871422,-25.907786301682176,10952687,103930.92450372846,51696.511580536695,86.23699996035067,50.70696088251551,49.59333292643229,52.18666585286458,48.29666646321614,53.48333231608073,45.70333353678385,56.076665242513016,44.406667073567704,0.19204204056207785,-0.0,-1.6605995860752856,-2.312148958501746,0.6515493724264605,56.1286872523975,31.65141197125125,46.279999542236325,47.77700023651123,52.49840003967285,64.13340003967285,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
6,2025-08-13 00:00:00+05:30,48.470001220703125,48.470001220703125,48.0,48.470001220703125,74277,0.0,0.0,2025-08-13,47.79550018310547,2.8890967882427336,50.6845969713482,44.906403394862735,53.57369375959094,42.01730660662,91.17583167828548,-55.50847976575523,10854454,74848.36579791491,38637.90834973875,86.28339002168205,35.119858870972024,48.313334147135414,48.62666829427083,48.156667073567704,48.78333536783854,47.84333292643229,49.096669514973954,47.68666585286458,0.029946301463603504,-22.293577660575984,-2.177980547792039,-2.475036301608361,0.2970557538163221,48.47455557892071,33.30501714929159,44.66399993896484,47.79550018310547,52.679400024414065,64.52660003662109,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
7,2025-08-12 00:00:00+05:30,43.849998474121094,46.16999816894531,43.849998474121094,46.16999816894531,31783,0.0,0.0,2025-08-12,47.96100006103516,3.021538454481426,50.98253851551658,44.939461606553735,54.00407696999801,41.917923152072305,-8.890410672146645,-115.50513185589749,10780177,30507.715142508674,29585.2939876947,86.3209517976093,18.74597062234065,45.39666493733724,46.94333140055339,44.62333170572917,47.71666463216146,43.07666524251302,49.26333109537761,42.30333201090495,-0.12991675010734272,-43.90910755504262,-2.569052102627346,-2.5493002400624416,-0.019751862564904243,39.09720098645307,35.41368387758854,43.89199981689453,47.96100006103516,53.016399993896485,64.91650001525879,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
8,2025-08-11 00:00:00+05:30,42.599998474121094,43.97999954223633,40.0,43.97999954223633,41327,0.0,0.0,2025-08-11,48.246000099182126,3.1112045557464065,51.35720465492853,45.13479554343572,54.46840921067494,42.02359098768931,-99.65067885372763,-169.91391874264693,10748394,37787.14134595846,29354.6886989912,86.33802525802605,10.904089402587786,42.653333028157554,45.30666605631511,41.32666651407878,46.63333257039388,38.673333485921226,49.28666559855144,37.34666697184245,-0.1921049584573607,-64.62222629123264,-2.8043017154232572,-2.544362274421215,-0.25993944100204214,27.417808135319248,36.16036595018516,43.694000244140625,48.246000099182126,53.40520004272461,65.27210006713867,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
9,2025-08-08 00:00:00+05:30,42.5099983215332,42.88999938964844,40.65999984741211,41.88999938964844,59868,0.0,0.0,2025-08-08,48.58300018310547,2.9873665716284816,51.57036675473395,45.595633611476984,54.55773332636243,42.608267039848506,-154.40180308919665,-189.77633821421713,10707067,52138.68114380011,27246.575537249384,86.36145894299368,0.0,41.813332875569664,42.96666590372722,40.73666636149089,44.04333241780599,39.583333333333336,45.196665445963546,38.50666681925456,-0.3132734085209416,-89.15344333610409,-2.8473214046993576,-2.479377414170705,-0.3679439905286528,12.557695690551185,35.04754710082343,44.2,48.58300018310547,53.87180000305176,65.66270008087159,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
10,2025-08-07 00:00:00+05:30,44.5,45.45000076293945,42.599998474121094,42.810001373291016,29229,0.0,0.0,2025-08-07,49.084000205993654,2.6239330495187665,51.70793325551242,46.460067156474885,54.331866305031184,43.83613410695612,-156.19957771556656,-162.27458573858343,10766935,26014.419331284327,21023.5491356117,86.3971283037916,0.0,43.62000020345052,44.64000193277995,41.78999964396159,46.47000249226888,40.769997914632164,47.49000422159831,38.939997355143234,-0.33212811875315534,-97.98074165039918,-2.6534250614767743,-2.3873914165385415,-0.2660336449382328,13.704565572064467,32.6804818179683,45.32399978637695,49.084000205993654,54.37700004577637,66.06020008087158,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
11,2025-08-06 00:00:00+05:30,45.599998474121094,46.0,43.70000076293945,44.61000061035156,10223,0.0,0.0,2025-08-06,49.51400012969971,2.2143631924106395,51.72836332211035,47.29963693728907,53.94272651452099,45.08527374487843,-175.44685838249475,-146.15739596671472,10796164,9481.248455444093,19775.831586693545,86.41420333449634,0.0,44.77000045776367,45.84000015258789,43.540000915527344,47.06999969482422,42.470001220703125,48.13999938964844,41.2400016784668,-0.29720138855283096,-90.21505460144819,-2.4555818316266596,-2.3208830053039833,-0.13469882632267627,16.43079773337054,30.657283802657474,46.36199951171875,49.51400012969971,54.87520004272461,66.47340003967285,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
12,2025-08-05 00:00:00+05:30,46.5099983215332,47.79999923706055,45.0099983215332,45.18000030517578,21293,0.0,0.0,2025-08-05,49.88650016784668,1.957743976707654,51.84424414455433,47.92875619113902,53.801988121261985,45.97101221443137,-177.6708656707703,-129.77721179535214,10806387,20000.369584537413,22349.47736950591,86.41993191614797,0.0,45.996665954589844,46.983333587646484,44.19333267211914,48.78666687011719,43.2066650390625,49.77333450317383,41.4033317565918,-0.26004966733003704,-97.87231604593104,-2.3423494117316963,-2.2872082987233138,-0.055141113008382536,17.45162210773708,28.849886209388657,47.15199966430664,49.88650016784668,55.35960006713867,66.86680000305176,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
13,2025-08-04 00:00:00+05:30,47.7400016784668,48.75,46.349998474121094,46.5099983215332,28470,0.0,0.0,2025-08-04,50.192000198364255,1.6347305605585751,51.82673075892283,48.55726963780568,53.46146131948141,46.9225390772471,-151.8074392941479,-113.16208071308866,10827680,27528.89177172152,22936.75431574803,86.43170601198794,2.059200721872415,47.2033322652181,48.05666605631511,45.6566645304362,49.60333379109701,44.803330739339195,50.456667582194015,43.256663004557296,-0.05525552554167044,-97.59398780903344,-2.2180237923908095,-2.273423020471218,0.055399228080408314,20.166245113344942,27.43126255588761,47.927999877929686,50.192000198364255,55.92,67.28889999389648,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
14,2025-08-01 00:00:00+05:30,49.7400016784668,49.7400016784668,47.310001373291016,47.5099983215332,7370,0.0,0.0,2025-08-01,50.36550025939941,1.3890605901771946,51.754560849576606,48.976439669222216,53.1436214397538,47.58737907904502,-99.73443072949365,-100.55330998462621,10856150,7279.598726351055,21788.719951754654,86.44695128373328,5.7601695908651465,48.186667124430336,49.06333287556966,46.633332570393875,50.61666742960612,45.756666819254555,51.49333318074544,44.203332265218094,-0.008348093046184188,-96.48511429680497,-2.156227557233642,-2.28727282749132,0.13104527025767831,22.623163527931226,26.575381265150497,48.48000030517578,50.36550025939941,56.46060005187988,67.68990001678466,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
15,2025-07-31 00:00:00+05:30,48.20000076293945,49.2400016784668,47.5,48.0,43418,0.0,0.0,2025-07-31,50.516500282287595,1.2156316410589532,51.73213192334655,49.30086864122864,52.9477635644055,48.08523700016969,-112.40739590346581,-102.97765872242344,10863520,43327.73526222197,25416.000258105552,86.45080084271281,5.4647703361998055,48.2466672261556,48.9933344523112,47.253332773844406,49.9866689046224,46.506665547688804,50.733336130778,45.51333109537761,-0.060787671018480254,-90.9090909090909,-2.1429243840819154,-2.3200341450557396,0.17710976097382414,23.950858062491406,26.239239419111957,48.832000732421875,50.516500282287595,56.956800079345705,68.07740005493164,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
16,2025-07-30 00:00:00+05:30,49.4900016784668,49.4900016784668,48.25,48.560001373291016,11377,0.0,0.0,2025-07-30,50.707500267028806,1.0933811059094471,51.80088137293825,49.61411916111936,52.8942624788477,48.52073805520991,-105.71620459059274,-97.03669696449873,10906938,11485.803599789546,20938.06650707645,86.4732091863404,5.877666699046188,48.76666768391927,49.283335367838546,48.04333368937175,50.00666936238607,47.526666005452476,50.52333704630534,46.80333201090495,-0.07809870849659757,-88.79997253417969,-2.141681480970263,-2.3643115852991956,0.2226301043289327,25.541601815763798,25.235212526262416,49.232000732421874,50.707500267028806,57.444200134277345,68.43780006408691,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
17,2025-07-29 00:00:00+05:30,48.5,49.939998626708984,48.099998474121094,49.060001373291016,23530,0.0,0.0,2025-07-29,50.932000160217285,1.0901885036807544,52.02218866389804,49.84181165653653,53.11237716757879,48.75162315285578,-111.76550271109028,-95.7524068340871,10918315,23999.623054762076,23301.132233898177,86.47899972768222,5.877274754786811,49.03333282470703,49.96666717529297,48.12666702270508,50.87333297729492,47.19333267211914,51.80666732788086,46.28666687011719,-0.12330652403178698,-78.79997253417969,-2.162792119341276,-2.4199691113814286,0.25717699204015254,27.030012177460975,24.60893708126688,49.53200073242188,50.932000160217285,57.94520011901855,68.78250003814698,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
18,2025-07-28 00:00:00+05:30,49.0,50.0,48.0,49.27000045776367,12688,0.0,0.0,2025-07-28,51.15400009155273,1.13985855138642,52.29385864293915,50.014141540166314,53.433717194325574,48.87428298877989,-139.955119505515,-98.13890773874269,10941845,12996.627560070376,23126.509528682203,86.49082339411916,18.154433212596118,49.09000015258789,50.18000030517578,48.18000030517578,51.09000015258789,47.09000015258789,52.18000030517578,46.18000030517578,-0.21392377766262907,-74.59999084472656,-2.206292980295963,-2.4842633593914667,0.2779703790955037,27.65860502357971,23.93448660204092,49.77000045776367,51.15400009155273,58.42900009155274,69.1867000579834,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
19,2025-07-25 00:00:00+05:30,50.0,50.900001525878906,48.0,49.27000045776367,24517,0.0,0.0,2025-07-25,51.361000061035156,1.1555216037336957,52.51652166476885,50.20547845730146,53.67204326850255,49.049956853567764,-168.68739395515203,-97.6494772149925,10954533,25113.36048945818,25658.98002083516,86.49716634325043,45.775285245215905,49.390000661214195,50.78000132242839,47.879999796549484,52.2900021870931,46.48999913533529,53.680002848307296,44.97999827067058,-0.33775849656543416,-74.59999084472656,-2.249240310893647,-2.5537559541653425,0.30451564327169534,27.65860502357971,23.208155316720656,50.182000732421876,51.361000061035156,58.95060005187988,69.51940006256103,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
20,2025-07-24 00:00:00+05:30,50.11000061035156,51.0,49.86000061035156,50.0,26708,0.0,0.0,2025-07-24,51.66049995422363,1.3456612096366685,53.0061611638603,50.314838744586964,54.351822373496965,48.9691775349503,-121.29707698851601,-88.94704676063773,10979050,27762.994643720736,25795.3849036794,86.50942893929087,42.314965895541,50.28666687011719,50.71333312988281,49.573333740234375,51.426666259765625,49.14666748046875,51.85333251953125,48.43333435058594,-0.4074696188423974,-60.60605126489947,-2.2701465097513847,-2.629884864983266,0.35973835523188136,29.730971159753494,22.425952394068066,50.672000885009766,51.66049995422363,59.45300003051758,69.89570007324218,UMAEXPORTS.NS,2025-08-21 11:40:37.723923
