Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-24 00:00:00+05:30,6.179999828338623,6.340000152587891,6.099999904632568,6.260000228881836,8505,0.0,0.0,2025-01-24,6.479000043869019,0.34274282044573057,6.821742864314749,6.136257223423288,7.16448568476048,5.793514402977557,42.96431885973082,-100.00338551683318,1387033,11400.706868701342,10056.34384410741,6.260345062761568,54.397203255335675,6.233333428700765,6.366666952768961,6.126666704813639,6.473333676656087,5.993333180745442,6.606667200724283,5.8866664568583165,-0.24193375376623016,-68.21702818810007,-0.24639306037275155,-0.24253323143406405,-0.0038598289386874984,43.332478076256656,23.858721624417246,6.190000057220459,6.479000043869019,6.9674000072479245,6.881100006103516,UMESLTD.BO,2025-01-24 11:08:21.465792
2,2025-01-23 00:00:00+05:30,6.059999942779541,6.159999847412109,6.059999942779541,6.059999942779541,815,0.0,0.0,2025-01-23,6.533500027656555,0.38955136491283876,6.923051392569394,6.143948662743717,7.3126027574822325,5.754397297830878,-68.87760017376321,-124.17042522219744,1378528,1057.5802725221347,9720.253087958927,6.260345374186526,48.93152025084066,6.0933332443237305,6.12666654586792,6.026666641235352,6.193333148956299,5.993333339691162,6.226666450500488,5.926666736602783,-0.23462356011289712,-83.72092679403518,-0.261941252757552,-0.24156827419939217,-0.02037297855815981,38.67067635771775,24.405027502798276,6.20600004196167,6.533500027656555,6.971000003814697,6.8967000055313115,UMESLTD.BO,2025-01-24 11:08:21.465792
3,2025-01-22 00:00:00+05:30,6.269999980926514,6.28000020980835,6.059999942779541,6.130000114440918,8602,0.0,0.0,2025-01-22,6.58100004196167,0.3866849755777085,6.967685017539378,6.194315066383962,7.354369993117087,5.807630090806253,-52.454580029638,-124.95292095334997,1379343,11291.276257594202,11885.921291818124,6.260362713975415,41.427179267541575,6.1566667556762695,6.253333568572998,6.0333333015441895,6.376667022705078,5.936666488647461,6.473333835601807,5.813333034515381,-0.26780188645249703,-78.2945567373396,-0.25818184584987236,-0.2364750295598522,-0.021706816290020164,39.73299358519253,24.069001211889525,6.220000076293945,6.58100004196167,6.9842000007629395,6.912800006866455,UMESLTD.BO,2025-01-24 11:08:21.465792
4,2025-01-21 00:00:00+05:30,6.150000095367432,6.420000076293945,6.03000020980835,6.369999885559082,5209,0.0,0.0,2025-01-21,6.641500043869018,0.4065551924144741,7.048055236283492,6.234944851454545,7.454610428697967,5.82838965904007,-25.341115591364733,-117.74031236773341,1387945,7105.2096063796325,12034.582550374103,6.2604819084465335,40.72207394097641,6.273333390553792,6.516666571299234,6.126666704813639,6.663333257039388,5.883333524068196,6.90666643778483,5.736666838328043,-0.24444833942726543,-60.606067174064684,-0.2563507759445711,-0.23104832548734716,-0.025302450457223957,43.54101635985647,23.707126744757023,6.2080000877380375,6.641500043869018,6.996800003051757,6.925300006866455,UMESLTD.BO,2025-01-24 11:08:21.465792
5,2025-01-20 00:00:00+05:30,6.309999942779541,6.309999942779541,6.050000190734863,6.130000114440918,4202,0.0,0.0,2025-01-20,6.6885000467300415,0.4273206080122094,7.115820654742251,6.261179438717832,7.54314126275446,5.833858830705623,-59.835619927018264,-138.66088332818256,1382736,5515.687379029392,13266.925786372722,6.2604212370547225,41.60888442197183,6.163333415985107,6.276666641235352,6.016666889190674,6.423333168029785,5.90333366394043,6.536666393280029,5.756667137145996,-0.2670356237931725,-79.10446433400803,-0.27375869002526265,-0.22472271287304116,-0.049035977152221494,38.025633533668966,23.317415780152793,6.158000087738037,6.6885000467300415,7.011000003814697,6.934000005722046,UMESLTD.BO,2025-01-24 11:08:21.465792
6,2025-01-17 00:00:00+05:30,6.239999771118164,6.400000095367432,6.179999828338623,6.340000152587891,241,0.0,0.0,2025-01-17,6.733500051498413,0.41254379780493394,7.1460438493033465,6.320956253693479,7.558587647108281,5.908412455888545,-34.63202294366819,-121.44386581818513,1386938,327.1820153772333,15204.735388208552,6.260479546954403,41.51676324938935,6.3066666920979815,6.43333355585734,6.213333288828531,6.52666695912679,6.086666425069173,6.6533338228861485,5.993333021799723,-0.27025659018774334,-65.97220635524566,-0.26826189513927723,-0.21246371858498575,-0.05579817655429148,41.30400483411715,22.37244918466445,6.1720000267028805,6.733500051498413,7.037399997711182,6.943700003623962,UMESLTD.BO,2025-01-24 11:08:21.465792
7,2025-01-16 00:00:00+05:30,5.849999904632568,6.340000152587891,5.849999904632568,6.130000114440918,12176,0.0,0.0,2025-01-16,6.766000032424927,0.4054549282211142,7.171454960646041,6.360545104203813,7.576909888867155,5.955090175982699,-94.76306503719479,-153.1581657200798,1386697,15982.629587592071,18924.12373141638,6.260477507818506,36.089030838233114,6.106666723887126,6.3633335431416835,5.873333295186361,6.596666971842448,5.616666475931804,6.853333791097006,5.383333047231039,-0.23722296929703365,-82.92681508515179,-0.27784157975973667,-0.19851417444641287,-0.0793274053133238,36.196081771638106,21.660874907414346,6.207999992370605,6.766000032424927,7.075599994659424,6.951100001335144,UMESLTD.BO,2025-01-24 11:08:21.465792
8,2025-01-15 00:00:00+05:30,6.239999771118164,6.239999771118164,5.909999847412109,6.070000171661377,21265,0.0,0.0,2025-01-15,6.821500015258789,0.38947029967646235,7.210970314935252,6.432029715582327,7.600440614611714,6.042559415905864,-137.4627903430912,-164.38182368353426,1374521,27639.946796920547,19659.497267372455,6.260646767053923,34.339345106336495,6.073333263397217,6.236666679382324,5.9066667556762695,6.4033331871032715,5.743333339691162,6.566666603088379,5.576666831970215,-0.2559459005775908,-89.87339671042704,-0.2652149361644911,-0.1786823231180819,-0.08653261304640919,34.68817330485284,20.619156240553153,6.353999996185303,6.821500015258789,7.126599998474121,6.959299998283386,UMESLTD.BO,2025-01-24 11:08:21.465792
9,2025-01-14 00:00:00+05:30,6.139999866485596,6.28000020980835,5.96999979019165,6.119999885559082,3864,0.0,0.0,2025-01-14,6.879999995231628,0.35718197115626027,7.2371819663878885,6.522818024075368,7.5943639375441485,6.165636052919108,-174.99457537213686,-162.96325565644378,1395786,5063.742863269258,17664.38488498543,6.261079671400117,35.7752242919631,6.12333329518636,6.27666680018107,5.966666380564371,6.43333371480306,5.813332875569661,6.58666721979777,5.656665960947672,-0.31077729255935377,-90.19607354261599,-0.23912151270949522,-0.15704916985647963,-0.0820723428530156,35.33436139180155,19.04024172889789,6.511999988555909,6.879999995231628,7.170600004196167,6.969499998092651,UMESLTD.BO,2025-01-24 11:08:21.465792
10,2025-01-13 00:00:00+05:30,6.519999980926514,6.519999980926514,6.199999809265137,6.199999809265137,10190,0.0,0.0,2025-01-13,6.952999997138977,0.3425769200950823,7.295576917234059,6.610423077043895,7.638153837329141,6.267846156948813,-164.9907394137265,-140.59354108366878,1399650,13528.479020186485,20814.545390414474,6.261137905671172,40.66559798196567,6.306666533152263,6.413333257039389,6.093333085378012,6.62666670481364,5.986666361490886,6.733333428700766,5.773332913716635,-0.34598874410619324,-100.0,-0.20701518461371382,-0.1365310841432257,-0.07048410047048811,36.34013289701002,17.45350491089983,6.596000003814697,6.952999997138977,7.198400011062622,6.980599999427795,UMESLTD.BO,2025-01-24 11:08:21.465792
11,2025-01-10 00:00:00+05:30,7.0,7.0,6.519999980926514,6.519999980926514,11303,0.0,0.0,2025-01-10,7.040000009536743,0.3616919138229597,7.401691923359703,6.678308095713783,7.763383837182662,6.316616181890824,-60.44100272257952,-82.70547619938965,1409840,15780.633529003384,22636.061982971474,6.261204530459466,44.633462332085365,6.679999987284343,6.839999993642172,6.3599999745686855,7.160000006357829,6.199999968210856,7.320000012715658,5.879999955495199,-0.35776709621062924,-81.66668123669326,-0.1706515421195034,-0.11891005902560367,-0.051741483093899726,40.63641483735395,16.200020379815363,6.664000034332275,7.040000009536743,7.217600011825562,6.992300000190735,UMESLTD.BO,2025-01-24 11:08:21.465792
12,2025-01-09 00:00:00+05:30,7.010000228881836,7.139999866485596,6.809999942779541,6.860000133514404,22461,0.0,0.0,2025-01-09,7.131000018119812,0.4436440062238959,7.574644024343708,6.687356011895916,8.018288030567604,6.24371200567202,17.34594400119186,-39.652988121858456,1421143,32994.10288685593,24349.919096463494,6.260891327836868,50.74357591255194,6.936666647593181,7.06333335240682,6.733333428700766,7.266666571299235,6.606666723887126,7.393333276112875,6.403333504994711,-0.20650045010554116,-53.33333068423759,-0.15302459943645363,-0.10597468825212872,-0.047049911184324916,46.00214181028741,15.589801927968104,6.7020000457763675,7.131000018119812,7.223600015640259,7.0023000001907345,UMESLTD.BO,2025-01-24 11:08:21.465792
13,2025-01-08 00:00:00+05:30,6.599999904632568,6.860000133514404,6.300000190734863,6.860000133514404,29101,0.0,0.0,2025-01-08,7.189499998092652,0.48154874473819176,7.671048742830844,6.70795125335446,8.152597487569036,6.226402508616268,-77.95869891173172,-80.53869368936533,1443604,42747.935893788985,22188.873148865387,6.259447034107948,40.88321398434603,6.673333485921224,7.046666781107584,6.486666838328043,7.233333428700765,6.113333543141683,7.606666723887125,5.926666895548502,0.010384965839431073,-53.33333068423759,-0.16162308027989436,-0.09421221045604747,-0.06741086982384689,46.00214181028741,15.744626314646847,6.688000011444092,7.189499998092652,7.216400012969971,7.010399999618531,UMESLTD.BO,2025-01-24 11:08:21.465792
14,2025-01-07 00:00:00+05:30,6.389999866485596,6.849999904632568,6.389999866485596,6.539999961853027,7957,0.0,0.0,2025-01-07,7.228999996185303,0.4854829315372608,7.714482927722564,6.743517064648042,8.199965859259825,6.258034133110781,-122.6615885133745,-95.00891949388956,1414503,11143.207461735637,17049.10746263448,6.257565384900341,28.955916893341538,6.5933332443237305,6.796666622161865,6.336666584014893,7.053333282470703,6.133333206176758,7.256666660308838,5.87666654586792,-0.09747885824770215,-86.4864795202761,-0.17018290681005865,-0.07735949300008574,-0.09282341380997292,39.521535554706134,14.666207856013239,6.7319999694824215,7.228999996185303,7.204000005722046,7.02,UMESLTD.BO,2025-01-24 11:08:21.465792
15,2025-01-06 00:00:00+05:30,6.460000038146973,6.800000190734863,6.460000038146973,6.539999961853027,7533,0.0,0.0,2025-01-06,7.284999990463257,0.466030250697102,7.751030241160359,6.818969739766155,8.217060491857461,6.352939489069053,-158.68542046961022,-98.6980533036478,1422460,10549.425890317276,18525.58246285919,6.257323215772419,26.826779251364613,6.600000063578288,6.7400000890096035,6.399999936421713,6.940000216166179,6.259999910990397,7.080000241597494,6.059999783833822,-0.07737585426822197,-92.30769936149669,-0.1470483813432386,-0.054153639547592516,-0.0928947417956461,39.521535554706134,13.744865559695171,6.796000003814697,7.284999990463257,7.197800006866455,7.0342999982833865,UMESLTD.BO,2025-01-24 11:08:21.465792
16,2025-01-03 00:00:00+05:30,7.0,7.03000020980835,6.579999923706055,6.710000038146973,25796,0.0,0.0,2025-01-03,7.338499999046325,0.43648444408993675,7.774984443136262,6.902015554956389,8.211468887226198,6.4655311108664515,-153.97949540107672,-74.68777901422658,1429993,37064.48782788946,20519.62160599467,6.257093567974077,25.69198524301794,6.773333390553792,6.966666857401529,6.516666571299234,7.223333676656087,6.323333104451497,7.416667143503824,6.0666662851969395,-0.1018917982555776,-92.57142203194755,-0.1152011725055182,-0.030929954098680983,-0.08427121840683721,41.82064365010654,12.939711866302538,6.890000057220459,7.338499999046325,7.197000007629395,7.050199999809265,UMESLTD.BO,2025-01-24 11:08:21.465792
17,2025-01-02 00:00:00+05:30,7.170000076293945,7.170000076293945,6.739999771118164,6.789999961853027,10453,0.0,0.0,2025-01-02,7.386999988555909,0.41640186065772566,7.8034018492136346,6.970598127898183,8.21980370987136,6.5541962672404575,-119.6347471010377,-57.31658751546538,1455789,15198.258766962479,16383.405050520973,6.255830068637982,26.81317158530628,6.899999936421712,7.06000010172526,6.629999796549479,7.330000241597493,6.469999631245931,7.490000406901041,6.199999491373697,-0.12181587622705074,-97.12642544184175,-0.08942405396942377,-0.009862149496971678,-0.0795619044724521,42.911469316476534,12.397402738760782,7.0180000305175785,7.386999988555909,7.187600002288819,7.065999999046325,UMESLTD.BO,2025-01-24 11:08:21.465792
18,2025-01-01 00:00:00+05:30,6.980000019073486,7.190000057220459,6.849999904632568,7.079999923706055,7071,0.0,0.0,2025-01-01,7.447499990463257,0.41298494041337436,7.860484930876631,7.034515050049882,8.273469871290006,6.621530109636508,-71.36916875245754,-39.22761541303173,1466242,10720.059666520345,16679.691621410595,6.255225527704846,45.106400941327635,7.039999961853027,7.230000019073486,6.889999866485596,7.380000114440918,6.699999809265137,7.570000171661377,6.549999713897705,-0.13210843920207327,-84.84848134554808,-0.06294540145154492,0.010028326621141346,-0.07297372807268628,47.04166520103805,12.269335966982494,7.06200008392334,7.447499990463257,7.17920000076294,7.082599997520447,UMESLTD.BO,2025-01-24 11:08:21.465792
19,2024-12-31 00:00:00+05:30,7.289999961853027,7.289999961853027,6.829999923706055,6.860000133514404,4066,0.0,0.0,2024-12-31,7.486999988555908,0.4137644590864896,7.9007644476423975,7.073235529469419,8.314528906728887,6.659471070382929,-120.00004922191705,-48.71701614939727,1459171,5972.753765992441,18169.59961013316,6.25459361953012,55.32626790852345,6.993333339691162,7.1566667556762695,6.696666717529297,7.453333377838135,6.5333333015441895,7.616666793823242,6.236666679382324,-0.1284248987058253,-98.18180504580528,-0.05665158649445967,0.028271758639312913,-0.08492334513377259,43.18987133959591,12.459584030906868,7.114000129699707,7.486999988555908,7.169200000762939,7.097999997138977,UMESLTD.BO,2025-01-24 11:08:21.465792
20,2024-12-30 00:00:00+05:30,7.489999771118164,7.489999771118164,6.989999771118164,7.010000228881836,23679,0.0,0.0,2024-12-30,7.518999981880188,0.38657604379447497,7.905576025674662,7.132423938085713,8.292152069469138,6.745847894291238,-46.409583970518824,-25.88926818059047,1463237,35543.85282824683,21218.811071168337,6.254326783909111,58.33855563715528,7.163333257039388,7.336666742960611,6.836666742960611,7.663333257039388,6.663333257039388,7.836666742960611,6.336666742960611,-0.08484824010741984,-91.8749899417126,-0.026068592757885867,0.049502594922756056,-0.07557118768064192,45.27468904616687,12.664466561286963,7.204000091552734,7.518999981880188,7.162600002288818,7.117299995422363,UMESLTD.BO,2025-01-24 11:08:21.465792
