Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-07-25 00:00:00+05:30,816.0499877929688,816.0499877929688,736.2999877929688,744.75,568,0.0,0.0,2025-07-25,774.7375061035157,15.000972158963602,789.7384782624792,759.7365339445521,804.7394504214428,744.7355617855885,-9.597392644958438,50.483081369556935,475753,1006.6690146368564,2979.000216567406,612.6878433877515,32.04651728721748,765.6999918619791,795.0999959309895,715.3499959309895,845.4499918619791,685.9499918619791,874.8499959309895,635.5999959309895,0.059871890955270415,-92.43508390010781,14.808732331491228,24.830237358498202,-10.021505027006974,50.61975444549773,39.256764365212966,754.8400024414062,774.7375061035157,694.6030053710938,587.910503540039,UNIVCABLES.BO,2025-07-25 11:48:44.806925
2,2025-07-24 00:00:00+05:30,763.2999877929688,764.7999877929688,746.1500244140625,748.25,1203,0.0,0.0,2025-07-24,774.7375061035157,15.000972158963602,789.7384782624792,759.7365339445521,804.7394504214428,744.7355617855885,-116.43644636144049,39.80078835885358,476321,2142.1022947322326,3472.083017050043,612.6658558868008,42.21893458508489,753.0666707356771,759.9833170572917,741.3333536783855,771.7166341145834,734.4167073567709,778.633280436198,722.6833902994792,0.014361126255601871,-90.55830947892667,17.685656950279167,27.335613615249944,-9.649956664970777,51.74451784301936,39.23760049784021,760.2300048828125,774.7375061035157,690.8430053710938,585.400503540039,UNIVCABLES.BO,2025-07-25 11:48:44.806925
3,2025-07-23 00:00:00+05:30,762.0999755859375,768.7999877929688,752.25,759.9500122070312,1478,0.0,0.0,2025-07-23,775.727505493164,13.763198630493727,789.4907041236578,761.9643068626702,803.2539027541515,748.2011082321766,-90.64827927524966,49.8059981752643,477524,2672.9283294881566,3804.578197629495,612.6180284779887,51.07158455385106,760.3333333333334,768.4166666666667,751.866678873698,776.8833211263021,743.7833455403646,784.9666544596355,735.3166910807292,0.08274325691260925,-79.93642149545242,20.756330788723062,29.748102781492637,-8.991771992769575,55.57784587433718,40.92507039307938,765.9200073242188,775.727505493164,686.7670056152343,583.238003540039,UNIVCABLES.BO,2025-07-25 11:48:44.806925
4,2025-07-22 00:00:00+05:30,744.1500244140625,771.7000122070312,737.8499755859375,765.7000122070312,3194,0.0,0.0,2025-07-22,774.6250061035156,15.822645375035268,790.4476514785508,758.8023607284804,806.2702968535862,742.979715353445,-116.70534765010663,50.711372679153,479002,5819.979024263847,4087.4906646648296,612.5541488982487,55.00241227240829,758.4166666666666,778.9833577473958,745.133321126302,792.2667032877604,724.5666300455729,812.8333943684895,711.2832845052083,0.15870337745232058,-74.71626831746919,23.220960019239556,31.99604577968503,-8.775085760445474,57.522520036629054,42.36080756712537,768.460009765625,774.6250061035156,682.6290051269531,580.9515032958984,UNIVCABLES.BO,2025-07-25 11:48:44.806925
5,2025-07-21 00:00:00+05:30,769.0,771.9500122070312,754.3499755859375,755.5499877929688,1932,0.0,0.0,2025-07-21,771.1100067138672,23.738270034156013,794.8482767480232,747.3717366797111,818.5865467821792,723.6334666455551,-118.49595032375426,55.70790472961286,475808,3473.7469508245126,3654.3685747650748,612.4105213081817,53.770641872028705,760.6166585286459,766.8833414713542,749.2833048502605,778.2166951497396,743.0166219075521,784.483378092448,731.6832682291667,0.09453212226412039,-98.71862050806784,25.458311685291164,34.189817219796396,-8.731505534505231,54.93806813092661,43.906986062251825,771.710009765625,771.1100067138672,677.9010046386719,578.7370031738282,UNIVCABLES.BO,2025-07-25 11:48:44.806925
6,2025-07-18 00:00:00+05:30,773.0,784.0,765.4000244140625,771.7000122070312,2152,0.0,0.0,2025-07-18,768.1125061035157,29.00685421178996,797.1193603153056,739.1056518917258,826.1262145270956,710.0987976799357,-67.26578247714,71.65917270911652,477740,3952.015395046374,3699.523980750215,612.3292736881406,61.52240024551471,773.7000122070312,782.0,763.4000244140625,792.2999877929688,755.1000366210938,800.5999755859375,744.800048828125,0.1907946737419368,-83.11546616437873,28.936691424495393,36.372693603422704,-7.4360021789273105,60.36448304702465,44.543130494213756,772.8800170898437,768.1125061035157,672.6970050048828,576.1840032958985,UNIVCABLES.BO,2025-07-25 11:48:44.806925
7,2025-07-17 00:00:00+05:30,772.2999877929688,779.4500122070312,766.0,776.7000122070312,1105,0.0,0.0,2025-07-17,763.5850067138672,34.887935059119194,798.4729417729864,728.697071654748,833.3608768321055,693.8091365956288,-73.40248061042742,76.02819219362668,479892,2042.4124238977054,3636.401127176175,612.2284483581494,70.13602807220296,774.0500081380209,782.1000162760417,768.6500040690105,787.5000203450521,760.5999959309896,795.550028483073,755.1999918619792,0.22388298301010803,-60.067380337426165,31.36110411914467,38.23169414815453,-6.870590029009861,62.12866941169863,44.46649296437151,775.4500122070312,763.5850067138672,667.0630047607422,573.4500030517578,UNIVCABLES.BO,2025-07-25 11:48:44.806925
8,2025-07-16 00:00:00+05:30,783.2000122070312,785.3499755859375,770.0,772.6500244140625,1078,0.0,0.0,2025-07-16,757.3225067138671,42.76254370607125,800.0850504199384,714.5599630077959,842.8475941260097,671.7974193017246,-64.5534792822475,82.40039678376885,478787,1982.1176880356368,4034.898302995792,612.1750026294585,74.23492351964119,776.0,782.0,766.6500244140625,791.3499755859375,760.6500244140625,797.3499755859375,751.300048828125,0.17500880179629502,-63.4793326343686,33.497494552155445,39.949341655407,-6.451847103251552,61.27747857515083,44.504256880557456,776.8900146484375,757.3225067138671,661.1290045166015,570.6370028686523,UNIVCABLES.BO,2025-07-25 11:48:44.806925
9,2025-07-15 00:00:00+05:30,765.0,790.8499755859375,765.0,781.9500122070312,2090,0.0,0.0,2025-07-15,752.665005493164,45.958580402714375,798.6235858958784,706.7064250904497,844.5821662985927,660.7478446877353,-43.287087170734296,90.42966899379286,479865,3889.1360010992335,4548.093456735831,612.1241136424035,78.01293646517769,779.2666625976562,793.5333251953125,767.683349609375,805.1166381835938,753.4166870117188,819.38330078125,741.8333740234375,0.13581885662598847,-48.22926754699306,36.124046335360845,41.56230343121988,-5.438257095859036,64.36201012548435,44.27908182467077,780.1400146484375,752.665005493164,654.97900390625,567.9980026245117,UNIVCABLES.BO,2025-07-25 11:48:44.806925
10,2025-07-14 00:00:00+05:30,781.0999755859375,781.0999755859375,756.2000122070312,761.4000244140625,1609,0.0,0.0,2025-07-14,747.6500061035156,48.020907004900565,795.6709131084161,699.629099098615,843.6918201133167,651.6081920937145,-128.1732496410223,83.04165457003059,477775,2915.390834491924,4712.8328206449805,612.0196380356663,80.75035849502487,766.2333374023438,776.2666625976562,751.36669921875,791.13330078125,741.3333740234375,801.1666259765625,726.4667358398438,0.12351140242352378,-58.49374044328718,38.023586618560785,42.92186770518464,-4.898281086623854,60.25722200205999,44.03658561063896,782.610009765625,747.6500061035156,648.69900390625,565.5245022583008,UNIVCABLES.BO,2025-07-25 11:48:44.806925
