Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-22 00:00:00+05:30,385.6000061035156,385.6000061035156,364.75,366.8500061035156,51817,0.0,0.0,2024-10-22,388.95249938964844,13.358422240550826,402.3109216301993,375.5940771490976,415.6693438707501,362.2356549085468,-133.09957185376405,-143.76523791908843,7494924,36839.54684831551,34969.66852625595,449.68356597266654,53.606011435117644,372.40000406901044,380.05000813802087,359.20000203450525,393.25001017252606,351.5499979654948,400.9000142415365,338.3499959309896,-0.35839670957027336,-94.67763469138819,-7.797839872068266,-6.897003719901979,-0.9008361521662875,36.00091068893744,26.029932140260886,377.6700012207031,388.95249938964844,402.7070007324219,397.3937124633789,VINYLINDIA.NS,2024-10-22 11:03:37.996635
2,2024-10-21 00:00:00+05:30,379.8999938964844,430.0,363.29998779296875,389.1000061035156,162493,0.0,0.0,2024-10-21,391.35499877929686,13.494274898624855,404.8492736779217,377.860723880672,418.3435485765466,364.36644898204713,137.70829057845552,-50.6681876525409,7546741,122531.95925335276,34502.19894574106,449.80572900603005,58.685536465514055,394.1333312988281,424.9666748046875,358.26666259765625,460.8333435058594,327.4333190917969,491.66668701171875,291.566650390625,-0.27562233217505405,-61.31931995684531,-6.899007016109351,-6.671794681860407,-0.22721233424894471,47.21610620662529,26.420193372717655,380.60999755859376,391.35499877929686,403.07400085449217,397.2019500732422,VINYLINDIA.NS,2024-10-22 11:03:37.996635
3,2024-10-18 00:00:00+05:30,374.8500061035156,378.3999938964844,368.04998779296875,376.6499938964844,11897,0.0,0.0,2024-10-18,392.4124984741211,14.122366755620668,406.53486522974174,378.29013171850045,420.65723198536244,364.16776496287974,-104.78830755638558,-149.3623640119319,7384248,8684.181860254042,12494.758868838133,450.0877871903955,27.862377697931024,374.3666585286458,380.6833292643229,370.33332316080725,384.71666463216144,364.0166524251302,391.0333353678385,359.98331705729163,-0.3073356494795412,-74.47239861416458,-7.834986056342132,-6.61499159829817,-1.2199944580439617,37.022343751043685,26.84047469997879,380.60999755859376,392.4124984741211,403.01800048828125,396.78768768310545,VINYLINDIA.NS,2024-10-22 11:03:37.996635
4,2024-10-17 00:00:00+05:30,382.8999938964844,384.3500061035156,373.20001220703125,374.8500061035156,16605,0.0,0.0,2024-10-17,394.2749984741211,14.38797267601799,408.6629711501391,379.88702579810314,423.0509438261571,365.4990531220851,-88.70627379920288,-146.77252252044013,7372351,12062.848835923323,13447.403120984152,450.1127779385815,34.149526408381945,377.4666748046875,381.73333740234375,370.5833435058594,388.6166687011719,366.3166809082031,392.8833312988281,359.433349609375,-0.33675937910938686,-79.2183075276913,-7.688473382063648,-6.309992983787179,-1.3784803982764693,35.34606390065271,25.292009890522735,382.55,394.2749984741211,403.2050006103516,396.5352883911133,VINYLINDIA.NS,2024-10-22 11:03:37.996635
5,2024-10-16 00:00:00+05:30,381.04998779296875,386.0,378.6000061035156,380.8999938964844,14308,0.0,0.0,2024-10-16,396.6074981689453,14.847152269480837,411.45465043842614,381.7603458994645,426.301802707907,366.91319362998365,-45.492004386105435,-137.18620375371896,7388956,10561.932327365677,13793.541692249359,450.14854206246804,34.09203907040913,381.8333333333333,385.066660563151,377.66666666666663,389.2333272298177,374.43333943684894,392.4666544596354,370.26667277018225,-0.2653809011251543,-67.68353173160115,-7.207129215201746,-5.965372884218062,-1.2417563309836845,38.54838120225353,23.977428361692752,384.5,396.6074981689453,403.35500061035157,396.3092465209961,VINYLINDIA.NS,2024-10-22 11:03:37.996635
6,2024-10-15 00:00:00+05:30,389.20001220703125,391.0,380.5,381.54998779296875,13564,0.0,0.0,2024-10-15,398.95999908447266,15.916332168656032,414.8763312531287,383.04366691581663,430.7926634217847,367.1273347471606,-33.68634892400303,-134.7257211195659,7403264,10029.810056254513,14601.444033470278,450.1769079232402,33.86053723984081,384.34999593098956,388.19999186197913,377.69999186197913,394.84999593098956,373.84999593098956,398.69999186197913,367.19999186197913,-0.34853935867258007,-66.44426743531812,-7.077496023372419,-5.65493380147214,-1.4225622219002787,38.8999788552589,22.96951693280776,385.5100036621094,398.95999908447266,403.4640008544922,396.0182800292969,VINYLINDIA.NS,2024-10-22 11:03:37.996635
7,2024-10-14 00:00:00+05:30,386.3500061035156,392.0,383.25,389.1000061035156,12295,0.0,0.0,2024-10-14,401.36999969482423,16.767789561391115,418.13778925621534,384.6022101334331,434.90557881760645,367.834420572042,-8.649375443280714,-124.53584772811352,7416828,9271.355929301402,15744.35252777422,450.2035677505851,33.47956106587311,388.1166687011719,392.98333740234375,384.23333740234375,396.8666687011719,379.3666687011719,401.73333740234375,375.48333740234375,-0.3115104283872754,-52.50235581952261,-6.868306017223858,-5.299293245997069,-1.569012771226789,43.144342532355736,22.034074588374963,385.56000366210935,401.36999969482423,403.8840008544922,395.7630932617187,VINYLINDIA.NS,2024-10-22 11:03:37.996635
8,2024-10-11 00:00:00+05:30,383.54998779296875,391.8500061035156,383.3999938964844,386.3500061035156,12197,0.0,0.0,2024-10-11,403.1375,17.26217290857269,420.39967290857265,385.8753270914273,437.6618458171454,368.6131541828546,-28.452961577351125,-136.7016875607193,7404533,9132.452680787845,17362.60167739242,450.2250917541984,38.453510946475745,387.2000020345052,391.000010172526,382.54999796549475,395.65001424153644,378.74998982747394,399.45002237955725,374.0999857584635,-0.36817010525383387,-57.934283762470656,-7.239976585129625,-4.9070400531903715,-2.3329365319392537,40.96578998996809,21.243556226413748,381.2900024414063,403.1375,404.25000061035155,395.4604284667969,VINYLINDIA.NS,2024-10-22 11:03:37.996635
9,2024-10-10 00:00:00+05:30,388.0,394.0,380.20001220703125,384.6000061035156,18078,0.0,0.0,2024-10-10,404.82749938964844,17.186519649356928,422.01401903900535,387.6409797402915,439.2005386883623,370.45446009093456,-42.27920462101177,-135.09767847864606,7392336,13474.515310710303,19420.138926543565,450.24742049880837,32.762892135310565,386.2666727701823,392.33333333333337,378.5333455403646,400.06666056315106,372.46668497721356,406.1333211263021,364.73335774739587,-0.3405257135265318,-62.14482398262596,-7.335297591234223,-4.323805920205558,-3.011491671028665,39.598171028425746,20.392228759686287,381.14000244140624,404.82749938964844,404.68000061035156,395.19312957763674,VINYLINDIA.NS,2024-10-22 11:03:37.996635
10,2024-10-09 00:00:00+05:30,383.75,395.0,382.95001220703125,385.95001220703125,23698,0.0,0.0,2024-10-09,406.38499908447267,16.6603628640143,423.04536194848697,389.72463622045836,439.7057248125013,373.06427335644406,-42.67253586576332,-121.1321762498793,7410414,17725.407878702914,20906.54483050188,450.2814513545133,29.701067435652448,387.9666748046875,392.98333740234375,380.933349609375,400.01666259765625,375.91668701171875,405.0333251953125,368.88336181640625,-0.3006977111548795,-63.963956758507685,-7.17384800675859,-3.5709330024483914,-3.6029150043101983,40.26638419216461,19.47541456474902,382.0,406.38499908447267,405.1420007324219,394.9418557739258,VINYLINDIA.NS,2024-10-22 11:03:37.996635
