Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-20 00:00:00+05:30,16.290000915527344,16.450000762939453,16.139999389648438,16.329999923706055,946903,0.0,0.0,2024-08-20,16.35850009918213,0.41886140466244653,16.777361503844578,15.939638694519683,17.196222908507025,15.520777289857238,139.74333051663376,-57.13069926922951,-17045790,909583.877515119,974556.2024524938,17.573007388073982,63.10878946108265,16.30666669209798,16.473333994547524,16.163332621256508,16.616668065388996,15.996665318806965,16.78333536783854,15.853331247965492,-0.13041181589388862,-73.76238301552837,-0.13195651737179404,-0.12176953412905811,-0.010186983242735925,48.78719556348211,9.713869420817957,16.174000358581544,16.35850009918213,16.710000114440916,16.303000078201293,VISHWARAJ.NS,2024-08-20 11:00:07.448779
2,2024-08-19 00:00:00+05:30,16.149999618530273,16.389999389648438,15.949999809265137,16.100000381469727,906173,0.0,0.0,2024-08-19,16.345000076293946,0.42414607747324806,16.769146153767196,15.920853998820698,17.19329223124044,15.49670792134745,-12.272203852552867,-83.06260640159448,-17992693,858199.1556280917,990799.2836868375,17.57452205450791,63.28955273352412,16.146666526794434,16.34333324432373,15.90333366394043,16.586666107177734,15.706666946411133,16.78333282470703,15.463334083557129,-0.13318019706115725,-85.14850176311762,-0.15014440145738206,-0.11922278831837413,-0.03092161313900793,44.80188312429995,10.449482797633662,16.144000434875487,16.345000076293946,16.686400108337402,16.291700077056884,VISHWARAJ.NS,2024-08-20 11:00:07.448779
3,2024-08-16 00:00:00+05:30,16.0,16.200000762939453,15.819999694824219,15.970000267028809,1049804,0.0,0.0,2024-08-16,16.3385000705719,0.42906587708404487,16.767565947655946,15.909434193487856,17.19663182473999,15.48036831640381,-94.68030239625512,-108.1305045469896,-18898866,986198.2447251708,1023949.315701524,17.57624355357631,63.75019716358176,15.99666690826416,16.1733341217041,15.793333053588867,16.376667976379395,15.616665840148926,16.553335189819336,15.413331985473633,-0.15591279468839603,-91.58415257282037,-0.14850401932463342,-0.11149238503362213,-0.037011634291011286,42.45144359210588,11.066512855229075,16.140000343322754,16.3385000705719,16.662400093078613,16.285200071334838,VISHWARAJ.NS,2024-08-20 11:00:07.448779
4,2024-08-14 00:00:00+05:30,16.299999237060547,16.399999618530273,15.800000190734863,16.290000915527344,1020942,0.0,0.0,2024-08-14,16.35600004196167,0.42029301742316716,16.776293059384837,15.935707024538504,17.196586076808007,15.515414007115337,-45.14715269105775,-91.56698093308047,-17849062,978302.71262943,1033387.0834456123,17.5784190173926,62.86609796677947,16.163333574930828,16.526666959126793,15.926667531331383,16.763333002726238,15.563334147135418,17.126666386922203,15.326668103535972,-0.19795635987432197,-75.74253242139385,-0.13135073063663683,-0.10223947646086931,-0.029111254175767515,47.02875249969457,11.166488451562282,16.184000396728514,16.35600004196167,16.638000087738035,16.2825000667572,VISHWARAJ.NS,2024-08-20 11:00:07.448779
5,2024-08-13 00:00:00+05:30,16.25,16.56999969482422,16.100000381469727,16.18000030517578,1246022,0.0,0.0,2024-08-13,16.388500022888184,0.4396083127579799,16.828108335646164,15.948891710130205,17.267716648404143,15.509283397372224,-32.56560567495394,-80.35906482330788,-18870004,1185919.7847209251,1047158.1761496579,17.58011828825041,69.42608079518686,16.28333346048991,16.466666539510094,15.996667226155601,16.753332773844402,15.813334147135418,16.936665852864586,15.52666791280111,-0.24973219376786568,-83.24872899858353,-0.13891437594676148,-0.09496166291692743,-0.043952713029834056,45.14064606921835,11.274154478382659,16.166000366210938,16.388500022888184,16.616200065612794,16.277100057601928,VISHWARAJ.NS,2024-08-20 11:00:07.448779
6,2024-08-12 00:00:00+05:30,16.170000076293945,16.399999618530273,15.960000038146973,16.18000030517578,843493,0.0,0.0,2024-08-12,16.426000022888182,0.4526808639825508,16.878680886870733,15.973319158905632,17.331361750853283,15.520638294923081,-53.54269095956266,-99.59593262994703,-17623982,802806.8822008016,1012467.774006841,17.58237561635576,69.74451585276495,16.179999987284344,16.399999936421715,15.960000356038414,16.619999567667644,15.740000406901043,16.839999516805015,15.520000775655113,-0.2148927164452793,-83.24872899858353,-0.13565997724181145,-0.08397348465946891,-0.051686492582342536,45.14064606921835,12.140344213813604,16.104000282287597,16.426000022888182,16.59660005569458,16.272300052642823,VISHWARAJ.NS,2024-08-20 11:00:07.448779
7,2024-08-09 00:00:00+05:30,16.309999465942383,16.309999465942383,16.049999237060547,16.079999923706055,364237,0.0,0.0,2024-08-09,16.466499996185302,0.46556441274352717,16.93206440892883,16.000935583441773,17.397628821672356,15.535371170698248,-69.46259109175979,-110.77061789181411,-18467475,344525.3489535835,1064882.9969583508,17.58390784767397,70.04432223847095,16.146666208902996,16.243333180745445,15.98333295186361,16.406666437784832,15.88666598002116,16.50333340962728,15.723332722981773,-0.24720642652589833,-84.05797234989072,-0.12943790651741693,-0.07105186151388326,-0.05838604500353367,43.56382733171378,12.609217254979193,16.08600025177002,16.466499996185302,16.57500005722046,16.261000051498414,VISHWARAJ.NS,2024-08-20 11:00:07.448779
8,2024-08-08 00:00:00+05:30,16.110000610351562,16.360000610351562,16.110000610351562,16.190000534057617,446244,0.0,0.0,2024-08-08,16.526000022888184,0.4890204951053483,17.01502051799353,16.036979527782837,17.50404101309888,15.547959032677486,-64.66295263462652,-102.78208009742544,-18103238,424981.7999011767,1244972.4089595426,17.584617734069507,68.84707246027928,16.220000584920246,16.33000055948893,16.08000055948893,16.470000584920246,15.970000584920246,16.58000055948893,15.83000055948893,-0.2331900369684442,-78.74393241903442,-0.10966206769496623,-0.056455350262999845,-0.05320671743196638,44.88149659489033,12.864940317043432,16.284000205993653,16.526000022888184,16.561400051116944,16.260700044631957,VISHWARAJ.NS,2024-08-20 11:00:07.448779
9,2024-08-07 00:00:00+05:30,16.040000915527344,16.280000686645508,15.90999984741211,16.200000762939453,682213,0.0,0.0,2024-08-07,16.5625,0.48986438870120774,17.052364388701207,16.072635611298793,17.542228777402414,15.582771222597584,-86.89198653163064,-114.13989787111537,-17656994,650108.889440424,1449970.061224134,17.585424712968912,63.8890046734939,16.130000432332356,16.350001017252602,15.980000178019203,16.500001271565754,15.759999593098957,16.720001856486,15.609999338785805,-0.24574153150886524,-78.26082950327843,-0.09351484828728474,-0.04315367090500824,-0.050361177382276495,44.996386178195245,13.274856447526474,16.47000026702881,16.5625,16.550600032806397,16.264800043106078,VISHWARAJ.NS,2024-08-20 11:00:07.448779
10,2024-08-06 00:00:00+05:30,16.100000381469727,16.399999618530273,15.850000381469727,15.869999885559082,947310,0.0,0.0,2024-08-06,16.622999954223634,0.5167214801188105,17.139721434342444,16.106278474104823,17.656442914461255,15.589556993986012,-107.10819746136681,-121.32162498603488,-18339207,884341.740681704,1649935.3541700614,17.586651366202403,58.34758010664549,16.039999961853027,16.229999542236328,15.680000305175781,16.589999198913574,15.49000072479248,16.779998779296875,15.130001068115234,-0.21524381973022172,-94.20290322461751,-0.0724094937341846,-0.03056337655943911,-0.041846117174745484,40.314610362300314,13.514048168352932,16.72199993133545,16.622999954223634,16.542600021362304,16.27230004310608,VISHWARAJ.NS,2024-08-20 11:00:07.448779
