Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-04-18 00:00:00+05:30,10189.849609375,10498.9501953125,9800.0,10132.599609375,3660,0.0,0.0,2024-04-18,9499.31494140625,662.4422295996195,10161.75717100587,8836.87271180663,10824.199400605488,8174.430482207011,119.95020035101759,114.789071502741,-1191524,20097.173136620186,10457.660790338428,4543.10472504458,78.65721074596638,10143.849934895834,10487.699869791668,9788.749674479168,10842.800130208334,9444.899739583334,11186.650065104168,9089.799479166668,0.03951044243814062,-26.206268804562484,432.3879739172735,447.5055357229989,-15.117561805725416,67.79607246161875,38.22203314803566,9958.6998046875,9499.31494140625,8571.858017578124,7456.709501953125,VOLTAMP.BO,2024-04-18 11:06:22.597968
2,2024-04-16 00:00:00+05:30,9401.150390625,10096.150390625,9401.150390625,9955.0498046875,1366,0.0,0.0,2024-04-16,9403.82744140625,702.7660186962653,10106.593460102516,8701.061422709985,10809.359478798782,7998.29540401372,-75.23826876969792,94.30408368976056,-1195184,7369.315381441108,8047.782703767989,4534.803690384363,76.31694364426467,9817.4501953125,10233.75,9538.75,10512.4501953125,9122.4501953125,10928.75,8843.75,0.11558736762623865,-29.656311641354062,435.91525115187505,451.2849261744302,-15.369675022555157,65.32602659883548,38.34350364788813,9953.1498046875,9403.82744140625,8528.147021484376,7407.95900390625,VOLTAMP.BO,2024-04-18 11:06:22.597968
3,2024-04-15 00:00:00+05:30,9774.9501953125,9918.900390625,9585.849609375,9728.7001953125,2425,0.0,0.0,2024-04-15,9298.0349609375,771.3314807462131,10069.366441683715,8526.703480191287,10840.697922429927,7755.371999445075,-112.67489772841209,93.23458359915453,-1196550,12784.965777579207,8217.399534349708,4531.797689718477,76.41708319443521,9744.4833984375,9903.1171875,9570.06640625,10077.5341796875,9411.4326171875,10236.16796875,9237.015625,0.22387569111817793,-36.21911995105546,451.31242396461676,455.127344930069,-3.814920965452245,61.86333312493764,39.252436893905625,9956.3498046875,9298.0349609375,8489.9440234375,7360.998505859375,VOLTAMP.BO,2024-04-18 11:06:22.597968
4,2024-04-12 00:00:00+05:30,10198.849609375,10209.0498046875,9926.0498046875,9975.849609375,667,0.0,0.0,2024-04-12,9183.607446289063,867.8007300759621,10051.408176365025,8315.806716213101,10919.208906440987,7448.005986137139,84.56007125547299,123.41231289144088,-1194125,3605.858946179914,7075.507973542333,4526.6761155371405,85.81314837590988,10036.983072916666,10147.916341145832,9864.916341145832,10319.983072916666,9753.983072916666,10430.916341145832,9581.916341145832,0.11637300852726432,-19.0297811775985,486.47941092899964,456.081075171432,30.398335757567622,68.83283119964304,39.521381108981316,9983.28984375,9183.607446289063,8451.54501953125,7316.01150390625,VOLTAMP.BO,2024-04-18 11:06:22.597968
5,2024-04-10 00:00:00+05:30,10121.5,10121.5,9899.0498046875,10001.2998046875,812,0.0,0.0,2024-04-10,9085.939965820313,883.7190598267873,9969.6590256471,8202.220905993525,10853.378085473887,7318.501846166739,77.30966966398022,129.25969884807117,-1193458,4400.940349274691,7942.920230382937,4525.198636382511,81.6553467436074,10007.283203125,10115.5166015625,9893.06640625,10229.7333984375,9784.8330078125,10337.966796875,9670.6162109375,0.10177251979366857,-16.895899147484265,499.792438143475,448.48149123204007,51.31094691143494,69.5823975191341,38.32257839894858,9964.7099609375,9085.939965820313,8410.530029296875,7268.5240087890625,VOLTAMP.BO,2024-04-18 11:06:22.597968
6,2024-04-09 00:00:00+05:30,9999.9501953125,10389.5,9930.0,10104.849609375,2792,0.0,0.0,2024-04-09,8999.772485351563,873.7305166308844,9873.503001982448,8126.041968720679,10747.233518613331,7252.311452089794,130.69153637741974,151.16011929469542,-1192646,15288.971637589113,8828.415200659998,4523.390480947195,77.2329470695204,10141.449869791666,10352.899739583332,9893.399739583332,10600.949869791666,9681.949869791666,10812.399739583332,9433.899739583332,0.06911998898674625,-12.389031098813406,506.7580759002667,435.6537545041813,71.10432139608542,72.56803753357926,37.15333178975327,9924.6,8999.772485351563,8354.83203125,7219.708510742187,VOLTAMP.BO,2024-04-18 11:06:22.597968
7,2024-04-08 00:00:00+05:30,9800.0498046875,10049.0,9800.0498046875,9971.0498046875,561,0.0,0.0,2024-04-08,8921.442504882812,838.9777970774562,9760.420301960268,8082.464707805357,10599.398099037724,7243.4869107279,71.36526870345533,144.4389535171494,-1195438,3031.354680764279,7213.276091427719,4517.046457472735,75.61051530971304,9940.033203125,10080.0166015625,9831.06640625,10188.9833984375,9691.0830078125,10328.966796875,9582.1162109375,0.11468773349346492,-6.40752922865533,497.7999635378401,417.8776741551599,79.92228938268016,71.07911913224532,35.755847350049514,9874.7701171875,8921.442504882812,8296.573037109374,7170.830014648437,VOLTAMP.BO,2024-04-18 11:06:22.597968
8,2024-04-05 00:00:00+05:30,9863.0,9945.400390625,9804.5498046875,9863.400390625,637,0.0,0.0,2024-04-05,8837.792504882813,811.7812662561212,9649.573771138934,8026.011238626692,10461.355037395055,7214.229972370571,61.865025843391315,149.31234620233107,-1195999,3404.8587669079598,8258.756444093578,4515.800569260462,79.00129019637887,9871.116861979166,9937.683919270832,9796.833333333332,10011.967447916666,9730.266276041666,10078.534505208332,9655.982747395832,0.09354386407255245,-9.848081245825766,491.9656949364162,397.8971018094898,94.06859312692637,69.85682346049987,34.71789766923886,9847.090234375,8837.792504882813,8237.45904296875,7123.771015625,VOLTAMP.BO,2024-04-18 11:06:22.597968
9,2024-04-04 00:00:00+05:30,9850.0,10099.7001953125,9782.4501953125,9882.9501953125,1643,0.0,0.0,2024-04-04,8772.694995117188,776.6502796880787,9549.345274805268,7996.04471542911,10325.995554493345,7219.394435741031,74.68984391190939,166.94978871345367,-1195362,8799.483412581241,9472.230863389983,4514.413136928646,84.47265853980159,9921.7001953125,10060.9501953125,9743.7001953125,10238.9501953125,9604.4501953125,10378.2001953125,9426.4501953125,0.11592885898317316,-7.474910694229233,487.6438737189819,374.3799535277582,113.26392019122375,70.3582738554246,33.75596842345364,9812.030078125,8772.694995117188,8192.16203125,7078.895009765625,VOLTAMP.BO,2024-04-18 11:06:22.597968
10,2024-04-03 00:00:00+05:30,9801.150390625,9900.900390625,9701.0,9800.75,1453,0.0,0.0,2024-04-03,8712.234985351562,731.4204899311984,9443.655475282761,7980.814495420364,10175.075965213959,7249.3940054891655,73.63712642141145,167.7897651579214,-1197005,7717.167600490533,9640.417726092168,4510.818146644375,72.70586938374164,9800.883463541666,9900.766927083332,9700.866536458332,10000.783854166666,9600.983072916666,10100.667317708332,9500.966145833332,0.11312052990066572,-9.664814171587357,472.7967298241201,346.0639734799522,126.73275634416791,69.50358446439108,32.72004462030032,9775.0900390625,8712.234985351562,8135.7390234375,7032.605009765625,VOLTAMP.BO,2024-04-18 11:06:22.597968
