Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-22 00:00:00+05:30,285.8500061035156,297.20001220703125,283.75,286.0,14285,0.0,0.0,2024-10-22,307.62250061035155,13.944131608768192,321.56663221911975,293.67836900158335,335.51076382788796,279.73423739281515,-173.40696121098583,-149.19037240864307,5759186,72695.90648643089,190881.35186912745,196.96762889174428,76.65613334428261,288.98333740234375,294.2166748046875,280.76666259765625,302.433349609375,275.5333251953125,307.66668701171875,267.316650390625,0.07512692599643052,-76.0401588490015,-4.282730470597528,-3.2655493923311596,-1.0171810782663684,37.76056711455965,17.044179484068394,305.2,307.62250061035155,325.8259979248047,308.04499969482424,WALCHANNAG.BO,2024-10-22 11:07:46.071597
2,2024-10-21 00:00:00+05:30,302.1499938964844,310.79998779296875,294.45001220703125,295.25,32565,0.0,0.0,2024-10-21,309.375,13.269825520033805,322.6448255200338,296.1051744799662,335.9146510400676,282.8353489599324,-116.10548992731374,-93.53182061264319,5773471,171082.13735720047,220427.71321480157,196.91517354654803,77.51059701656527,300.1666666666667,305.8833211263021,289.5333455403646,316.5166422526042,283.8166910807292,322.2332967122396,273.1833699544271,0.10145146286050599,-62.76899904988331,-2.497778023696469,-3.011254122764567,0.513476099068098,40.99064875992707,15.821899334091544,312.3799987792969,309.375,327.6469976806641,307.4339996337891,WALCHANNAG.BO,2024-10-22 11:07:46.071597
3,2024-10-18 00:00:00+05:30,312.6499938964844,317.8999938964844,302.1000061035156,305.6499938964844,34726,0.0,0.0,2024-10-18,310.35749969482424,12.891002445321218,323.24850214014543,297.46649724950305,336.1395045854667,284.5754948041818,-43.843274011034204,-55.98709931941503,5806036,188861.2374370036,232764.10717920185,196.78292110392954,79.2878270165555,308.5499979654948,314.999989827474,299.20000203450525,324.34998575846356,292.75001017252606,330.79997762044275,283.4000142415365,0.19624687696081158,-47.84792003257543,-1.085637723895843,-3.139623147531591,2.053985423635748,45.010355377641716,15.108063462714245,319.97999877929686,310.35749969482424,329.6739978027344,306.8099996948242,WALCHANNAG.BO,2024-10-22 11:07:46.071597
4,2024-10-17 00:00:00+05:30,320.70001220703125,334.0,315.8500061035156,319.0,16217,0.0,0.0,2024-10-17,310.0925003051758,13.046406564077069,323.1389068692529,297.04609374109873,336.18531343332995,283.99968717702166,44.18340023624057,1.7403009796844495,5840762,92050.23006710385,243739.8246147514,196.62656318957272,81.43643417520407,322.9500020345052,330.04999796549475,311.9000040690104,341.09999593098956,304.8000081380208,348.19999186197913,293.750010172526,0.18720635287915388,-28.694399565660945,-0.2854629855640951,-3.653119503440528,3.367656517876433,50.967934856445446,14.823533948803814,324.64000244140624,310.0925003051758,331.1159979248047,305.97149978637697,WALCHANNAG.BO,2024-10-22 11:07:46.071597
5,2024-10-16 00:00:00+05:30,321.8999938964844,328.0,314.70001220703125,320.1000061035156,8689,0.0,0.0,2024-10-16,309.49499969482423,12.889691826896524,322.38469152172075,296.6053078679277,335.2743833486173,283.7156160410312,42.94360033809368,-10.694252073810866,5856979,49490.19422198255,281662.22325166326,196.54443020167054,81.9223775392846,320.93333943684894,327.16666666666663,313.8666788736979,334.2333272298177,307.6333516438802,340.4666544596354,300.56669108072913,0.18085857547469308,-27.11619883271379,-0.5714449749315236,-4.495033632909636,3.9235886579781125,51.48937172092424,15.536137323159481,324.9100036621094,309.49499969482423,332.687998046875,304.9834997558594,WALCHANNAG.BO,2024-10-22 11:07:46.071597
6,2024-10-15 00:00:00+05:30,333.20001220703125,333.20001220703125,320.0,321.8999938964844,38814,0.0,0.0,2024-10-15,309.1549987792969,12.683264384514409,321.8382631638113,296.47173439478246,334.5215275483257,283.78847001026804,70.13403749721606,0.414971055544526,5865668,222317.1920548676,339705.2305090834,196.49998260339223,81.52907212502187,325.03333536783856,330.0666707356771,316.86665852864587,338.2333475748698,311.8333231608073,343.26668294270837,303.6666463216146,0.1636340881787016,-24.533720385475913,-1.0372642597719732,-5.475930797404163,4.43866653763219,52.30243004119559,15.728738473186342,324.0900024414062,309.1549987792969,334.6559979248047,303.9834997558594,WALCHANNAG.BO,2024-10-22 11:07:46.071597
7,2024-10-14 00:00:00+05:30,336.6499938964844,339.0,328.54998779296875,333.25,57962,0.0,0.0,2024-10-14,309.28499908447264,12.833211178405888,322.1182102628785,296.4517879060668,334.9514214412844,283.61857672766087,131.43210341602116,27.551526221296626,5904482,343698.15369713656,369052.24012263736,196.29814569568464,82.59360352809092,333.59999593098956,338.6500040690104,328.19999186197913,344.0500081380208,323.1499837239583,349.10001627604163,317.7499796549479,0.1474492587395546,-8.24963987512752,-1.7952095016438534,-6.58559743181221,4.7903879301683565,57.63084131563645,16.348545003706242,321.57000122070315,309.28499908447264,336.1899981689453,302.8609997558594,WALCHANNAG.BO,2024-10-22 11:07:46.071597
8,2024-10-11 00:00:00+05:30,325.45001220703125,332.0,317.0,328.95001220703125,48346,0.0,0.0,2024-10-11,308.84749908447264,12.101504327583543,320.9490034120562,296.7459947568891,333.0505077396397,284.64449042930556,145.53943551918312,0.6542013754557422,5846520,282978.9514993824,375390.7617290126,195.96817831999218,81.97004351372678,325.98333740234375,334.9666748046875,319.9666748046875,340.98333740234375,310.98333740234375,349.9666748046875,304.9666748046875,0.16769237753471478,-4.86441339580269,-3.856212579058763,-7.783194414354298,3.9269818352955355,56.055900074285795,17.473666978404164,311.1600036621094,308.84749908447264,337.9159979248047,301.7159997558594,WALCHANNAG.BO,2024-10-22 11:07:46.071597
9,2024-10-10 00:00:00+05:30,324.95001220703125,328.0,317.0,320.3500061035156,24280,0.0,0.0,2024-10-10,307.85249786376954,11.141697763641499,318.99419562741105,296.71080010012804,330.13589339105255,285.56910233648654,157.03652957805812,-15.503515907313846,5798174,138400.32104274514,398493.7142864201,195.70039331984543,82.48580703159922,321.78333536783856,326.5666707356771,315.5666707356771,332.78333536783856,310.78333536783856,337.5666707356771,304.5666707356771,0.14078304581717957,-13.032354864771285,-6.013009954940628,-8.764939873178182,2.751929918237554,52.79733541823246,18.316532343047374,304.57000122070315,307.85249786376954,339.32899780273436,300.5099996948242,WALCHANNAG.BO,2024-10-22 11:07:46.071597
10,2024-10-09 00:00:00+05:30,308.0,324.0,304.95001220703125,316.0,79359,0.0,0.0,2024-10-09,307.47749786376954,10.82051178008,318.2980096438495,296.65698608368956,329.11852142392956,285.8364743036095,132.05418711529688,-38.45390980180939,5773894,446217.8587110807,463517.0625973388,195.5742069567289,74.90515532137624,314.98333740234375,325.01666259765625,305.9666748046875,334.0333251953125,295.933349609375,344.066650390625,286.91668701171875,0.13948689875429324,-17.564003387368906,-7.836287661519805,-9.452922352737572,1.616634691217767,51.09402495874639,18.842820300599172,298.45,307.47749786376954,340.53399780273435,299.42349960327147,WALCHANNAG.BO,2024-10-22 11:07:46.071597
