Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-18 00:00:00+05:30,775.0,787.0,758.9000244140625,776.9500122070312,1387,0.0,0.0,2024-10-18,760.2224975585938,24.798529794631303,785.0210273532251,735.4239677639624,809.8195571478564,710.6254379693312,106.25133578604213,-22.544288224002308,722383,1704.031665605338,2949.3258702739913,701.1038192758078,59.249020057746556,774.2833455403646,789.6666666666667,761.5666910807292,802.3833211263021,746.1833699544271,817.7666422526042,733.4667154947917,-0.0398609894214316,-21.755531040362698,-6.695306670274135,-12.109444184423255,5.41413751414912,53.11226225782909,15.716856135965493,761.8200073242188,760.2224975585938,787.6659985351563,795.0140026855469,WHEELS.BO,2024-10-18 11:18:41.399155
2,2024-10-17 00:00:00+05:30,786.0,800.0,770.0,774.2999877929688,2680,0.0,0.0,2024-10-17,758.0449981689453,25.161771093807616,783.2067692627529,732.8832270751377,808.3685403565605,707.7214559813301,169.39862399052367,-9.182572641117812,720996,3281.34707016784,3260.649421441154,701.0652413277128,58.85969830797677,781.4333292643229,792.8666585286458,762.8666585286458,811.4333292643229,751.4333292643229,822.8666585286458,732.8666585286458,-0.08596470215336621,-24.256733596983672,-9.027997460819734,-13.462978562960533,4.434981102140799,52.37971179795383,15.756493086955544,754.810009765625,758.0449981689453,787.9399987792968,794.5650024414062,WHEELS.BO,2024-10-18 11:18:41.399155
3,2024-10-16 00:00:00+05:30,745.0,786.9000244140625,741.0,780.9500122070312,7068,0.0,0.0,2024-10-16,757.5724975585938,24.928104684851426,782.5006022434452,732.6443928737424,807.4287069282966,707.716288188891,162.41050963202116,-37.95788741176261,723676,8728.264505355624,3255.4750092594827,700.9931956574003,49.429643605964834,769.6166788736979,798.2333577473958,752.3333333333333,815.5167032877604,723.7166544596354,844.1333821614583,706.4333089192708,-0.08052242847513945,-12.266496593923597,-11.616773455499924,-14.571723838495732,2.9549503829958077,54.35867735273984,15.253756033995277,749.410009765625,757.5724975585938,788.0029992675782,794.0320025634766,WHEELS.BO,2024-10-18 11:18:41.399155
4,2024-10-15 00:00:00+05:30,740.7000122070312,748.1500244140625,726.9500122070312,737.75,1205,0.0,0.0,2024-10-15,757.5899963378906,24.94549546715824,782.5354918050489,732.6445008707324,807.4809872722071,707.6990054035741,-21.40161443652903,-112.59517438563377,716608,1405.7380070844777,1887.2776352354472,700.7852086608948,34.017168742053514,737.6166788736979,748.2833455403645,727.0833333333333,758.8166910807291,716.4166666666666,769.4833577473958,705.883321126302,-0.23667896560753449,-60.85982745067169,-15.410106134081389,-15.310461434244683,-0.09964469983670554,40.886442499437464,15.144693461973453,742.410009765625,757.5899963378906,788.9429992675781,793.3065026855469,WHEELS.BO,2024-10-18 11:18:41.399155
5,2024-10-14 00:00:00+05:30,775.25,775.25,731.2999877929688,739.1500244140625,515,0.0,0.0,2024-10-14,760.4449951171875,25.807931641077143,786.2529267582647,734.6370634761104,812.0608583993418,708.8291318350333,25.32892701232316,-95.46838345469752,717813,601.9327132789674,2007.6625422731893,700.768808349416,38.62994468663168,748.5666707356771,765.8333536783855,721.8833414713542,792.5166829427084,704.6166585286459,809.7833658854167,677.933329264323,-0.23417190753814313,-61.103896616615565,-15.778688344086618,-15.285550259285506,-0.493138084801112,41.25287607577202,16.00295296293144,742.0300048828125,760.4449951171875,790.6009997558593,792.9850024414062,WHEELS.BO,2024-10-18 11:18:41.399155
6,2024-10-11 00:00:00+05:30,749.9500122070312,754.5,737.5499877929688,741.9000244140625,1005,0.0,0.0,2024-10-11,763.3799926757813,26.58482941895239,789.9648220947337,736.7951632568289,816.5496515136861,710.2103338378765,-9.393477196657928,-111.4986683581187,718328,1179.0156479310097,2359.0949995217447,700.761529124997,44.123855698503185,744.6500040690104,751.750020345052,734.8000081380208,761.6000162760416,727.6999918619791,768.7000325520833,717.8499959309895,-0.22890826413323492,-58.7321849215018,-16.149395421249665,-15.162265738085226,-0.9871296831644383,41.93844036469398,17.12316223516781,735.8400024414062,763.3799926757813,792.5899987792968,791.453002319336,WHEELS.BO,2024-10-18 11:18:41.399155
7,2024-10-10 00:00:00+05:30,745.9500122070312,755.0,737.7000122070312,747.2999877929688,1348,0.0,0.0,2024-10-10,765.7674926757812,26.69814931045818,792.4656419862395,739.069343365323,819.1637912966976,712.3711940548649,-12.894192598333852,-114.56273685910793,719333,1592.916421023656,2654.114837419428,700.7462979159827,54.832759759348505,746.6666666666666,755.633321126302,738.3333333333333,763.9666544596354,729.3666788736979,772.9333089192708,721.0333455403645,-0.2191937128974834,-54.07503717643343,-16.65015833941675,-14.915483317294115,-1.7346750221226337,43.24896769808586,17.29053740148856,734.0699951171875,765.7674926757812,794.9909985351562,789.8235021972656,WHEELS.BO,2024-10-18 11:18:41.399155
8,2024-10-09 00:00:00+05:30,695.0,749.9500122070312,695.0,745.9500122070312,1180,0.0,0.0,2024-10-09,768.0049926757813,26.943044257582564,794.9480369333638,741.0619484181988,821.8910811909465,714.1189041606161,-77.03454299284968,-166.31976510081353,717985,1391.8737830850769,2919.414441518371,700.7231677025272,49.7524560683693,730.3000081380209,765.6000162760417,710.6500040690105,785.2500203450521,675.3499959309896,820.550028483073,655.6999918619792,-0.22904624332616286,-55.23931095290108,-17.57082606985,-14.481814561763453,-3.0890115080865463,42.83427648077652,17.476641446222025,733.1299926757813,768.0049926757813,797.8079992675781,788.1215020751953,WHEELS.BO,2024-10-18 11:18:41.399155
9,2024-10-08 00:00:00+05:30,707.0,737.3499755859375,694.0499877929688,735.8499755859375,1251,0.0,0.0,2024-10-08,770.5024932861328,27.105627197554675,797.6081204836875,743.3968660885781,824.7137476812421,716.2912388910235,-120.15185859072636,-203.9524876021573,716805,1455.6424476911154,3301.299606126694,700.7034887099219,45.48366953650633,722.4166463216146,750.7833048502605,707.4833170572917,765.7166341145834,679.1166585286459,794.0832926432292,664.183329264323,-0.24906049177561523,-63.949992762110305,-18.35038297656456,-13.709561684741818,-4.640821291822743,39.77713597568969,17.422830341081525,736.4099853515625,770.5024932861328,800.2279992675781,786.352001953125,WHEELS.BO,2024-10-18 11:18:41.399155
10,2024-10-07 00:00:00+05:30,738.4000244140625,743.7999877929688,702.0,708.2000122070312,5711,0.0,0.0,2024-10-07,773.029995727539,26.040206393047985,799.070202120587,746.989789334491,825.110408513635,720.949582941443,-176.16634611562998,-239.2670410239049,715554,6395.525163778623,3762.7138957355883,700.6872682119317,40.35853821966719,718.0,734.0,692.2000122070312,759.7999877929688,676.2000122070312,775.7999877929688,650.4000244140625,-0.2860966511050058,-94.25924795645254,-18.07571536449973,-12.549356361786131,-5.526359002713598,30.301908137385936,16.71564263287779,742.1199951171875,773.029995727539,802.3540002441406,784.5835021972656,WHEELS.BO,2024-10-18 11:18:41.399155
11,2024-10-04 00:00:00+05:30,790.0,790.0,727.75,733.0499877929688,2382,0.0,0.0,2024-10-04,777.672494506836,21.806435463219888,799.4789299700559,755.866059043616,821.2853654332757,734.0596235803962,-107.03535866687965,-161.83003929076028,721265,2761.1084812033127,3104.5110787248295,700.6714064411716,45.388116420175535,750.2666625976562,772.7833251953125,710.5333251953125,812.5166625976562,688.0166625976562,835.0333251953125,648.2833251953125,-0.2741280811634085,-93.55624584441489,-14.727080659243938,-11.167766611107732,-3.5593140481362067,34.88202451480814,16.200573580732748,754.789990234375,777.672494506836,804.8340002441406,783.087001953125,WHEELS.BO,2024-10-18 11:18:41.399155
12,2024-10-03 00:00:00+05:30,743.0,763.9500122070312,734.3499755859375,742.5999755859375,3646,0.0,0.0,2024-10-03,782.1824951171875,21.41596885265819,803.5984639698457,760.7665262645293,825.0144328225039,739.3505574118711,-114.18589526703376,-185.78294117303946,723647,4281.339984916863,3190.3617281052084,700.6428684693914,43.29630076220733,746.9666544596354,759.5833333333333,729.9832967122395,776.5666910807291,717.3666178385416,789.183369954427,700.3832600911458,-0.23965548679170443,-84.14487510267777,-12.664021993414394,-10.27793809907368,-2.3860838943407146,36.87077886654679,16.536702997721434,762.439990234375,782.1824951171875,806.4330004882812,781.3140020751953,WHEELS.BO,2024-10-18 11:18:41.399155
13,2024-10-01 00:00:00+05:30,766.9500122070312,779.0,760.0,762.3499755859375,3290,0.0,0.0,2024-10-01,786.0074951171875,20.79694148538119,806.8044366025688,765.2105536318063,827.6013780879499,744.4136121464252,-41.58367006610492,-125.7962007981604,727293,3966.0520601680732,2917.6171639022946,700.5861881839933,45.234467348988765,767.1166585286459,774.2333170572917,755.2333170572917,786.1166585286459,748.1166585286459,793.2333170572917,736.2333170572917,-0.13637080169836183,-59.48818843638702,-10.771331711570156,-9.681417125488501,-1.0899145860816546,41.403928501631896,15.47450054240026,772.189990234375,786.0074951171875,808.0870007324219,779.698002319336,WHEELS.BO,2024-10-18 11:18:41.399155
14,2024-09-30 00:00:00+05:30,770.0,771.7000122070312,756.8499755859375,764.4000244140625,1025,0.0,0.0,2024-09-30,788.404995727539,20.68972477530506,809.0947205028441,767.7152709522339,829.7844452781492,747.0255461769289,-65.79071991719736,-142.9698347743966,730583,1238.946860810701,2655.5084398358495,700.5108058855436,38.434108258514435,764.3166707356771,771.7833658854167,756.933329264323,779.1667073567709,749.4666341145834,786.6334025065105,742.0832926432292,-0.08412192686503746,-56.92882582344147,-10.129988370245883,-9.408938478968086,-0.7210498912777972,41.90045052150211,15.286317002481134,779.7599975585938,788.404995727539,809.0530017089844,777.8350024414062,WHEELS.BO,2024-10-18 11:18:41.399155
15,2024-09-27 00:00:00+05:30,778.0,786.0999755859375,770.0,771.5499877929688,1600,0.0,0.0,2024-09-27,790.8849945068359,20.63350268925147,811.5184971960874,770.2514918175845,832.1519998853389,749.617989128333,-20.05508595547454,-107.4508825241834,731608,1952.0555547298272,3009.648834592136,700.4865030935986,42.72221434558824,775.8833211263021,781.7666422526042,765.6666666666667,791.9832967122396,759.7833455403646,797.8666178385417,749.5666910807292,-0.07108601901860756,-48.002526749560715,-9.357288622831675,-9.228676006148637,-0.12861261668303747,43.593567123651496,14.634918389593196,786.7999877929688,790.8849945068359,810.6690014648437,775.9680023193359,WHEELS.BO,2024-10-18 11:18:41.399155
16,2024-09-26 00:00:00+05:30,783.0,793.0999755859375,769.0499877929688,771.2999877929688,3497,0.0,0.0,2024-09-26,792.4199951171875,20.25792055504825,812.6779156722357,772.1620745621392,832.935836227284,751.9041540070909,-20.291167966565958,-104.47278365729821,730008,4265.078989854688,3274.047154557713,700.4442820307718,43.1665027953354,777.816650390625,786.5833129882812,762.5333251953125,801.8666381835938,753.7666625976562,810.63330078125,738.4833374023438,-0.08685320502499927,-48.31463670736186,-8.930384754400734,-9.196522851977877,0.2661380975771426,43.5194674590731,14.462526611947395,788.439990234375,792.4199951171875,812.277001953125,774.0930023193359,WHEELS.BO,2024-10-18 11:18:41.399155
17,2024-09-25 00:00:00+05:30,796.7000122070312,805.7000122070312,786.0499877929688,791.3499755859375,1612,0.0,0.0,2024-09-25,794.2874969482422,19.92735680956774,814.2148537578099,774.3601401386744,834.1422105673777,754.4327833291067,53.20415263057447,-49.09929467798519,733505,2017.1665265611964,3026.2891957334687,700.3521527971271,43.58373713265435,794.3666585286459,802.683329264323,783.0333048502605,814.0166829427084,774.7166341145834,822.3333536783855,763.383280436198,-0.033529303738582546,-37.96066759713711,-8.223888365964171,-9.263057376372162,1.0391690104079903,48.238718170801135,14.276873928328838,780.8599975585937,794.2874969482422,814.1940026855468,772.3200024414062,WHEELS.BO,2024-10-18 11:18:41.399155
18,2024-09-24 00:00:00+05:30,800.75,810.0,785.25,800.2000122070312,1366,0.0,0.0,2024-09-24,795.7124969482422,20.70988858803705,816.4223855362793,775.0026083602052,837.1322741243164,754.2927197721681,73.49837260645299,-38.383270326901474,735117,1728.4522050541805,3278.569863026537,700.2975790949594,48.58045375678753,798.4833374023438,811.7166748046875,786.9666748046875,823.2333374023438,773.7333374023438,836.4666748046875,762.2166748046875,-0.06991535789940656,-30.430483636475653,-9.169374539682849,-9.522849628974159,0.3534750892913099,50.48246710154479,14.791836930930955,775.5599975585938,795.7124969482422,815.6010034179687,770.3115026855469,WHEELS.BO,2024-10-18 11:18:41.399155
19,2024-09-23 00:00:00+05:30,776.4500122070312,805.0,768.0499877929688,799.5999755859375,3242,0.0,0.0,2024-09-23,797.6474975585937,22.84873647251812,820.4962340311118,774.7987610860756,843.34497050363,751.9500246135575,38.455248251312845,-64.06626185518242,733751,4099.150886737321,3666.0992775196255,700.246782464051,51.89818598793419,790.8833211263021,813.7166544596355,776.7666422526042,827.8333333333334,753.9333089192709,850.6666666666667,739.816630045573,-0.11245379900172033,-31.024285411418074,-11.112547951450551,-9.611218401296986,-1.5013295501535655,50.33704367789037,15.346412472194775,771.7799926757813,797.6474975585937,816.9680029296875,768.1360028076172,WHEELS.BO,2024-10-18 11:18:41.399155
