Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-27 00:00:00+05:30,323.54998779296875,323.54998779296875,307.45001220703125,307.45001220703125,9699,0.0,0.0,2025-01-27,345.4625045776367,16.66085635257436,362.12336093021105,328.80164822506237,378.78421728278545,312.14079187248797,-190.6362830933611,-154.91674361443987,15008068,64076.45469999841,83253.20500387909,142.3431515466416,52.67602391931465,312.81667073567706,318.1833292643229,302.0833536783854,328.91664632161456,296.71669514973956,334.2833048502604,285.9833780924479,-0.1705950659832838,-100.0,-6.98288774478408,-3.1437180658346433,-3.8391696789494363,36.375835277347136,16.478262978460016,332.31000366210935,345.4625045776367,352.88000122070315,278.66800033569336,WINDMACHIN.BO,2025-01-27 11:06:43.472557
2,2025-01-24 00:00:00+05:30,338.20001220703125,338.20001220703125,323.04998779296875,323.6000061035156,8426,0.0,0.0,2025-01-24,347.3675033569336,14.061100173559112,361.4286035304927,333.30640318337447,375.4897037040518,319.24530300981536,-100.78425659190563,-114.56567133774756,15017767,58590.46928466463,88047.39257984926,142.28809043863703,50.35572925568645,328.28333536783856,333.51668294270837,318.36665852864587,343.43335978190106,313.13331095377606,348.66670735677087,303.21663411458337,-0.1795107339919246,-93.58692998471467,-4.6898988675076225,-2.1839256460972845,-2.505973221410338,41.01419326519176,15.79739963191326,341.1600036621094,347.3675033569336,352.2590008544922,277.6290002441406,WINDMACHIN.BO,2025-01-27 11:06:43.472557
3,2025-01-23 00:00:00+05:30,338.1000061035156,344.5,335.0,338.5,4500,0.0,0.0,2025-01-23,349.1675033569336,13.131954641617194,362.2994579985508,336.0355487153164,375.431412640168,322.9035940736992,-8.327593241857864,-81.0955365898948,15026193,32731.67176590884,95411.6234036454,142.23554602989313,47.30513371981836,339.3333333333333,343.66666666666663,334.16666666666663,348.8333333333333,329.8333333333333,353.16666666666663,324.66666666666663,-0.17408886968673168,-63.719508791169254,-3.2736488876557814,-1.5574323407447002,-1.7162165469110813,46.04402724404962,16.02315747234112,344.2300048828125,349.1675033569336,350.8560006713867,276.33600021362304,WINDMACHIN.BO,2025-01-27 11:06:43.472557
4,2025-01-22 00:00:00+05:30,349.79998779296875,351.1499938964844,335.25,339.29998779296875,8830,0.0,0.0,2025-01-22,350.5625030517578,13.41789661301704,363.98039966477484,337.14460643874077,377.39829627779187,323.72670982572373,2.314274046479796,-72.09349648552988,15030693,64378.602976755086,111081.61131307953,142.20516516775194,50.0096710723386,341.8999938964844,348.54998779296875,332.6499938964844,357.79998779296875,326.0,364.4499816894531,316.75,-0.19405956431384394,-66.5470961498038,-2.878242647383331,-1.1283782040169297,-1.7498644433664015,46.32728076800033,17.16959328605411,345.77000732421874,350.5625030517578,348.69500061035154,274.99600021362306,WINDMACHIN.BO,2025-01-27 11:06:43.472557
5,2025-01-21 00:00:00+05:30,355.0,358.3500061035156,344.95001220703125,352.70001220703125,8333,0.0,0.0,2025-01-21,352.5025039672852,14.46767139114483,366.97017535843,338.03483257614033,381.4378467495748,323.56716118499554,80.85208262348813,-40.15408301775022,15039523,63154.435433838466,122757.36339716063,142.1452807565699,57.07746267244478,352.00001017252606,359.05000813802087,345.6500142415365,365.40000406901044,338.6000162760417,372.45000203450525,332.2500203450521,-0.19009335410378297,-47.3294739592554,-2.407179779260389,-0.6909120931753294,-1.7162676860850594,51.228994937642554,18.424181457320845,345.3800109863281,352.5025039672852,346.658000793457,273.6740003967285,WINDMACHIN.BO,2025-01-27 11:06:43.472557
6,2025-01-20 00:00:00+05:30,338.95001220703125,353.0,338.95001220703125,351.70001220703125,4823,0.0,0.0,2025-01-20,353.5350036621094,15.20078775240559,368.73579141451495,338.3342159097038,383.9365791669206,323.13342815729817,39.916877149104835,-47.28420940697202,15031190,36449.08629672048,137658.09538799117,142.08489023288678,58.61980682114126,347.8833414713542,356.8166707356771,342.76668294270837,361.93332926432294,333.83335367838544,370.86665852864587,328.7166951497396,-0.20781992653882386,-48.972859168287,-3.08730351495376,-0.2618451716540645,-2.8254583432996956,50.86876535949704,19.111050291253285,341.2900085449219,353.5350036621094,344.23000061035157,272.1197373962402,WINDMACHIN.BO,2025-01-27 11:06:43.472557
7,2025-01-17 00:00:00+05:30,340.3500061035156,345.1000061035156,337.6499938964844,338.95001220703125,4054,0.0,0.0,2025-01-17,354.6525024414062,15.865779671976917,370.5182821133831,338.78672276942933,386.3840617853601,322.9209430974524,-25.47586130501975,-60.51826845089372,15026367,29526.80112119112,162960.34766080882,142.05008741719075,60.95534110439258,340.56667073567706,343.48334757486975,336.0333353678385,348.0166829427083,333.1166585286458,350.933359781901,328.58332316080725,-0.23008124454407397,-69.92602058343986,-3.8128058202739794,0.4445194141708594,-4.2573252344448385,46.16069896901066,20.24421185630628,335.4200073242188,354.6525024414062,341.5090002441406,270.5056430053711,WINDMACHIN.BO,2025-01-27 11:06:43.472557
8,2025-01-16 00:00:00+05:30,339.95001220703125,350.0,336.1000061035156,346.20001220703125,11033,0.0,0.0,2025-01-16,357.0375015258789,16.930575229748143,373.96807675562707,340.1069262961307,390.8986519853752,323.1763510663826,-16.97744549040032,-45.16865128537526,15030421,82076.2862855724,196318.73429571325,142.02260439945238,55.65129519706489,344.1000061035156,352.1000061035156,338.20001220703125,358.0,330.20001220703125,366.0,324.3000183105469,-0.15785373446837073,-58.01147781796078,-3.4282170169296933,1.508850722782069,-4.937067739711763,48.62078327218898,21.52051790668376,335.20000610351565,357.0375015258789,338.8120001220703,269.0534655761719,WINDMACHIN.BO,2025-01-27 11:06:43.472557
9,2025-01-15 00:00:00+05:30,332.3999938964844,342.75,325.1499938964844,337.3500061035156,12273,0.0,0.0,2025-01-15,358.7175003051758,17.457429217727903,376.1749295229037,341.2600710874479,393.6323587406316,323.80264186972,-75.98945372588636,-60.04835443656684,15019388,88966.89981290232,224879.34629824845,141.94501517123373,49.34899586364648,335.0833333333333,345.01667277018225,327.41666666666663,352.68333943684894,317.4833272298177,362.6166788736979,309.816660563151,-0.207301964786922,-72.55544694831772,-3.597899276027988,2.74311765771001,-6.341016933737998,45.317494026573655,22.895001345551815,337.0800048828125,358.7175003051758,336.04899993896487,267.43900482177736,WINDMACHIN.BO,2025-01-27 11:06:43.472557
10,2025-01-14 00:00:00+05:30,323.3999938964844,337.0,320.6499938964844,332.25,15831,0.0,0.0,2025-01-14,361.6475006103516,18.564917340375985,380.21241795072757,343.0825832699756,398.77733529110355,324.5176659295996,-128.61456285223636,-64.54835402507376,15007115,113023.91305104064,258857.457919585,141.8623790094562,45.70583142426925,329.96666463216144,339.2833353678385,322.9333292643229,346.31667073567706,313.6166585286458,355.63334147135413,306.58332316080725,-0.23318145716148633,-81.22976914792281,-2.8890388509510103,4.328371891144509,-7.217410742095519,43.36920211829137,23.807495040741685,339.45000610351565,361.6475006103516,333.2469998168945,265.84071884155276,WINDMACHIN.BO,2025-01-27 11:06:43.472557
11,2025-01-13 00:00:00+05:30,329.6499938964844,337.5,321.0,322.3500061035156,56727,0.0,0.0,2025-01-13,364.975,18.97798749687813,383.95298749687817,345.9970125031219,402.9309749937563,327.01902500624374,-198.6546501743494,-65.36446899951086,14991284,392929.3772700157,295315.84413672105,141.75846651321925,47.02872473256079,326.9500020345052,332.9000040690104,316.4000040690104,343.4500020345052,310.4500020345052,349.4000040690104,299.9000040690104,-0.31132489063951635,-98.01469690659466,-1.4354360563631303,6.132724576668388,-7.5681606330315185,39.482637000217686,24.31752718270093,344.8500061035156,364.975,330.3609997558594,264.2410592651367,WINDMACHIN.BO,2025-01-27 11:06:43.472557
