Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-24 00:00:00+05:30,587.7000122070312,599.0,568.0,574.4500122070312,86825,0.0,0.0,2025-10-24,585.75,12.702508008938748,598.4525080089387,573.0474919910613,611.1550160178775,560.3449839821225,-39.185062531831925,-82.04254986101323,-51915,58285.45958811668,28527.90272852414,825.0100566933902,34.58852089613033,580.4833374023438,592.9666748046875,561.9666748046875,611.4833374023438,549.4833374023438,623.9666748046875,530.9666748046875,-0.3566353976799697,-81.2226585404858,-9.799850096570026,-10.546696813170348,0.7468467166003219,39.012413308577685,28.68291112119918,580.2199951171875,585.75,610.9639978027344,625.1710107421875,WONDERLA.NS,2025-10-24 11:44:58.599347
2,2025-10-23 00:00:00+05:30,590.3499755859375,593.9000244140625,582.0,583.6500244140625,32999,0.0,0.0,2025-10-23,588.225,14.999577525843623,603.2245775258436,573.2254224741564,618.2241550516873,558.2258449483128,78.11439774817588,-70.76643860339914,34910,22506.941263948895,21088.513513626003,825.4812789984442,47.24496843475832,586.5166829427084,591.0333658854167,579.1333414713542,598.4167073567709,574.6166585286459,602.9333902994792,567.2333170572917,-0.33743959286850117,-58.80490047235087,-9.709726088825164,-10.733408492320429,1.0236824034952647,42.979848714796375,28.724072541815108,581.2999877929688,588.225,611.2169970703125,625.8784619140625,WONDERLA.NS,2025-10-24 11:44:58.599347
3,2025-10-21 00:00:00+05:30,573.3499755859375,592.5,573.3499755859375,590.2999877929688,20423,0.0,0.0,2025-10-21,590.5424987792969,17.6091534281544,608.1516522074513,572.9333453511425,625.7608056356057,555.3241919229881,64.39685587311916,-78.00138866574437,67909,14088.19978977598,20733.90657604528,825.654257835247,46.9718135480964,585.3833211263021,597.4166666666667,578.2666422526042,604.5333455403646,566.2332967122396,616.5666910807292,559.1166178385417,-0.3293346081307682,-37.8930579200823,-10.353284794922729,-10.989329093194243,0.6360442982715142,46.12850739425281,29.90246939650357,580.4399780273437,590.5424987792969,611.3839965820313,626.5995684814453,WONDERLA.NS,2025-10-24 11:44:58.599347
4,2025-10-20 00:00:00+05:30,583.0,583.0,570.5499877929688,573.3499755859375,37369,0.0,0.0,2025-10-20,593.0149993896484,20.762589819334416,613.7775892089828,572.2524095703141,634.5401790283173,551.4898197509796,-139.74541517884197,-109.32426527556375,47486,25037.701927393467,22395.333272612606,825.7584928624046,54.87070712613923,575.6333211263021,580.7166544596355,568.2666422526042,588.0833333333334,563.1833089192709,593.1666666666667,555.816630045573,-0.35189739475407106,-69.29514197791941,-11.67528764088047,-11.14834016776212,-0.5269474731183497,34.828403507439674,31.00207494350433,578.5999755859375,593.0149993896484,611.8389965820312,627.2143054199219,WONDERLA.NS,2025-10-24 11:44:58.599347
5,2025-10-17 00:00:00+05:30,583.8499755859375,584.0999755859375,577.0,579.3499755859375,17103,0.0,0.0,2025-10-17,596.3925018310547,22.79049846994978,619.1830003010044,573.602003361105,641.9734987709543,550.8115048911551,-81.43638067697935,-104.11934029628016,84855,11579.14464273971,21734.74110891739,825.9632031311003,27.942859516225724,580.1499837239584,583.2999674479167,576.1999918619792,587.2499593098959,573.0500081380209,590.3999430338542,569.1000162760417,-0.34479833822302686,-58.11234662649708,-11.521634209014678,-11.016603299482533,-0.5050309095321452,37.4075726236408,30.946150544940252,581.9099853515625,596.3925018310547,612.3748388671875,628.023461303711,WONDERLA.NS,2025-10-24 11:44:58.599347
6,2025-10-16 00:00:00+05:30,579.3499755859375,582.0,576.0,579.8499755859375,36926,0.0,0.0,2025-10-16,599.4925018310547,24.50269194155531,623.99519377261,574.9898098894994,648.4978857141654,550.4871179479441,-109.67808765307868,-114.47499896178864,101958,25021.370797819895,24273.64022546181,826.0547775233323,25.87942720995862,579.2833251953125,582.566650390625,576.566650390625,585.2833251953125,573.2833251953125,588.566650390625,570.566650390625,-0.34004682928365476,-61.42458932565214,-11.741250130201365,-10.890345572099495,-0.8509045581018704,37.62316612371158,31.392132246082525,582.8699951171875,599.4925018310547,613.136552734375,628.8777740478515,WONDERLA.NS,2025-10-24 11:44:58.599347
7,2025-10-15 00:00:00+05:30,581.0999755859375,584.9000244140625,575.0999755859375,579.3499755859375,24341,0.0,0.0,2025-10-15,602.4875030517578,25.611154036520027,628.0986570882778,576.8763490152378,653.7098111247979,551.2651949787178,-129.45631919462437,-119.35459909417057,65032,16479.445696598683,24086.70758237229,826.2523209053585,26.401646530615594,579.7833251953125,584.4666748046875,574.6666259765625,589.5833740234375,569.9832763671875,594.2667236328125,564.8665771484375,-0.3607275597724436,-64.67108475534539,-11.89376975459652,-10.677619432574028,-1.2161503220224912,37.28754813321206,31.583464396554533,583.0800048828125,602.4875030517578,613.9341174316406,629.7809106445312,WONDERLA.NS,2025-10-24 11:44:58.599347
8,2025-10-14 00:00:00+05:30,589.9000244140625,593.5999755859375,577.0,581.0999755859375,29128,0.0,0.0,2025-10-14,605.5350036621094,26.329277916254238,631.8642815783636,579.2057257458551,658.1935594946178,552.8764478296009,-37.17243640170598,-109.83636614749216,89373,19779.928319273462,25988.52305381569,826.3829762230794,26.634425029118873,583.8999837239584,590.7999674479167,574.1999918619792,600.4999593098959,567.3000081380209,607.3999430338542,557.6000162760417,-0.34879906533870386,-64.02518794221699,-11.859590035002384,-10.373581852068405,-1.486008182933979,37.95118516085557,31.789514404755153,583.5400146484375,605.5350036621094,614.812451171875,630.7030017089844,WONDERLA.NS,2025-10-24 11:44:58.599347
9,2025-10-13 00:00:00+05:30,582.5,599.0,577.9500122070312,589.9000244140625,30857,0.0,0.0,2025-10-13,608.1750061035157,26.397266787938666,634.5722728914543,581.777739315577,660.969539679393,555.3804725276383,60.84394887952514,-94.82610795685372,118501,21271.36231311182,27540.67173745125,826.5383997208661,26.707498134998204,588.9500122070312,599.9500122070312,578.9000244140625,610.0,567.9000244140625,621.0,557.8500366210938,-0.34971769828578253,-56.91240820993284,-11.808487363173413,-10.002079806334908,-1.8064075568385043,41.390979060141454,32.1425476146853,584.9400146484375,608.1750061035157,615.8611145019531,631.4077453613281,WONDERLA.NS,2025-10-24 11:44:58.599347
10,2025-10-10 00:00:00+05:30,585.2000122070312,590.2000122070312,580.5,584.1500244140625,24726,0.0,0.0,2025-10-10,610.9925048828125,27.334634287156593,638.3271391699691,583.6578705956558,665.6617734571256,556.3232363084993,-26.833304408544144,-104.32788213867246,87644,16878.795616521835,29107.999093536102,826.6973528423688,23.572931796130035,584.9500122070312,589.4000244140625,579.7000122070312,594.6500244140625,575.25,599.1000366210938,570.0,-0.3108860554396719,-66.13159948663856,-12.430815457871859,-9.550477917125281,-2.880337540746577,37.980330128961576,32.58578222818019,584.7900146484375,610.9925048828125,616.7756408691406,632.1141955566407,WONDERLA.NS,2025-10-24 11:44:58.599347
