Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-26 00:00:00+05:30,109.5,109.6500015258789,107.1500015258789,107.6500015258789,14558,0.0,0.0,2024-11-26,108.09500045776367,2.461914635076893,110.55691509284057,105.63308582268678,113.01882972791746,103.17117118760989,83.73860629626634,-66.0761067733019,7659940,21424.042235451165,20284.738602752594,115.5786565266712,37.91308566948618,108.1500015258789,109.1500015258789,106.6500015258789,110.6500015258789,105.6500015258789,111.6500015258789,104.1500015258789,-0.1466739789482676,-58.29142915855804,-2.00874144011388,-2.3001378633039704,0.2913964231900903,44.957299616976144,24.49360741245395,106.16999969482421,108.09500045776367,113.73500030517579,120.26949981689454,XCHANGING.BO,2024-11-26 11:12:35.462111
2,2024-11-25 00:00:00+05:30,108.0,108.9000015258789,106.5,108.19999694824219,6097,0.0,0.0,2024-11-25,108.19500045776367,2.483412910642504,110.67841336840617,105.71158754712117,113.16182627904868,103.22817463647866,38.94318599347226,-73.09416124549011,7674498,9018.391902015848,19999.91269457795,115.5822156392538,35.39539083465681,107.86666615804036,109.23333231608072,106.83333079020181,110.26666768391927,105.46666463216145,111.63333384195963,104.43332926432291,-0.128586918897949,-52.76383527863784,-2.2117532516489575,-2.372986969101493,0.16123371745253534,46.16393806180914,25.296023787695425,105.71999969482422,108.19500045776367,114.04000030517578,120.37449981689453,XCHANGING.BO,2024-11-26 11:12:35.462111
3,2024-11-22 00:00:00+05:30,104.19999694824219,106.9000015258789,104.19999694824219,105.75,8887,0.0,0.0,2024-11-22,108.26500053405762,2.5032131799118136,110.76821371396943,105.76178735414581,113.27142689388124,103.258574174234,-70.16581492507477,-109.64145199717244,7668401,12847.576628792272,22745.292892718477,115.58360375361215,26.159169544915954,105.61666615804036,107.03333536783853,104.33333079020181,108.31667073567708,102.91666158040364,109.73333994547525,101.6333262125651,-0.19860171126495688,-77.38692773772664,-2.492324692079663,-2.413295398464627,-0.07902929361503608,39.44073465841262,25.82519908720473,105.41000061035156,108.26500053405762,114.30300033569335,120.47349983215332,XCHANGING.BO,2024-11-26 11:12:35.462111
4,2024-11-21 00:00:00+05:30,109.69999694824219,109.69999694824219,104.0999984741211,104.3499984741211,4564,0.0,0.0,2024-11-21,108.62750053405762,2.640995780241022,111.26849631429864,105.98650475381659,113.90949209453966,103.34550897357558,-64.63683315101856,-108.50885440725033,7659514,6510.640917312911,25219.72195870003,115.58629968650243,28.530148102050987,106.0499979654948,107.9999974568685,102.3999989827474,111.64999643961589,100.4499994913737,113.59999593098959,96.80000050862631,-0.23691555243723397,-91.45729914750116,-2.572491083909071,-2.3935380750608677,-0.17895300884820342,35.14302658063646,25.444074713617596,105.52000122070312,108.62750053405762,114.64400039672852,120.61349983215332,XCHANGING.BO,2024-11-26 11:12:35.462111
5,2024-11-19 00:00:00+05:30,107.5,107.9000015258789,103.5,104.9000015258789,15536,0.0,0.0,2024-11-19,109.1925006866455,2.8760015040316436,112.06850219067715,106.31649918261385,114.94450369470879,103.44049767858222,-99.91312695118025,-123.81671178136317,7664078,22279.23977731557,29896.99221904681,115.58788192283149,31.44792343815054,105.43333435058594,107.36666870117188,102.96666717529297,109.83333587646484,101.03333282470703,111.76667022705078,98.56666564941406,-0.2290058598430806,-86.85444764982445,-2.4982722825070027,-2.3487998228488167,-0.149472459658186,36.07700482389573,25.033633080523757,106.0000015258789,109.1925006866455,115.0570004272461,120.77549987792969,XCHANGING.BO,2024-11-26 11:12:35.462111
6,2024-11-18 00:00:00+05:30,106.9000015258789,106.9000015258789,104.5,105.4000015258789,17392,0.0,0.0,2024-11-18,109.78500061035156,3.152488006630174,112.93748861698174,106.63251260372138,116.0899766236119,103.48002459709122,-120.74863509135386,-128.64683349709313,7679614,25059.69635406733,31801.430329479615,115.59300748333831,27.109312411751986,105.60000101725261,106.70000203450522,104.30000050862631,108.00000254313152,103.1999994913737,109.10000356038412,101.8999989827474,-0.21642272705539126,-82.54718169405692,-2.419564083044037,-2.31143170793427,-0.1081323751097667,36.90495637940147,23.70471630571718,106.6500015258789,109.78500061035156,115.4470004272461,120.93049987792969,XCHANGING.BO,2024-11-26 11:12:35.462111
7,2024-11-14 00:00:00+05:30,108.3499984741211,108.3499984741211,106.0999984741211,106.6500015258789,16413,0.0,0.0,2024-11-14,110.32000045776367,3.274719082535862,113.59471954029954,107.0452813752278,116.86943862283539,103.77056229269195,-82.42164273312184,-114.46513913995766,7697006,23929.54803186137,33486.863823332686,115.59848262788384,35.297127363440026,107.03333282470703,107.96666717529297,105.71666717529297,109.28333282470703,104.78333282470703,110.21666717529297,103.46666717529297,-0.20669373118837267,-73.16017573375979,-2.331376099140016,-2.2843986141568284,-0.046977484983187434,38.981738726338264,22.273575163617792,107.60000152587891,110.32000045776367,115.83300033569336,121.04949989318848,XCHANGING.BO,2024-11-26 11:12:35.462111
8,2024-11-13 00:00:00+05:30,108.5,109.5,103.55000305175781,106.30000305175781,28317,0.0,0.0,2024-11-13,110.78500022888184,3.3846043763281575,114.16960460521,107.40039585255369,117.55420898153815,104.01579147622553,-128.80556944748955,-130.06253361580323,7680593,41149.65309128149,35876.19277120051,115.60302101234545,30.376219881117834,106.4500020345052,109.3500010172526,103.40000406901041,112.39999898274739,100.50000508626302,115.29999796549478,97.45000712076822,-0.20187252578356937,-76.1904667539919,-2.3062509364274604,-2.2726542429110315,-0.03359669351642891,38.07571274497959,21.053935839836516,108.59000091552734,110.78500022888184,116.23300033569336,121.16099990844727,XCHANGING.BO,2024-11-26 11:12:35.462111
9,2024-11-12 00:00:00+05:30,106.5,109.4000015258789,106.1500015258789,106.75,15504,0.0,0.0,2024-11-12,111.30750007629395,3.461527573353564,114.76902764964751,107.84597250294038,118.23055522300108,104.38444492958682,-116.66662647349159,-122.82501183666102,7708910,22625.454073496898,34557.82769118027,115.61116834156776,28.42339051258793,107.43333435058594,108.71666717529297,105.46666717529297,110.68333435058594,104.18333435058594,111.96666717529297,102.21666717529297,-0.2061341624422121,-78.03739117414277,-2.204670371769481,-2.264255069531924,0.05958469776244302,38.76287064139234,19.740478106533605,109.66000061035156,111.30750007629395,116.62400024414063,121.26699989318848,XCHANGING.BO,2024-11-26 11:12:35.462111
10,2024-11-11 00:00:00+05:30,111.5,111.5,107.19999694824219,108.1500015258789,17037,0.0,0.0,2024-11-11,111.76000022888184,3.425738014669992,115.18573824355182,108.33426221421185,118.61147625822181,104.90852419954186,-33.53297680755021,-107.175210896177,7724414,25188.67447110777,37540.92109560111,115.61541930340786,26.888861835916288,108.9499994913737,110.70000203450522,106.3999989827474,113.25000254313152,104.64999643961589,115.00000508626303,102.09999593098959,-0.20873702137130346,-72.82607794258381,-2.0855302517422984,-2.2791512439725348,0.19362099223023632,40.894979285389695,18.863846233202757,110.09000091552734,111.76000022888184,117.01300018310548,121.39249992370605,XCHANGING.BO,2024-11-26 11:12:35.462111
