Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-24 00:00:00+05:30,9.350000381469727,9.449999809265137,9.350000381469727,9.449999809265137,97402,0.0,0.0,2024-10-24,9.789499855041504,0.3119965654459761,10.10149642048748,9.477503289595527,10.413492985933456,9.165506724149552,-83.95294894962979,-87.7072728063144,902551,173669.59401833924,180980.19325410534,7.401699991041051,33.183916618422046,9.416666666666666,9.483332951863606,9.383333524068195,9.516666094462076,9.316667238871256,9.583332379659016,9.283334096272785,,-86.84216800494907,-0.20631149622206024,-0.19546061128355585,-0.01085088493850439,40.98368550488354,12.271562678730733,9.671999740600587,9.789499855041504,9.991800041198731,10.12800003528595,ZENITHSTL.NS,2024-10-24 11:02:42.908935
2,2024-10-23 00:00:00+05:30,9.529999732971191,9.739999771118164,9.529999732971191,9.529999732971191,163165,0.0,0.0,2024-10-23,9.846499872207641,0.34868593064023573,10.195185802847877,9.497813941567404,10.543871733488112,9.14912801092717,-11.014005338479302,-65.97093012028678,999953,293389.1227303232,182807.84306304684,7.400362175811517,35.556295070543186,9.59999974568685,9.669999758402508,9.459999720255535,9.809999783833822,9.389999707539877,9.87999979654948,9.249999682108562,,-78.48100196167195,-0.20037603768899714,-0.19274789004892973,-0.0076281476400674175,42.20678853071846,11.993913303628174,9.689999771118163,9.846499872207641,9.998800048828125,10.112000036239625,ZENITHSTL.NS,2024-10-24 11:02:42.908935
3,2024-10-22 00:00:00+05:30,9.729999542236328,10.109999656677246,9.729999542236328,9.729999542236328,210458,0.0,0.0,2024-10-22,9.910499906539917,0.40107070941961354,10.31157061595953,9.509429197120303,10.712641325379144,9.10835848770069,97.38990353447106,-35.9790830486327,1163118,386369.0886728153,155162.52314622776,7.398029561886131,55.0659641585791,9.856666247049967,9.983332951863606,9.603332837422688,10.236666361490885,9.476666132609049,10.363333066304524,9.22333272298177,,-62.24492874207502,-0.19761963193682064,-0.19084085313891286,-0.006778778797907781,45.348530970093,12.194883581709808,9.655999755859375,9.910499906539917,10.000400047302247,10.092700037956238,ZENITHSTL.NS,2024-10-24 11:02:42.908935
4,2024-10-21 00:00:00+05:30,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,55217,0.0,0.0,2024-10-21,9.975999927520752,0.4709275004879906,10.446927428008742,9.505072427032761,10.917854928496732,9.034144926544771,148.33346128469825,-25.89517196462799,1373576,103349.55179252094,97360.88176458086,7.394730332181914,75.53670902838283,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,,-42.857128955191925,-0.2107933113645135,-0.18914615843943589,-0.02164715292507763,48.5355695632046,13.015162387162569,9.601999855041504,9.975999927520752,9.999400062561035,10.074900040626526,ZENITHSTL.NS,2024-10-24 11:02:42.908935
5,2024-10-18 00:00:00+05:30,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,30234,0.0,0.0,2024-10-18,10.043499946594238,0.5522136238542467,10.595713570448485,9.491286322739992,11.147927194302731,8.939072698885745,55.1606006636346,-41.19644379979184,1318359,55505.0557685329,95863.71425759583,7.393792627729872,65.40585879525777,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,,-62.24492874207502,-0.24317794881375576,-0.18373437020816646,-0.0594435786055893,44.94258604576689,13.507397076726537,9.489999771118164,10.043499946594238,9.9982000541687,10.051700038909912,ZENITHSTL.NS,2024-10-24 11:02:42.908935
6,2024-10-17 00:00:00+05:30,9.539999961853027,9.539999961853027,9.539999961853027,9.539999961853027,59718,0.0,0.0,2024-10-17,10.132499980926514,0.6360974061965099,10.768597387123025,9.496402574730004,11.404694793319534,8.860305168533495,-47.1354301514498,-56.51821600906848,1288125,107492.39570177218,105953.37887986156,7.393317532555782,58.93440267659753,9.539999961853027,9.539999961853027,9.539999961853027,9.539999961853027,9.539999961853027,9.539999961853027,9.539999961853027,,-81.6326312153016,-0.2622434100906137,-0.16887347555676915,-0.09336993453384454,41.1258885829497,14.457523885077535,9.455999946594238,10.132499980926514,10.005000057220458,10.029900045394898,ZENITHSTL.NS,2024-10-24 11:02:42.908935
7,2024-10-16 00:00:00+05:30,9.359999656677246,9.640000343322754,9.359999656677246,9.359999656677246,36879,0.0,0.0,2024-10-16,10.261499977111816,0.7592953073400851,11.020795284451902,9.50220466977173,11.780090591791986,8.742909362431647,-82.46830728016268,-61.8900071334017,1228407,65129.700927565296,105568.6246743839,7.392454909139184,52.54355872622911,9.453333218892416,9.546666781107586,9.266666094462078,9.733333905537924,9.173332532246908,9.826667467753094,8.98666540781657,,-100.0,-0.26396751304989685,-0.145530991923308,-0.11843652112658884,37.302425620409196,14.829043927135464,9.477999877929687,10.261499977111816,10.019800052642822,10.008500046730042,ZENITHSTL.NS,2024-10-24 11:02:42.908935
8,2024-10-15 00:00:00+05:30,9.460000038146973,9.5,9.380000114440918,9.460000038146973,46063,0.0,0.0,2024-10-15,10.371000003814697,0.7800736391362155,11.151073642950912,9.59092636467848,11.931147282087128,8.810852725542265,-95.74280731650502,-60.60396942952194,1265286,82218.10680666138,115678.35561108854,7.3919665270497585,48.80264133834811,9.446666717529297,9.513333320617676,9.393333435058594,9.566666603088379,9.326666831970215,9.633333206176758,9.273333549499512,,-91.86989096328045,-0.24444807673727276,-0.1159218616416608,-0.12852621509561196,38.59546456826621,15.229142433967079,9.576000022888184,10.371000003814697,10.04240005493164,9.990900049209595,ZENITHSTL.NS,2024-10-24 11:02:42.908935
9,2024-10-14 00:00:00+05:30,9.359999656677246,9.5600004196167,9.359999656677246,9.359999656677246,56905,0.0,0.0,2024-10-14,10.482999992370605,0.8028640300344291,11.285864022405034,9.680135962336175,12.088728052439462,8.877271932301747,-125.3024237547022,-61.39911628721686,1219223,100496.37005567133,124043.41781219532,7.391325169174442,41.90047623900979,9.426666577657064,9.493333498636883,9.29333273569743,9.626667340596518,9.226665814717611,9.693334261576336,9.093331972757976,,-100.0,-0.2256020469554425,-0.08379030786775779,-0.1418117390876847,36.55326039369383,15.18607342400263,9.623999977111817,10.482999992370605,10.06740005493164,9.973300046920777,ZENITHSTL.NS,2024-10-24 11:02:42.908935
10,2024-10-11 00:00:00+05:30,9.5600004196167,9.640000343322754,9.550000190734863,9.5600004196167,45465,0.0,0.0,2024-10-11,10.594500017166137,0.7934898551371175,11.387989872303255,9.80101016202902,12.181479727440372,9.007520306891902,-111.4665595702961,-47.244431914884174,1276128,82008.56668603417,129930.1797513263,7.3905706306774475,41.30612335824538,9.583333651224772,9.61666711171468,9.52666695912679,9.673333803812662,9.493333498636881,9.70666726430257,9.436666806538899,,-99.32884359610799,-0.18820668266645235,-0.048337373095836605,-0.13986930957061575,38.9596094017386,15.139691413271686,9.731999969482422,10.594500017166137,10.098800067901612,9.957200050354004,ZENITHSTL.NS,2024-10-24 11:02:42.908935
